DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5350710,1,5,1,10,2,2,5,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1756.6382064
5350711,1,1,1,10,1,1,3,1953,67,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,1,,,2,1,01,41,1219.470858
5350939,1,1,1,10,2,1,3,1980,40,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,4,,,2,4,01,41,1195.5587171
5350939,1,2,1,10,2,2,7,1974,46,2,1,999_01,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,2,4,01,41,1195.5587171
5350939,1,3,1,10,2,1,8,2012,8,4,6,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,1195.5587171
5350940,1,1,1,10,1,1,8,1967,53,1,6,,2,3,,3,,1,2,1,,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,01,41,931.66579506
5350940,1,2,1,10,2,2,3,1970,50,2,6,,2,3,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,4,6,,,2,6,01,41,931.66579506
5350940,1,3,1,10,3,2,7,2003,17,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,01,41,931.66579506
5350940,1,4,1,10,4,2,9,1999,21,3,6,,6,1,1,1,2,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,01,41,931.66579506
5350940,1,5,1,10,4,2,9,2019,1,4,6,,,2,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,931.66579506
5350943,1,1,1,10,1,1,3,1970,50,1,1,999_01,2,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,4,,,2,4,01,41,1861.5445832
5350943,1,2,1,10,2,2,12,1983,37,2,1,999_01,2,2,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,01,41,1861.5445832
5350943,1,3,1,10,2,1,1,2009,11,3,1,999_01,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,4,,,2,4,01,41,1861.5445832
5350943,1,4,1,10,2,2,9,2011,9,3,1,999_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,3,,,2,3,01,41,1861.5445832
5350943,1,5,1,10,2,2,11,2012,8,3,1,999_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,2,1,01,41,1861.5445832
5350943,1,6,1,10,2,1,5,2014,6,3,1,999_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,2,0,01,41,1861.5445832
5350944,1,1,1,10,1,1,6,1954,66,1,6,,2,3,,3,,1,2,,,1,1,,,,,,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,922.5841291
5350944,1,2,1,10,2,2,8,1956,64,2,1,999_01,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,922.5841291
5350945,1,1,1,10,1,2,4,2000,20,1,6,,4,2,,2,,,,,1,1,1,1,,1,1,1,,,,1,1,,,3,,,2,1,2,,4,6,,,2,6,01,41,1246.5307898
5350945,1,2,1,10,1,2,8,2015,5,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,2,0,01,41,1246.5307898
5350945,1,3,1,10,1,1,8,2018,2,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1246.5307898
5350945,1,4,1,10,4,2,3,1998,22,5,6,,4,2,,2,,,,,1,1,1,,,,,,,,,,1,,,3,,,2,1,2,,3,4,,,2,4,01,41,1246.5307898
