DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332803,1,1,1,50,50,1,,,1,4,,2,2,2,2,2,,,,,,,,01,50,277.63218942
5332803,1,2,1,50,50,1,1,,2,2,,2,2,2,1,,,,,,,,1,01,50,277.63218942
5332803,1,3,1,50,50,1,,,3,1,,,,,,,,,,,,,,01,50,277.63218942
5332804,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,186.90755955
5332804,1,2,1,50,50,1,,,1,3,,2,2,2,2,2,,,,,,,,01,50,186.90755955
5332805,1,1,1,50,50,1,,,1,4,,2,2,2,2,2,,,,,,,,01,50,292.17242218
5332805,1,2,1,50,50,1,,,2,1,,,,,,,,,,,,,,01,50,292.17242218
5332805,1,3,1,50,50,1,,,3,1,,,,,,,,,,,,,,01,50,292.17242218
5332805,1,4,1,50,50,1,,,1,3,,2,2,2,2,2,,,,,,,,01,50,292.17242218
5332806,1,1,1,50,50,1,,,1,4,,2,2,2,2,2,,,,,,,,01,50,307.57621098
5332806,1,2,1,50,50,1,1,,2,2,,2,2,2,1,,,,,,,,1,01,50,307.57621098
5332807,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,367.37170148
5332807,1,2,1,50,50,1,2,,2,4,,2,2,2,1,,,,,,,,1,01,50,367.37170148
5332808,1,1,1,50,50,1,,,1,4,,2,1,,,,,,,,,,,01,50,318.82912445
5332808,1,2,1,50,50,1,,,2,4,,2,2,2,2,1,10,,,,,,,01,50,318.82912445
5332809,1,1,1,50,50,1,,,1,4,,1,,,,,,,,,,,,01,50,361.87968057
5332809,1,2,1,50,50,1,,,2,4,,1,,,,,,,,,,,,01,50,361.87968057
5332809,1,3,1,50,50,1,,,2,3,,2,2,2,2,2,,,,,,,,01,50,361.87968057
5332810,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,145.34567475
5332810,1,2,1,50,50,1,,,2,1,,,,,,,,,,,,,,01,50,145.34567475
5332810,1,3,1,50,50,1,,,1,3,,2,2,2,2,2,,,,,,,,01,50,145.34567475
5332810,1,4,1,50,50,1,,,4,4,,2,2,2,2,2,,,,,,,,01,50,145.34567475
5332810,1,5,1,50,50,1,,,4,6,DESCANSAR EN EL HOGAR POR EDAD Y SALUD,2,2,2,2,2,,,,,,,,01,50,145.34567475
5332811,1,1,1,50,63,1,,,1,4,,2,2,2,2,1,10,,,,,,,01,63,211.720131
5332811,1,2,1,50,63,1,,,2,6,JUGAR FUTBOL,2,2,2,2,1,9,,,,,,,01,63,211.720131
5332811,1,5,1,50,63,1,,,5,1,,,,,,,,,,,,,,01,63,211.720131
5332811,1,7,1,50,63,1,,,7,4,,2,2,2,2,2,,,,,,,,01,63,211.720131
5332812,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,91.959740609
5332812,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,91.959740609
5332813,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,179.53264477
5332813,1,2,1,50,63,1,,,2,4,,1,,,,,,,,,,,,01,63,179.53264477
5332813,1,3,1,50,63,1,1,,3,2,,2,2,2,1,,,,,,,,1,01,63,179.53264477
5332814,1,1,1,50,63,1,,,1,4,,1,,,,,,,,,,,,01,63,114.8968831
5332814,1,2,1,50,63,1,,,2,3,,2,2,2,2,2,,,,,,,,01,63,114.8968831
5332815,1,1,1,50,63,1,1,,1,2,,2,2,2,1,,,,,,,,1,01,63,91.959740609
5332815,1,2,1,50,63,1,,,2,4,,1,,,,,,,,,,,,01,63,91.959740609
5332816,1,1,1,50,63,1,1,,1,4,,2,2,2,1,,,,,,,,1,01,63,168.75686469
5332816,1,2,1,50,63,1,1,,2,2,,2,2,2,1,,,,,,,,1,01,63,168.75686469
5332817,1,1,1,50,63,1,1,,1,2,,2,2,2,1,,,,,,,,1,01,63,138.26385374
5332817,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,138.26385374
5332817,1,4,1,50,63,1,,,4,4,,2,2,2,2,2,,,,,,,,01,63,138.26385374
5332818,1,1,1,50,63,1,,,1,4,,2,2,2,2,2,,,,,,,,01,63,210.41196998
5332818,1,2,1,50,63,1,,,2,1,,,,,,,,,,,,,,01,63,210.41196998
5332818,1,3,1,50,63,1,,,3,5,,,,,,,,,,,,,,01,63,210.41196998
5332819,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,111.08844251
5332819,1,2,1,50,63,1,2,,2,3,,2,2,2,1,,,,,,,,1,01,63,111.08844251
