DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5333373,1,2,1,70,68,5,48,5,,2,52,5,,4,2,1,,,,,,,,,,,1,2,,1000000,2,,56,51,51,1,1,5611,01,68,317.95442563
5333376,1,3,1,70,68,8,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,56,97,97,1,1,5611,01,68,405.02201107
5333387,1,2,1,70,68,8,48,1,,2,8,1,,2,2,2,,,,,,,,,,,1,2,,877803,2,,01,99,53,1,1,0141,01,68,354.7601904
5333407,1,1,1,70,68,20,48,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,38,62,62,1,2,3811,01,68,359.76342651
5333408,1,2,1,70,68,28,48,1,,2,28,1,,9,2,1,,,,,1,,,,,,,2,,900000,2,,56,53,53,1,2,5629,01,68,377.94074078
5333408,1,4,1,70,68,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,97,,1,2,.,01,68,377.94074078
5333410,1,1,1,70,68,16,48,1,,2,16,1,,4,2,8,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,2,4111,01,68,340.4543989
5333411,1,2,1,70,68,28,48,1,,2,28,1,,4,2,1,,,,,,,,,,,1,2,,900000,2,,41,81,95,1,2,4111,01,68,307.96099305
5333454,1,2,1,70,05,24,48,1,,2,24,1,,5,2,9,COTIZANTE POR COBERTURA,,1,,,,,,,,,2,,877000,1,2,20,55,97,1,2,2011,01,05,1347.9123244
5333459,1,1,1,70,05,4,48,4,,2,36,5,,2,2,8,,,,,,,,,,,1,2,,2000000,2,,82,45,39,1,1,8230,01,05,1040.9869569
5333459,1,2,1,70,05,24,48,1,,2,36,1,,3,2,7,,,,,,,,,,,1,2,,1500000,2,,82,32,32,1,2,8230,01,05,1040.9869569
5333471,1,1,1,70,17,6,48,1,,2,6,1,,2,2,1,,,,,,,,,,,1,2,,877802,2,,43,85,85,1,1,4321,01,17,302.99287322
5333474,1,1,1,70,17,40,36,1,,2,40,1,,9,2,1,,,,,,,,,,,1,2,,877802,2,,82,55,38,1,2,8220,01,17,254.6480141
5333474,1,4,1,70,17,10,48,1,,2,15,1,,2,2,1,,,,,,,,,,,1,2,,877802,2,,41,62,95,1,1,4111,01,17,254.6480141
5333476,1,3,1,70,73,52,48,2,,2,52,1,,3,2,4,,,,,,,,,,,1,2,,1500000,2,,69,12,12,1,2,6910,01,73,228.63851307
5333480,1,3,1,70,73,4,48,1,,2,1,1,,2,2,1,,,,,,,,,,,1,2,,1000000,2,,47,95,45,1,1,4721,01,73,433.94600059
5333480,1,4,1,70,73,3,48,1,,2,2,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,1,4771,01,73,433.94600059
5333512,1,3,1,70,17,2,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877802,,,,38,,1,1,.,01,17,190.40090587
5333525,1,4,1,70,52,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,85,,1,1,.,01,52,186.45480366
5333527,1,2,1,70,52,12,40,2,,2,32,4,,1,2,2,,,,,,,,,,,1,2,,1800000,2,,85,13,13,1,1,8559,01,52,188.46365179
5333545,1,2,1,70,54,4,48,4,,2,4,4,,9,2,1,,,1,,,,,,,,,1,3000000,3000000,1,1,85,13,13,1,1,8544,01,54,293.01102481
5333550,1,1,1,70,76,2,48,3,,2,2,1,,5,2,6,,,,,,,,,,,1,1,900000,908526,2,,55,54,55,1,1,5530,01,76,1050.1434202
5333551,1,2,1,70,76,20,48,3,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,9700,01,76,1262.9565048
5333554,1,2,1,70,76,13,10,4,,1,,,,,,,,.,,,,,,,,.,,,,300000,,,,77,,1,1,.,01,76,1040.8112303
