DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,P7481,CLASE,MES,DPTO,fex_c_2011
5347399,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,2748.4112521
5347400,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1645.688627
5347400,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1645.688627
5347400,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1645.688627
5347401,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,3681.4565531
5347403,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347403,1,2,1,90,1,2,1,32,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347403,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347404,1,1,1,90,1,3,1,3,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347404,1,2,1,90,2,,2,,1,10,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5348279,1,1,1,90,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1466.2256765
5348279,1,2,1,90,2,,1,40,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1466.2256765
5348279,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1466.2256765
5348279,1,4,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1466.2256765
5348279,1,5,1,90,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1466.2256765
5348280,1,1,1,90,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1090.6523402
5348280,1,2,1,90,1,12,1,30,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1090.6523402
5350490,1,1,1,90,1,30,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350490,1,2,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350492,1,1,1,90,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350492,1,2,1,90,2,,1,26,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350492,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350494,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350494,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350495,1,1,1,90,1,16,1,18,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350495,1,2,1,90,1,16,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350498,1,1,1,90,1,8,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350498,1,2,1,90,2,,1,27,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350498,1,3,1,90,1,8,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350498,1,4,1,90,1,7,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350498,1,5,1,90,1,16,1,21,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350504,1,1,1,90,1,14,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1184.0488313
5350506,1,1,1,90,1,12,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350506,1,2,1,90,1,7,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350506,1,3,1,90,2,,1,7,2,,1,7,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350506,1,4,1,90,1,21,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350506,1,5,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350507,1,1,1,90,1,7,1,14,2,,1,7,2,,2,,2,,2,,2,,2,,,2,01,68,1128.4559608
5350507,1,2,1,90,1,7,1,14,2,,1,7,2,,2,,2,,2,,2,,2,,,2,01,68,1128.4559608
5350507,1,3,1,90,1,3,1,7,2,,1,5,2,,2,,2,,2,,2,,2,,,2,01,68,1128.4559608
5350507,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1128.4559608
5350509,1,1,1,90,1,21,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350510,1,1,1,90,1,14,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350510,1,2,1,90,1,7,1,21,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5350708,1,1,1,90,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,901.8285266
5350708,1,2,1,90,1,10,1,40,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,901.8285266
5350708,1,3,1,90,1,7,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,901.8285266
5350709,1,1,1,90,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,,2,01,41,1372.3205128
5350709,1,2,1,90,1,5,1,40,2,,1,30,2,,2,,2,,2,,2,,2,,,2,01,41,1372.3205128
5350710,1,1,1,90,1,15,1,10,2,,1,5,2,,2,,2,,2,,2,,2,,,2,01,41,1756.6382064
5350710,1,2,1,90,1,20,1,35,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1756.6382064
5350710,1,3,1,90,1,20,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1756.6382064
5350711,1,1,1,90,1,20,1,18,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1219.470858
5350939,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1195.5587171
