DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5332848,1,1,1,60,76,76,2,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2010,2,550000,1,,3,,12,1,2,2,0,0,3,6,2,48,,.,32,6,,2,1,,1,,3,,,,,.,,,,,,,,,2,2,1,0,180,4,,2,,,,,,,,13,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,10,DE LA PENSION QUE RECIBE,79,14,1,5,1410,550000,01,76,946.79045531,
5332848,1,3,1,60,76,76,1,1,,,1,,,1,2,2,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,120000,1,,3,,12,2,,,,,1,5,2,18,2,,12,6,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,98,252,3,,2,,,,,,,,3,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,79,14,1,4,1410,120000,01,76,946.79045531,
5332850,1,2,1,60,76,76,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,1200000,1,,3,,8,2,,,,,3,3,2,48,,.,48,,,1,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,24,4,,2,,,,,,,,2,11,50,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,93,43,1,4,4330,1200000,01,76,1307.2318022,
5332850,1,3,1,60,76,76,1,2,1,,2,1,,1,1,2,1,6,,3,,1,1300000,2,,,2,,2,,2,,2,,2,,,1,102854,1,2,,,2,,,2,,,2,,,1,510000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,72,,.,72,,,9,7,,1,,1,2,1,3,1,1,,,,,,,,,1,1,1,3,12,1,,2,,,,,,,,5,5,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,59,86,1,1,8699,1300000,01,76,1307.2318022,7810
5332851,1,2,1,60,76,76,1,2,1,,2,1,,1,1,2,1,4,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,102854,1,2,,,2,,,2,,,2,,,1,310000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,5,1,,,,,,,,,1,1,1,1,0,9,1,,2,,,,,,,,1,5,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,97,46,1,1,4663,1200000,01,76,919.74557592,7810
5332852,1,1,1,60,76,76,1,1,,,1,,,2,2,2,2,0,,7,LE OFRECIERON EL EMPLEO,2,30000,2,,,1,15000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,1,,,,,,,,,9,1,,9,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,24,0,1,,2,,,,,,,,1,13,60,,1,36,1,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,2,2,2,2,2,1,3,,99,41,1,1,4111,45000,01,76,1104.8016632,
5332854,1,1,1,60,76,76,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,200000,1,,1,,10,2,,,,,3,1,2,25,1,,12,6,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,30,3,,2,,,,,,,,2,15,45,2,1,25,2,1,2,,,,,,,,,,,,,,1,1,1,2,2,1,8,,45,47,1,4,4773,200000,01,76,1045.7969214,
5332855,1,4,1,60,76,76,1,1,,,1,,,1,2,2,2,84,,1,,2,150000,2,,,2,,2,,2,,2,,2,,,1,56000,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,49,,.,49,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,15,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,77,56,1,1,5619,150000,01,76,966.4771524,
5332864,1,1,1,60,05,5,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,0,1,,1,,12,2,,,,,3,5,2,40,,.,0,1,,1,1,,1,,3,,,,,.,,,,,,,,,2,2,1,0,360,1,,2,,,,,,,,2,14,,2,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,10,Pension,79,14,1,4,1410,0,01,05,1226.7129172,
5332871,1,1,1,60,17,17,1,2,1,,1,,,1,1,2,1,168,,2,,2,2800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2800000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,16,1,1,,,,,,,,,1,1,1,0,6,1,,2,,,,,,,,3,3,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,39,82,1,1,8220,2800000,01,17,201.3798871,
5332872,1,1,1,60,17,17,1,2,1,,2,1,,1,1,2,1,204,,3,,2,877802,2,,,2,,2,,2,,2,,2,,,1,102853,2,2,,,2,,,2,,,2,,,1,877802,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,26,1,1,,,,,,,,,1,1,1,0,180,1,,2,,,,,,,,2,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,03,25,1,1,2593,877802,01,17,187.11179144,7810
5332872,1,2,1,60,17,17,1,2,2,12,1,,,1,1,2,1,60,,1,,2,877802,2,,,1,210000,2,,2,,2,,2,,,1,102853,2,2,,,2,,,2,,,2,,,1,877802,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,1,2,,1,,1,1,1,5,1,1,,,,,,,,,1,2,1,0,24,1,,2,,,,,,,,3,2,45,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,54,97,1,3,9700,1087802,01,17,187.11179144,
