DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5333272,1,3,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,191.05417927
5333272,1,4,1,80,23,2,,,,2,,,.,,,2,,,,,,1,01,,23,191.05417927
5333273,1,1,1,80,23,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,23,135.40587369
5333273,1,2,1,80,23,1,1,,2,,,8,,2,,2,,,,,2,1,01,1.2,23,135.40587369
5333274,1,1,1,80,23,1,3,,2,,,8,,2,,2,,,,,2,1,01,4,23,157.99451879
5333275,1,2,1,80,73,2,,,,2,,,.,2,,2,,,,,2,1,01,,73,246.4289698
5333276,1,1,1,80,73,1,7,,2,,,1,,2,,2,,1,48,800000,2,1,01,1.3,73,255.18633804
5333279,1,1,1,80,73,1,7,,2,,,1,,2,,2,,1,45,1000000,2,1,01,1.4,73,282.79767447
5333280,1,1,1,80,73,1,5,,2,,,11,,3,,2,,,,,3,1,01,4,73,246.4289698
5333280,1,2,1,80,73,1,7,,1,,2,1,,2,,2,,,,,2,1,01,4,73,246.4289698
5333281,1,2,1,80,23,2,,,,2,,,.,2,,2,,2,,877802,2,1,01,,23,155.97786008
5333282,1,2,1,80,23,2,,,,2,,,.,2,,2,,1,40,200000,2,1,01,,23,155.97786008
5333284,1,1,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,135.40587369
5333295,1,1,1,80,68,1,7,,2,,,8,,2,,2,,,,,2,1,01,4,68,451.81090835
5333297,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,541.73858004
5333297,1,2,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,541.73858004
5333314,1,1,1,80,68,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,68,541.73858004
5333314,1,2,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,541.73858004
5333324,1,1,1,80,68,1,9,POR PANDEMIA,2,,,8,,2,,2,,,,,2,1,01,1.4,68,533.26363602
5333325,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,533.26363602
5333326,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,637.52290121
5333326,1,2,1,80,68,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,637.52290121
