DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5333267,1,2,1,70,47,1,16,48,1,,2,84,1,,9,2,2,,,,,,,,,,,1,2,,1000000,2,,61,45,44,1,2,01,6120,47,181.42280066
5333270,1,3,1,70,23,1,24,48,1,,2,26,1,,9,2,1,,,,,,,,,,,1,2,,877803,2,,86,59,59,1,2,01,8610,23,189.03752056
5333271,1,1,1,70,23,1,32,48,3,,2,38,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,01,9700,23,172.81320054
5333287,1,1,1,70,44,1,2,48,4,,2,2,4,,2,2,4,,,,,,,,,,,1,1,400000,500000,2,,41,95,95,1,1,01,4112,44,119.59382107
5333288,1,1,1,70,44,1,24,48,4,,2,24,4,,2,2,1,,,,,,,,,,,1,2,,800000,2,,56,77,45,1,2,01,5619,44,59.639876965
5333288,1,2,1,70,44,1,48,48,1,,2,2,4,,9,2,4,,,,,,,,,,,1,2,,850000,2,,47,07,45,1,2,01,4755,44,59.639876965
5333289,1,2,1,70,44,1,28,48,1,,2,96,1,,9,2,1,,,,,,,,,,,1,2,,850900,2,,85,13,13,1,2,01,8511,44,74.354229915
5333289,1,6,1,70,44,1,24,48,1,,2,40,1,,6,2,1,,,,,,,,,,,1,2,,900000,2,,49,39,32,1,2,01,4921,44,74.354229915
5333292,1,2,1,70,44,1,16,48,4,,2,16,4,,6,2,4,,,,,,,,,,,1,2,,3500000,2,,42,12,12,1,2,01,4290,44,73.31070481
5333293,1,2,1,70,44,1,8,48,1,,2,36,1,,5,2,1,,,,,,,,,,,1,1,1000000,1300000,2,,42,19,19,1,1,01,4220,44,83.648549106
5333327,1,1,1,70,68,1,32,48,1,,2,52,4,,9,2,2,,,,,,,,,,,1,2,,1700000,2,,84,19,19,1,2,01,8413,68,505.48677895
5333329,1,3,1,70,68,1,8,48,1,,2,32,1,,9,2,2,,,,,,,,,,,1,2,,877803,2,,49,33,33,1,1,01,4921,68,544.47573063
5333340,1,1,1,70,76,1,2,48,1,,2,4,4,,5,2,1,,,,,,,,,,,1,1,400000,908526,2,,14,79,79,1,1,01,1410,76,1040.8112303
5333359,1,1,1,70,11,1,2,48,1,,2,2,4,,2,2,8,,,,,,,,,,,1,2,,908526,2,,47,77,45,1,1,01,4721,11,3728.6300194
5333371,1,3,1,70,17,1,4,48,1,,2,8,1,,2,2,7,,,,,,,,,,,1,1,820000,877803,2,,41,97,95,1,1,01,4111,17,194.65472273
5333372,1,3,1,70,68,1,5,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877803,,,,97,,1,1,01,.,68,719.52685301
5333373,1,1,1,70,68,1,52,48,4,,2,52,5,,4,2,1,,,,,,,,,,,1,2,,800000,2,,56,39,77,1,2,01,5619,68,317.95442563
5333373,1,2,1,70,68,1,5,48,5,,2,52,5,,4,2,1,,,,,,,,,,,1,2,,1000000,2,,56,51,51,1,1,01,5611,68,317.95442563
5333376,1,3,1,70,68,1,8,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,56,97,97,1,1,01,5611,68,405.02201107
5333386,1,2,1,70,15,1,4,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,600000,877803,2,,25,83,83,1,1,01,2511,15,110.82495
5333387,1,2,1,70,68,1,8,48,1,,2,8,1,,2,2,2,,,,,,,,,,,1,2,,877803,2,,01,99,53,1,1,01,0141,68,354.7601904
5333400,1,2,1,70,15,1,108,48,1,,2,108,1,,9,2,2,,,,,,,,,,,1,2,,1000000,2,,61,08,08,1,2,01,6120,15,64.081719279
5333404,1,1,1,70,15,1,52,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,877803,2,,47,45,45,1,2,01,4771,15,121.06473108
5333406,1,3,1,70,15,1,40,48,1,,2,40,1,,2,2,1,,,,,,,,,,,1,2,,877803,2,,49,98,98,1,2,01,4921,15,94.128462473
5333406,1,4,1,70,15,1,108,48,1,,2,108,3,,1,2,1,,,,,,,,,,,1,2,,877803,2,,97,45,59,1,2,01,9700,15,94.128462473
5333407,1,1,1,70,68,1,20,48,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,38,62,62,1,2,01,3811,68,359.76342651
5333408,1,2,1,70,68,1,28,48,1,,2,28,1,,9,2,1,,,,,1,,,,,,,2,,900000,2,,56,53,53,1,2,01,5629,68,377.94074078
