DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5352604,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,796.26692861
5352604,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,796.26692861
5352605,1,2,1,80,2,1,3,,1,,3,1,,2,,2,,2,,700000,2,1,01,3,15,3583.2011787
5352605,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,3583.2011787
5352607,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,15,796.26692861
5352607,1,2,1,80,2,1,2,,2,,,1,,2,,2,,,,,2,1,01,1.2,15,796.26692861
5352612,1,2,1,80,2,1,8,,2,,,1,,2,,2,,,,,2,1,01,1.4,15,796.26692861
5352612,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,796.26692861
5352665,1,2,1,80,2,1,3,,2,,,1,,2,,2,,,,,2,1,01,4,15,796.26692861
5352665,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,796.26692861
5352665,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,796.26692861
5352665,1,6,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,796.26692861
5352692,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5352693,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,1707.6374648
5352695,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,68,967.90384504
5352695,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5352696,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5352700,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,68,967.90384504
5352700,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,68,967.90384504
5352701,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5352701,1,4,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,68,967.90384504
5352701,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,967.90384504
5352702,1,3,1,80,2,1,2,,2,,,2,,2,,2,,,,,2,1,01,4,68,967.90384504
5352702,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,967.90384504
5352703,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,68,967.90384504
5352731,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,15,796.26692861
5352731,1,3,1,80,2,1,8,,2,,,12,ESPERANDO QUE LO LLAMEN,2,,1,1000000,,,,2,1,01,1.2,15,796.26692861
5352733,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,15,796.26692861
5352733,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,796.26692861
5352733,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,796.26692861
5352734,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,2,15,1807.6810315
5352734,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,15,1807.6810315
5352734,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,1807.6810315
5352734,1,7,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,1807.6810315
5352735,1,2,1,80,2,1,3,,2,,,1,,2,,1,500000,1,48,800000,2,1,01,1.1,15,796.26692861
5352735,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,796.26692861
5352735,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,796.26692861
5352737,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,15,796.26692861
5352738,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,15,796.26692861
5352738,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,15,796.26692861
5352741,1,1,1,80,2,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,15,796.26692861
5352742,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,1404.8247109
5353634,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,2063.6912181
5353637,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353637,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353638,1,2,1,80,2,2,,,,2,,,.,2,,2,,1,30,400000,2,1,01,,70,1308.9501071
5353638,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1308.9501071
5353639,1,1,1,80,2,1,3,,2,,,4,,2,,2,,2,,400000,2,1,01,4,70,1099.8391351
5353639,1,6,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1099.8391351
5353640,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1458.9199109
5353641,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1712.3887494
5353642,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1593.7647211
5353642,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,70,1593.7647211
5353642,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1593.7647211
5353642,1,7,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1593.7647211
5353642,1,8,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1593.7647211
5353644,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1095.0084272
5353644,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,70,1095.0084272
5353645,1,1,1,80,2,1,4,,2,,,4,,2,,2,,2,,300000,2,1,01,3,70,1405.1593766
5353645,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1405.1593766
5353645,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1405.1593766
5353645,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1405.1593766
5353646,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1712.3887494
5353646,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1712.3887494
5353647,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1745.6861304
5353648,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1836.1920846
5353648,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1836.1920846
