DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5347759,1,1,1,10,1,1,4,1987,33,1,6,,1,2,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,201.3798871
5347759,1,2,1,10,2,2,12,1989,31,2,6,,1,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,35112,2,1,2,,6,2,3,,17,13,01,17,201.3798871
5347759,1,3,1,10,2,2,9,2008,12,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,6,,,17,6,01,17,201.3798871
5347760,1,1,1,10,1,1,3,1995,25,1,6,,1,2,,2,,1,2,1,,,,1,,1,,,,,,2,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,230.49136591
5347760,1,2,1,10,2,2,1,1996,24,2,6,,1,2,,2,,1,1,,,,1,,,,,,,,,,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,230.49136591
5347761,1,1,1,10,1,1,4,1938,82,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,3,5,,,17,5,01,17,186.81106599
5347761,1,2,1,10,2,2,8,1948,72,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,17,5,01,17,186.81106599
5347762,1,1,1,10,1,1,7,1950,70,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,105336,2,1,2,,3,5,,,17,5,01,17,226.09361533
5347762,1,2,1,10,2,2,11,1951,69,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,2,105336,2,1,2,,4,7,,,17,7,01,17,226.09361533
5347762,1,3,1,10,3,2,12,1974,46,3,6,,2,1,1,1,2,1,4,,,1,1,,,,,,,,,,2,1,48,,,,2,1,2,,5,11,2,,17,11,01,17,226.09361533
5347762,1,4,1,10,4,1,10,1971,49,5,6,,2,3,,2,,1,3,,,,1,,,,,,,,,,1,,,1,5,,2,1,2,,6,3,3,,17,14,01,17,226.09361533
5347762,1,5,1,10,3,1,12,2003,17,4,6,,6,1,4,1,3,,,,,,,,,,1,,,,,,2,1,48,,,,2,1,2,,5,11,2,,17,11,01,17,226.09361533
5347762,1,6,1,10,6,1,10,1995,25,4,6,,2,2,,1,3,1,7,,,,1,,,,,,,,,,1,,,1,1,56000,2,1,2,,6,2,3,,17,13,01,17,226.09361533
5347762,1,7,1,10,7,2,1,2000,20,9,6,,2,3,,3,,1,6,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,2,3,,17,13,01,17,226.09361533
5347762,1,8,1,10,7,2,12,2017,3,5,6,,,1,6,1,7,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,17,0,01,17,226.09361533
5347763,1,1,1,10,1,2,4,1984,36,1,6,,6,3,,2,,,,,,,,,,,,,,1,,2,1,,,1,1,33112,2,1,2,,5,11,2,,68,11,01,68,543.12527625
5347763,1,2,1,10,1,1,9,2007,13,3,6,,6,3,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,6,,,68,6,01,68,543.12527625
5347763,1,3,1,10,1,1,3,2012,8,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,68,1,01,68,543.12527625
5347764,1,1,1,10,1,2,5,1966,54,1,6,,6,3,,3,,,,,,1,,,,,,1,,,,2,1,,,1,3,109725,2,1,2,,6,5,4,,68,16,01,68,525.25206392
5347764,1,2,1,10,1,1,3,1965,55,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,1,,,2,2,105336,2,1,2,,3,5,,,68,5,01,68,525.25206392
5347765,1,1,1,10,1,2,1,1980,40,1,6,,6,2,,2,,,,,,,1,,,,,,,,,2,1,,,1,3,109725,2,1,2,,6,5,4,,68,16,01,68,495.48030674
5347765,1,2,1,10,1,2,9,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,5,10,1,,68,10,01,68,495.48030674
5347765,1,3,1,10,1,1,11,2011,9,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,2,3,3,,,68,3,01,68,495.48030674
5347766,1,1,1,10,1,1,1,1950,71,1,6,,3,3,,3,,1,2,,,,,,,,,1,,,,2,1,,,1,2,70224,2,1,2,,3,5,,,68,5,01,68,541.73858004
5347766,1,2,1,10,2,2,1,1959,62,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,7,,,68,7,01,68,541.73858004
5347779,1,1,1,10,1,2,5,1982,38,1,6,,4,2,,2,,,,,1,1,,,,1,,1,,,,1,2,1,2,,,,1,1,2,,5,11,2,,68,11,01,68,487.30946467
5347779,1,2,1,10,2,2,5,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,2,1,2,,,,1,1,2,,5,11,2,,68,11,01,68,487.30946467
5347780,1,1,1,10,1,1,2,1964,56,1,6,,4,3,,2,,,,,,,1,,,,,1,,,,2,1,,,1,3,110000,2,1,2,,5,11,2,,68,11,01,68,702.48911277
5347780,1,2,1,10,2,1,11,1994,26,3,6,,6,1,1,2,,,,,,,1,,,,,,,,,,1,,,1,3,110000,2,1,2,,6,6,5,,68,17,01,68,702.48911277
5347781,1,1,1,10,1,2,10,1987,33,1,6,,2,3,,2,,1,2,,1,1,1,,,,,1,,,,2,1,,,1,1,35000,2,1,2,,6,3,3,,68,14,01,68,513.65762101
5347781,1,2,1,10,2,1,12,1996,24,2,6,,2,3,,2,,1,1,,1,1,1,,,,,1,,,,,1,,,1,3,110000,2,1,2,,5,11,2,,68,11,01,68,513.65762101
5347781,1,3,1,10,3,2,4,2008,12,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,7,,,68,7,01,68,513.65762101
5347781,1,4,1,10,1,1,7,2009,11,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,0,,,68,5,01,68,513.65762101
5347782,1,1,1,10,1,1,7,1996,24,1,6,,4,2,,2,,,,,,,1,,,,,1,,,,1,1,,,1,1,35000,2,1,2,,6,3,3,,68,14,01,68,624.57800392
5347782,1,2,1,10,1,1,7,2015,5,3,6,,,1,1,2,,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,68,0,01,68,624.57800392
5347783,1,1,1,10,1,1,3,1980,40,1,6,,3,2,,3,,1,2,,,1,1,,,,,1,,,,1,1,,,1,1,35000,2,1,2,,5,12,2,,68,12,01,68,719.52685301
5347783,1,2,1,10,2,2,6,1989,31,2,6,,3,3,,2,,1,1,,,1,1,,,,,1,,,,,1,,,1,5,,2,1,2,,5,11,2,,68,11,01,68,719.52685301
5347783,1,3,1,10,3,1,3,2005,15,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,5,10,1,,68,10,01,68,719.52685301
5347783,1,4,1,10,1,2,2,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,,1,,,,,1,,,1,5,,2,1,1,1,4,0,,,68,5,01,68,719.52685301
5347784,1,1,1,10,1,2,5,1997,23,1,6,,3,2,,2,,1,2,,1,,,,,,,1,,,,1,1,,,1,3,80000,2,1,2,,5,11,2,,68,11,01,68,680.88819765
5347784,1,2,1,10,2,1,2,1992,28,2,6,,3,2,,2,,1,1,,1,1,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,68,11,01,68,680.88819765
5347784,1,3,1,10,1,1,1,2020,1,3,6,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,68,,01,68,680.88819765
5347784,1,4,1,10,1,1,1,2020,1,3,6,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,68,,01,68,680.88819765
5347785,1,1,1,10,1,2,11,1958,62,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,3,109000,2,1,2,,3,3,,,68,3,01,68,559.91589431
5347785,1,2,1,10,2,1,3,1958,62,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,1,1,2,,3,2,,,68,2,01,68,559.91589431
5347785,1,3,1,10,1,1,11,2004,16,4,6,,6,2,,3,,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,2,5,10,1,,68,10,01,68,559.91589431
5347786,1,1,1,10,1,1,4,1974,46,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,4,8,,,68,8,01,68,609.44194219
5347786,1,2,1,10,2,2,3,1979,41,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,35200,2,1,2,,6,5,4,,68,16,01,68,609.44194219
5347786,1,3,1,10,3,1,3,2002,18,3,6,,6,1,1,1,2,,,1,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,6,1,2,2,68,12,01,68,609.44194219
5347786,1,4,1,10,2,2,2,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,2,4,7,,,68,7,01,68,609.44194219
5347786,1,5,1,10,2,1,9,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,68,0,01,68,609.44194219
5347787,1,1,1,10,1,1,4,1981,39,1,6,,2,2,,3,,1,2,,,,,,,,,,,1,,2,1,,,2,1,60000,2,1,2,,5,11,2,,68,11,01,68,620.73228314
5347787,1,2,1,10,2,2,4,1987,33,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,2,5,,2,1,2,,5,11,2,,68,11,01,68,620.73228314
5347787,1,3,1,10,1,1,4,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,2,5,,2,1,1,2,3,4,,,68,4,01,68,620.73228314
5347788,1,1,1,10,1,2,3,1971,49,1,6,,4,3,,2,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,5,11,2,,68,11,01,68,435.32439223
5347788,1,2,1,10,1,2,11,1995,25,3,6,,6,2,,1,1,,,,,,,1,,1,,,,,,,1,,,3,,,2,1,2,,6,5,4,,68,16,01,68,435.32439223
5347789,1,1,1,10,1,1,11,1983,37,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,1,1,35200,2,1,2,,6,3,3,,68,14,01,68,564.24101561
5347789,1,2,1,10,2,2,12,1983,37,2,6,,3,3,,1,4,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,2,3,,68,13,01,68,564.24101561
5347789,1,3,1,10,2,1,7,2013,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,68,1,01,68,564.24101561
5347789,1,4,1,10,4,2,1,1957,64,5,6,,5,3,,3,,,,,,1,,,,,,,1,,PERDIO LA AFILIACION A SEGURIDAD SOCIAL ERA BENEFICIARIA DE UN HIJO QUE PERDIO EL EMPLEO,,2,1,10,,,,1,1,2,,1,0,,,68,0,01,68,564.24101561
5347789,1,5,1,10,5,1,9,1935,85,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,68,5,01,68,564.24101561
5347790,1,1,1,10,2,1,1,1970,50,1,6,,2,3,,2,,1,2,1,,,,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,68,5,01,68,630.73875535
5347790,1,2,1,10,2,2,4,1979,41,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,68,2,01,68,630.73875535
5347790,1,3,1,10,2,1,12,2006,14,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,1,1,1,1,4,7,,,68,7,01,68,630.73875535
5347791,1,1,1,10,1,2,7,1972,48,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,6,3,2,2,68,14,01,68,630.73875535
5347791,1,2,1,10,2,1,9,1981,39,2,6,,3,2,,2,,1,1,1,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,11,01,68,630.73875535
