DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5346149,1,1,1,60,2,68,1,1,,,1,,,1,2,2,2,18,,1,,2,500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,60,,.,60,,,2,4,,2,,2,,,,1,,,1,,,,,,,2,2,1,0,180,4,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,1,3,,97,47,1,01,1,4722,500000,68,4355.5673027,
5346152,1,1,1,60,2,68,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,4000000,1,60000000,2,,12,1,8,7,0,1,2,9,2,60,,.,60,,,4,8,,2,,2,,,,1,,,1,,,,,,,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,62,01,1,01,5,0123,4000000,68,967.90384504,
5346152,1,2,1,60,2,68,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,45,,.,45,,,4,8,,2,,2,,,,1,,,1,,,,,,,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,62,01,1,01,6,0123,,68,967.90384504,
5346153,1,3,1,60,2,68,2,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,250000,1,3000000,2,,12,2,,,,,2,9,2,38,2,,38,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,30,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,62,01,1,01,4,0161,250000,68,967.90384504,
5346154,1,3,1,60,2,68,2,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,250000,1,3000000,2,,12,2,,,,,2,9,2,48,,.,48,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,2,2,2,2,1,3,,62,01,1,01,4,0161,250000,68,1260.3653787,
5346155,1,1,1,60,2,68,2,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,450000,1,6000000,2,,12,2,,,,,2,5,2,35,2,,35,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,40,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,62,01,1,01,4,0161,450000,68,3820.0380268,
5346170,1,1,1,60,2,41,2,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,30000,1,98,3,,12,2,,,,,2,1,1,30,1,,0,1,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,30,2,2,,,,1,1,1,1,2,1,2,2,1,1,2,,2,1,2,2,2,2,2,1,8,,99,38,1,01,4,3830,30000,41,955.74331547,
5346171,1,1,1,60,2,41,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,,1,98,3,,8,2,,,,,3,1,1,42,,.,42,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,1,,2,,,,,,,,3,11,10,,1,20,2,1,1,1,1,1,2,1,1,1,1,2,2,,2,1,2,2,1,2,2,2,3,,98,49,1,01,4,4921,,41,597.85229061,
5346171,1,2,1,60,2,41,2,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,,1,98,3,,12,2,,,,,2,10,1,50,,.,50,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,60,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,2,1,2,2,2,2,1,1,8,,62,01,1,01,4,0123,,41,597.85229061,
5346171,1,3,1,60,2,41,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,150000,1,150000,1,,1,2,,,,,1,1,1,50,,.,0,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,30,2,1,5,2,1,1,1,1,1,2,1,2,2,2,2,2,,2,1,2,2,2,2,2,1,3,,54,88,1,01,4,8890,150000,41,597.85229061,
5346172,1,1,1,60,2,41,2,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,80000,1,1000000,3,,12,2,,,,,1,3,2,20,1,,20,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,8,,61,01,1,01,4,0141,80000,41,922.5841291,
5346173,1,1,1,60,2,41,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,230000,1,98,1,,12,2,,,,,2,1,1,30,1,,20,6,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,10,2,1,10,2,1,2,,,,,,,,,,,,,,1,2,2,2,2,1,8,,62,01,1,01,4,0142,230000,41,1681.6217265,
