DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6360;P6360S1;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5585986;1;1;1;60;05;1;;;5;1;1;;;1;;1;1;2;1;2;;1;;2;1200000;2;;;1;260000;2;;2;;2;;2;;;1;106454;1;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;2;48;;.;48;;;;1;2;;1;;1;1;1;0;;;;;;;;;1;1;1;1;98;136;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;3;;1;;54;97;1;10;3;9700;1460000;05;2542.9899585;
5585986;1;2;1;60;05;1;;;5;2;;;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;1500000;1;;3;;3;2;12;72;;.;72;;;;1;7;;3;;2;;;;;;;;;;;;1;2;2;1;0;48;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;3;8;;1;;84;45;1;10;4;4542;1500000;05;2542.9899585;
5585988;1;1;1;60;05;1;;;5;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;200000;1;;3;;1;2;1;10;1;;10;;;;1;1;;3;;2;;;;;;;;;;;;1;2;2;1;24;12;1;;1;2;;;;;;;;1;40;2;1;1;1;1;2;1;2;1;2;2;1;TENER PRESTACIONES SOCIALES;1;1;2;2;2;2;2;1;14;;3;;1;1;77;56;1;10;4;5619;200000;05;2416.7413104;
5585988;1;2;1;60;05;1;;;5;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;1000000;1;;3;;1;1;12;50;;.;50;;;;1;5;;1;;1;1;2;7;1;;;;;;;;;1;2;1;0;36;1;;13;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;2;2;2;2;1;1;11;35;8;;1;1;37;53;1;10;4;5320;1000000;05;2416.7413104;
5585989;1;1;1;60;05;1;;;5;1;1;;;1;;2;2;2;2;24;;1;;2;180000;2;;;1;40000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;12;1;;12;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;4;3;1;;1;2;;;;;;;;2;;;;1;2;1;2;1;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;2;2;2;2;1;1;4;90;8;;1;1;54;97;1;10;3;9700;220000;05;1665.6733092;
5585989;1;3;1;60;05;1;;;5;1;1;;;1;;2;2;2;1;60;;1;;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;50;;.;50;;;;8;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;8;;1;;97;14;1;10;1;1410;1000000;05;1665.6733092;
5585990;1;2;1;60;05;1;;;5;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;300000;1;;3;;1;2;12;30;1;;30;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;1;;13;2;;;;;;;;1;30;1;1;1;2;1;2;1;2;1;1;2;1;TENER PRESTACIONES SOCIALES;1;1;2;2;2;2;1;1;2;30;8;;1;1;97;52;1;10;4;5224;300000;05;3118.9997448;
5585992;1;3;1;60;05;1;;;5;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;2;;;;;3;120000;1;;1;;1;2;12;20;1;;20;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;8;2;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;2;3;10;3;;1;;97;52;1;10;4;5224;120000;05;2298.5929511;
5585993;1;1;1;60;05;1;;;5;2;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;400000;1;;1;;1;2;10;30;1;;30;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;9;3;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;2;90;8;;1;;95;41;1;10;4;4111;400000;05;2692.7817588;
5585993;1;2;1;60;05;1;;;5;1;1;;;1;;1;2;2;2;24;;1;;2;200000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;12;1;;12;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;99;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;54;97;1;10;3;9700;200000;05;2692.7817588;
5585994;1;1;1;60;05;1;;;5;1;2;1;;1;;1;1;2;1;24;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;35000;2;2;;;2;;;2;;;1;900000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;5;7;;1;;1;1;1;2;1;;;;;;;;;1;1;1;24;12;1;;2;2;;;;;;;;1;10;2;1;2;;;;;;;;;;;;;1;1;1;2;1;1;4;90;8;;1;;75;21;1;10;1;2100;908526;05;3195.051267;
5585994;1;2;1;60;05;1;;;5;1;1;;;1;;1;1;2;1;1;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;2;7;;1;;1;1;1;16;1;;;;;;;;;1;9;1;0;13;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;4;90;3;;1;;92;18;1;10;1;1811;908526;05;3195.051267;
5586006;1;3;1;60;05;1;;;5;1;2;1;;2;1;1;1;2;1;9;;3;;1;908526;2;;;2;;2;;2;;2;;2;;;1;104000;2;2;;;2;;;2;;;2;;;1;425000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;9;48;;.;48;;;;9;7;;1;;1;1;1;4;1;;;;;;;;;1;9;1;4;3;1;;7;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;3;;1;;75;13;1;10;1;1311;908526;05;898.16172147;7810
5586006;1;4;1;60;05;1;;;5;1;2;1;;1;;1;1;2;1;1;;3;;2;908526;2;;;2;;2;;2;;2;;2;;;1;104000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;1;48;;.;48;;;;9;7;;1;;1;1;1;0;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;45;3;;1;;53;56;1;10;1;5619;908526;05;898.16172147;
5586007;1;1;1;60;05;1;;;5;1;2;2;12;1;;1;1;2;1;1;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;7;7;;4;;2;;;;;;;;;;;;1;9;2;1;0;7;1;;3;2;;;;;;;;1;21;2;1;2;;;;;;;;;;;;;1;1;1;2;1;1;4;30;8;;1;;56;56;1;10;1;5611;908526;05;1107.22057;
5586009;1;1;1;60;05;1;;;5;1;2;1;;1;;1;1;2;1;36;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106000;2;2;;;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;7;7;;1;;1;1;1;3;1;;;;;;;;;1;1;1;5;48;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;40;1;;1;;59;47;1;10;1;4773;908526;05;1267.4448348;
5586010;1;1;1;60;05;1;;;5;1;1;;;1;;1;2;2;2;8;;1;;2;750000;2;;;1;180000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;8;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;20;36;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;25;3;;1;;54;97;1;10;3;9700;930000;05;1117.305358;
5586011;1;1;1;60;05;1;;;5;2;;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;150000;1;;1;;4;1;12;12;1;;4;6;;1;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;90;84;3;;3;1;5;6;4;;0;1;5;1;48;2;2;1;1;1;2;2;2;2;1;2;2;;2;1;2;2;2;2;1;1;14;;3;;1;1;77;56;1;10;4;5619;150000;05;1105.2163605;
5586012;1;1;1;60;05;1;;;5;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;450000;1;;3;;3;2;12;60;;.;60;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;96;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;1;25;5;;1;;95;16;1;10;4;1690;450000;05;1330.7239669;
5586014;1;2;1;60;05;1;;;5;1;1;;;1;;1;2;2;2;180;;1;;2;484000;2;;;1;150000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;30;2;;30;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;3;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;45;5;;1;;55;97;1;10;3;9700;634000;05;731.7282947;
5586015;1;1;1;60;05;1;;;5;1;2;2;6;1;;1;2;2;1;6;;1;;2;1200000;2;;;2;;2;;2;;2;;2;;;1;106526;2;1;34000;2;2;;;2;;;2;;;1;600000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;10;48;;.;48;;;;5;7;;1;;1;2;1;8;1;;;;;;;;;1;1;1;2;96;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;50;5;;1;;03;25;1;10;1;2591;1200000;05;1362.0880471;
5586016;1;1;1;60;05;1;;;5;1;2;2;12;2;1;1;2;2;1;12;;3;;2;908654;2;;;2;;2;;2;;2;;2;;;1;106526;2;2;;;2;;;2;;;2;;;1;900000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;25;1;;;;;;;;;1;1;1;6;48;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;1;15;5;;1;;95;49;1;10;1;4921;908654;05;870.22074831;7810
5586016;1;3;1;60;05;1;;;5;1;2;1;;1;;1;2;2;1;18;;1;;2;908654;2;;;2;;2;;2;;2;;2;;;1;106526;2;2;;;2;;;2;;;2;;;1;900000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;5;1;;;;;;;;;1;1;1;2;48;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;35;5;;1;;97;46;1;10;1;4663;908654;05;870.22074831;
