PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250731;07;2025;8283253;1;1;1;70;;1;214.74793875;66;1;;;;;;;;;1;;144;5;4;1;2;2;2;;2;;.;5223;47;4711
20250731;07;2025;8283253;1;2;1;70;;1;214.74793875;66;1;;;;;;;;;1;;24;5;2;1;3;2;2;;2;;.;5223;47;4724
20250731;07;2025;8283255;1;2;1;70;;1;605.819182;66;;1;12;1;;;;48;1400000;1;;3;5;8;1;3;2;2;;2;;9412;7316;16;1690
20250731;07;2025;8283255;1;3;1;70;;1;605.819182;66;;1;4;1;;;;48;1400000;2;;;;;;;;2;;2;;4311;;;
20250731;07;2025;8283257;1;1;1;70;;1;193.75102483;66;1;;;;;;;;;1;;96;5;5;2;10;2;3;;2;;.;3123;36;3600
20250731;07;2025;8283257;1;2;1;70;;1;193.75102483;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283259;1;1;1;70;;2;652.01012993;66;1;;;;;2;5;;1420000;1;;36;0;3;1;3;2;2;;2;;.;9612;46;4665
20250731;07;2025;8283263;1;2;1;70;;2;410.65966359;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283263;1;5;1;70;;2;410.65966359;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283267;1;2;1;70;;2;295.06244936;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283269;1;1;1;70;;2;555.84979258;66;1;;;;;;;;;1;;24;0;3;3;1;2;2;;2;;.;9111;97;9700
20250731;07;2025;8283271;1;1;1;70;;1;211.36475436;66;1;;;;;;;;;1;;108;5;4;4;1;2;2;;2;;.;9111;81;8121
20250731;07;2025;8283275;1;1;1;70;;1;208.52291125;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283277;1;2;1;70;;2;537.44299102;66;1;;;;;;;;;1;;240;5;5;2;10;2;3;;2;;.;2411;84;8415
20250731;07;2025;8283277;1;4;1;70;;2;537.44299102;66;1;;;;;;;;;1;;30;5;3;1;3;2;2;;2;;.;5131;56;5611
20250731;07;2025;8283283;1;1;1;70;;2;295.06244936;66;1;;;;;;;;;1;;120;0;4;4;10;2;2;;2;;.;4110;69;6910
20250731;07;2025;8283283;1;2;1;70;;2;295.06244936;66;1;;;;;;;;;1;;12;0;4;2;10;2;3;;2;;.;2341;85;8530
20250731;07;2025;8283285;1;2;1;70;;2;295.06244936;66;1;;;;;;;;;1;;120;5;3;4;1;2;2;;2;;.;9111;81;8121
20250731;07;2025;8283287;1;1;1;70;;2;485.3554244;66;;1;3;1;;;;50;1400000;1;;1;0;6;1;4;2;2;;2;;6113;6113;93;9329
20250731;07;2025;8283287;1;2;1;70;;2;485.3554244;66;;1;4;1;;;;45;1400000;1;;1;0;6;1;4;2;2;;2;;9112;9112;93;9329
20250731;07;2025;8283289;1;3;1;70;;1;555.33425017;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283293;1;1;1;70;;1;374.9222528;66;1;;;;;;;;;1;;6;1;6;1;5;2;2;;2;;.;9112;55;5511
20250731;07;2025;8283293;1;2;1;70;;1;374.9222528;66;;1;16;1;;;;50;1800000;1;;4;1;4;1;4;2;2;;2;;5113;5113;79;7911
20250731;07;2025;8283295;1;1;1;70;;1;201.86526588;66;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;5120;56;5619
20250731;07;2025;8283299;1;1;1;70;;1;380.16051899;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283299;1;2;1;70;;1;380.16051899;66;1;;;;;;;;;1;;120;5;4;4;1;2;2;;2;;.;9612;46;4665
20250731;07;2025;8283299;1;3;1;70;;1;380.16051899;66;1;;;;;;;;;1;;12;5;9;1;2;2;2;;2;;.;5223;47;4771
20250731;07;2025;8283301;1;2;1;70;;1;545.59652059;66;1;;;;;2;5;;1400000;1;;24;0;3;1;3;2;2;;2;;.;5221;10;1081
20250731;07;2025;8283305;1;2;1;70;;1;549.25993654;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283307;1;1;1;70;;1;238.83635685;66;1;;;;;;;;;1;;120;5;4;4;1;2;2;;2;;.;5211;47;4781
20250731;07;2025;8283313;1;1;1;70;;1;452.78063074;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283313;1;4;1;70;;1;452.78063074;66;1;;;;;;;;;1;;8;5;5;1;5;2;3;;2;;.;9412;56;5611
20250731;07;2025;8283313;1;5;1;70;;1;452.78063074;66;;1;2;1;;;;48;1423500;1;;1;4;4;1;4;2;2;;2;;5131;7534;31;3110
20250731;07;2025;8283313;1;6;1;70;;1;452.78063074;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283317;1;2;1;70;;1;211.36475436;66;1;;;;;;;;;1;;60;5;3;4;1;2;2;;2;;.;7514;10;1089
