PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250105;01;2025;8086945;1;1;01;;2;2272.2197031;68;1;1;4;1;1;2;2;2;;1;1;4;3;2;1;4;1;1;4;4;;;;600000;;;1;;;;;;;;;;1;4
20250105;01;2025;8086946;1;1;01;;2;748.17535738;68;1;1;2;1;1;2;2;2;;1;1;4;2;2;1;4;1;1;5;4;;;;200000;;;;;;;;;;;1;;;2
20250105;01;2025;8086947;1;1;01;;1;851.77959053;68;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;1;1;;;;;;3
20250105;01;2025;8086948;1;1;01;;1;838.25042843;68;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;1;2
20250105;01;2025;8086949;1;1;01;;1;671.50797484;68;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;100000000;500000;;;;;;;;;;;;;1;2
20250105;01;2025;8086950;1;1;01;;1;605.44988475;68;1;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;1;;;90000000;350000;;;;;;;;;;;1;;;1
20250105;01;2025;8086951;1;1;01;;1;790.58733603;68;2;1;2;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;400000;;;1;;;;1;;;;;;1;4
20250105;01;2025;8086952;1;1;01;;2;1301.5950272;68;1;1;4;1;1;2;2;1;2;2;1;4;2;2;1;1;6;1;4;3;;;;;350000;;1;;;;;;;;;;1;4
20250105;01;2025;8086953;1;1;01;;1;922.0116426;68;2;1;2;1;2;2;1;1;3;1;1;3;1;1;1;1;1;1;4;3;;;;;250000;;1;;;;;;;;;;;1
20250105;01;2025;8086954;1;1;01;;2;538.68625732;68;1;1;4;1;1;2;2;1;2;2;1;4;1;2;1;1;6;1;4;1;;;100000000;300000;;;1;;;;;;;;;;;1
20250105;01;2025;8086955;1;1;01;;2;538.68625732;68;2;1;4;1;1;2;2;1;2;2;1;3;2;2;1;1;6;1;4;3;;;;;300000;;1;;;;;;;;;;;2
20250105;01;2025;8086956;1;1;01;;1;860.83138237;68;2;1;4;1;2;2;1;1;3;1;1;2;1;1;1;1;1;1;4;3;;;;;200000;;;;;;;;;;;;1;2
20250105;01;2025;8086957;1;1;01;;2;538.68625732;68;2;1;4;1;1;2;2;1;2;2;1;4;2;2;1;1;6;3;4;5;;;;500000;;;;;;;;;;;;;1;2
20250105;01;2025;8086958;1;1;01;;2;538.68625732;68;1;1;4;1;1;2;2;1;2;2;1;3;1;2;1;1;6;1;4;1;;;120000000;350000;;;;;;;;;;;1;;;1
20250105;01;2025;8086959;1;1;01;;2;959.28911271;68;1;1;4;1;1;2;2;1;2;2;1;3;2;2;1;1;6;1;4;3;;;;;300000;;;;;;;;;;1;;;2
20250105;01;2025;8086961;1;1;01;;1;894.13379032;68;2;1;4;1;1;1;2;1;1;1;1;4;1;2;1;1;2;1;3;3;;;;;500000;;1;;;;;;;;;;;2
20250105;01;2025;8086962;1;1;01;;1;756.55202874;68;2;1;3;1;1;1;2;1;1;1;1;4;3;2;1;1;2;1;3;1;;;100000000;500000;;;;;;;;;;;;;1;4
20250105;01;2025;8086963;1;1;01;;1;908.56489657;68;1;1;4;1;1;1;2;1;1;1;1;4;3;2;1;1;2;1;3;3;;;;;400000;;1;;;;;;;;;;;3
20250105;01;2025;8086964;1;1;01;;1;1086.359749;68;1;1;2;1;1;1;2;1;1;1;1;3;2;2;1;1;2;1;3;3;;;;;300000;;;;;;;;;;;;1;4
20250105;01;2025;8086965;1;1;01;;1;894.13379032;68;1;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;2;1;3;1;;;60000000;500000;;;1;;;;;;;;;;;2
20250105;01;2025;8086966;1;1;01;;1;1047.8422919;68;2;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;2;1;3;3;;;;;400000;;;;;;;;;;;;1;3
20250105;01;2025;8086967;1;1;01;;1;894.13379032;68;2;1;2;1;1;1;2;1;1;1;1;3;1;2;1;1;2;1;3;4;;;;400000;;;1;;;;;;;;;;;2
20250105;01;2025;8086968;1;1;01;;1;556.46791528;68;1;1;2;1;1;1;2;1;1;1;1;4;2;2;1;1;2;1;3;1;;;50000000;200000;;;1;;;;;;;;;;;2
20250105;01;2025;8086969;1;1;01;;1;934.05400592;68;2;1;2;1;1;1;2;1;1;1;1;3;1;2;1;1;2;1;3;3;;;;;350000;;;;;;;;;;;;1;2
20250105;01;2025;8086970;1;1;01;;1;648.39926961;68;1;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;2;1;3;3;;;;;300000;;;;;;;;;;;;1;4
20250105;01;2025;8086971;1;1;01;;2;1164.8012385;68;1;1;2;1;1;2;2;1;3;1;1;4;3;2;1;1;2;1;4;1;;;70000000;300000;;;1;;;;;;;;;;1;4
20250105;01;2025;8086972;1;1;01;;2;940.43153843;68;2;1;4;1;1;2;2;1;3;1;1;3;2;2;1;1;2;1;4;3;;;;;300000;;;;;;;;;;;;1;3
20250105;01;2025;8086973;1;1;01;;2;377.20346447;68;1;1;2;1;1;2;2;1;3;1;1;2;1;2;1;1;2;1;4;3;;;;;400000;;;;;;;;;;1;;;2
20250105;01;2025;8086974;1;1;01;;2;1139.6378334;68;1;1;2;1;1;2;2;1;3;1;1;3;2;2;1;1;2;1;4;5;;;;300000;;;;;;;;;;;1;;;3
20250105;01;2025;8086975;1;1;01;;2;1192.8248296;68;1;1;4;1;1;2;2;1;3;1;1;3;2;2;1;1;2;1;4;1;;;80000000;400000;;;1;;;;;;;;;;1;4
20250105;01;2025;8086976;1;1;01;;2;298.20620741;68;1;1;4;1;1;2;2;1;3;1;1;3;1;2;1;1;2;1;4;1;;;70000000;400000;;;1;;;;;;;;;;1;1
20250105;01;2025;8086977;1;1;01;;2;198.80413827;68;1;1;4;1;1;2;2;1;2;2;1;2;1;2;1;1;3;1;4;1;;;160000000;500000;;;;;;;;;;;1;;;1
20250105;01;2025;8086978;1;1;01;;2;371.90507154;68;1;1;2;1;1;2;2;1;2;2;1;4;3;2;1;1;3;1;4;4;;;;400000;;;1;;;;;;;;;;;4
20250105;01;2025;8086979;1;1;01;;2;766.9611854;68;1;1;4;1;0;2;2;1;2;2;1;3;2;2;1;1;3;1;4;5;;;;300000;;;1;;;;;;;;;;1;4
20250105;01;2025;8086980;1;1;01;;2;222.06803688;68;1;1;4;1;1;2;2;1;2;2;1;4;3;2;1;1;3;1;4;1;;;100000000;450000;;;1;;;;;;;;;;;4
20250105;01;2025;8086981;1;1;01;;2;650.79074101;68;1;1;4;1;1;2;2;1;2;2;1;5;4;2;1;1;3;1;4;1;;;30000000;300000;;;;;;;;;;;;;1;5
20250105;01;2025;8086982;1;1;01;;2;198.80413827;68;1;1;4;1;0;2;2;1;2;2;1;3;1;2;1;1;3;1;4;4;;;;400000;;;1;;;;;;;;;;;2
20250105;01;2025;8086983;1;1;01;;2;629.93821696;68;1;1;2;1;1;2;2;1;2;2;1;3;2;2;1;1;3;1;4;4;;;;400000;;;1;;;;;;;;;;;5
20250105;01;2025;8086984;1;1;01;;2;480.3584169;68;1;5;2;1;0;2;2;1;2;2;1;2;1;2;1;1;3;1;4;5;;;;250000;;;;;;;;;;;;;1;4
20250105;01;2025;8086985;1;1;01;;2;324.1122112;68;1;1;4;1;9;2;2;1;2;2;1;4;1;2;1;1;3;1;4;4;;;;400000;;;;;;;;;;;;;1;1
20250105;01;2025;8086986;1;1;01;;2;198.80413827;68;1;1;2;1;1;2;2;1;2;2;1;4;3;2;1;1;3;1;5;4;;;;300000;;;;;;;;;;;;;1;3
20250105;01;2025;8086988;1;1;01;;2;1140.5581047;68;2;1;2;1;1;2;2;1;3;1;1;3;2;2;1;1;2;1;4;3;;;;;300000;;;;;;;;;;;;1;6
