DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5372948,1,3,1,90,1,4,1,16,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1394.9734241
5372948,1,4,1,90,1,3,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1394.9734241
5372948,1,5,1,90,1,3,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1394.9734241
5372949,1,1,1,90,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1437.185466
5372949,1,2,1,90,1,7,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1437.185466
5373383,1,1,1,90,2,,1,28,1,14,1,14,2,,2,,2,,2,,2,,1,2,2,02,44,1375.2312415
5373383,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1375.2312415
5373383,1,3,1,90,2,,1,7,1,7,2,,2,,2,,2,,2,,2,,2,,2,02,44,1375.2312415
5373384,1,1,1,90,2,,1,28,2,,1,21,2,,2,,2,,2,,2,,2,,2,02,44,1701.2909968
5373384,1,2,1,90,2,,1,7,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,44,1701.2909968
5373384,1,3,1,90,2,,1,7,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,44,1701.2909968
5373384,1,5,1,90,2,,1,24,2,,1,35,2,,2,,2,,2,,2,,2,,2,02,44,1701.2909968
5373385,1,1,1,90,2,,1,8,2,,2,,1,14,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,3,1,90,2,,1,42,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,6,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373385,1,7,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
