DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5369738,1,3,1,60,68,1,68,1,2,2,12,1,,,1,1,2,1,60,,2,,2,,2,,,2,,2,,2,,2,,2,,,1,98,2,2,,,2,,,2,,,2,,,1,98,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,98,1,1,,,,,,,,,2,1,1,0,60,1,,2,,,,,,,,1,2,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,11,42,1,02,1,4210,,68,353.34767654,
5369739,1,6,1,60,68,1,68,1,2,1,,1,,,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,1000000,1,,1,,5,2,,,,,1,1,1,48,,.,48,,,6,6,,1,,1,1,2,1,1,1,,,,,,,,,1,2,1,1,1,1,,2,,,,,,,,3,3,15,,2,,,,1,1,2,1,2,1,2,2,2,2,2,,1,1,1,2,1,2,2,1,8,,45,19,1,02,4,1921,1000000,68,763.76915446,
5369740,1,1,1,60,68,1,68,2,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,525000,1,,3,,12,2,,,,,3,1,2,30,2,,30,,,1,6,,10,,2,,,,1,,,,,,,,,1,2,2,1,6,48,3,,1,68,20,1,,50000,2,7,9,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,56,1,02,4,5619,575000,68,874.84607705,
5369740,1,2,1,60,68,1,68,1,1,,,1,,,2,2,2,2,9,,1,,2,800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,3,7,,5,,2,,,,1,,,,,,,,,1,2,2,1,9,12,1,,2,,,,,,,,2,3,14,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,7,,55,10,1,02,1,1081,800000,68,874.84607705,
5369740,2,1,2,60,68,1,68,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,390000,1,,3,,10,2,,,,,3,1,2,18,2,,18,,,1,6,,6,,2,,,,1,,,,,,,,,1,2,2,1,0,1,1,,2,,,,,,,,1,3,19,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,45,56,1,02,4,5619,390000,68,874.84607705,
5369740,2,2,2,60,68,1,68,1,1,,,1,,,2,2,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,600000,1,,3,,12,2,,,,,1,1,1,40,,.,40,,,1,7,,7,,2,,,,1,,,,,,,,,1,2,2,1,6,6,4,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,84,45,1,02,4,4520,600000,68,874.84607705,
5369740,3,1,3,60,68,1,68,2,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,600000,1,,3,,12,1,1,1,0,0,3,1,2,48,,.,48,,,2,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,1,,2,,,,,,,,1,3,18,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,21,45,1,02,5,4520,600000,68,874.84607705,
5369741,1,1,1,60,68,1,68,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,4,3,1,0,3,3,2,50,,.,50,,,3,7,,1,,1,2,2,10,1,1,,,,,,,,,2,2,1,0,120,4,,2,,,,,,,,3,3,2,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,15,1,02,5,1521,2000000,68,403.75404386,
5369741,1,2,1,60,68,1,68,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,4,3,1,0,3,3,2,50,,.,50,,,3,7,,3,,2,,,,1,,,,,,,,,1,2,2,1,0,24,4,,2,,,,,,,,3,3,1,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,15,1,02,5,1521,2000000,68,403.75404386,
5369742,1,2,1,60,68,1,68,1,1,,,1,,,1,2,2,2,6,,1,,2,600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,3,,45,47,1,02,1,4741,600000,68,692.28385672,
