DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5372937,2,2,2,60,2,68,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,20,2,,20,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,3,,98,10,1,02,6,1051,,68,1924.6090303,
5372938,1,1,1,60,2,18,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,900000,1,7200000,3,,12,2,,,,,2,10,2,48,,.,48,,,2,9,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,240,4,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,95,41,1,02,4,4111,900000,18,980.0573921,
5372938,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,84,,2,,2,550000,2,,,1,150000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,24,3,,2,,,,,,,,3,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,62,01,1,02,1,0145,700000,18,980.0573921,
5372938,1,3,1,60,2,18,1,1,,,1,,,1,2,2,2,1,,1,,2,700000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,48,,.,48,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,72,8,,2,,,,,,,,3,3,20,,2,,,,1,1,2,1,2,2,2,1,1,1,2,,2,1,2,2,1,2,2,1,3,,55,01,1,02,1,0145,700000,18,980.0573921,
5372939,1,1,1,60,2,18,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,8400000,3,,12,2,,,,,2,1,1,45,,.,45,,,2,9,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,4,,2,,,,,,,,3,11,15,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,1,1,1,2,2,1,3,,95,41,1,02,4,4111,700000,18,2957.2016627,
5372940,1,2,1,60,2,18,1,2,1,,1,,,1,1,1,1,12,,2,,2,1000000,2,,,2,,2,,2,,2,,2,,,1,106500,2,2,,,2,,,2,,,2,,,1,500000,1,500000,1,485000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,2,7,,1,,1,1,1,1,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,11,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,58,68,1,02,1,6820,1000000,18,1170.9551423,
5372941,1,1,1,60,2,18,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,7200000,3,,12,2,,,,,3,1,1,40,,.,40,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,4,,2,,,,,,,,3,11,10,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,2,1,2,2,2,2,2,3,,98,49,1,02,4,4921,600000,18,1589.255643,
5372941,1,2,1,60,2,18,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,140000,1,1680000,3,,12,2,,,,,2,4,2,8,1,,8,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,6,3,,2,,,,,,,,9,11,15,,1,24,2,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,1,1,1,2,2,1,3,,54,81,1,02,4,8110,140000,18,1589.255643,
5372942,1,1,1,60,2,18,1,2,1,,1,,,1,1,1,1,120,,2,,2,908000,2,,,2,,2,,2,,2,,2,,,1,106500,2,2,,,2,,,2,,,2,,,1,454000,1,460000,1,454000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,6,4,,1,,1,1,1,15,1,1,,,,,,,,,1,1,1,0,36,1,,2,,,,,,,,3,11,30,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,8,,98,11,1,02,1,1104,908000,18,739.30041567,
5372942,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,1,,1,,2,450000,2,,,1,240000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,1,,,,,,,,,48,,.,48,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,24,6,1,,2,,,,,,,,2,11,20,,2,,,,1,1,2,1,2,2,2,1,1,2,2,,2,1,2,2,1,2,2,1,3,,54,97,1,02,3,9700,690000,18,739.30041567,
