DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5367085,1,3,1,60,05,5,1,2,2,12,1,,,1,2,2,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1200000,1,,3,,12,2,,,,,1,4,1,40,,.,40,,,6,1,,1,,1,2,2,11,1,1,,,,,,,,,1,1,1,0,48,4,,2,,,,,,,,3,14,,,1,25,1,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,70,1,4,7020,1200000,02,05,951.35407075,
5367086,1,2,1,60,05,5,1,2,1,,1,,,1,1,2,1,120,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,1,34800,2,2,,,2,,,2,,,1,895000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,5,,1,,1,2,1,23,1,1,,,,,,,,,1,1,1,2,60,1,,2,,,,,,,,1,11,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,37,53,1,1,5320,908526,02,05,1083.3399696,
5367087,1,1,1,60,05,5,1,2,2,12,1,,,1,1,2,1,144,,5,,2,2300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2300000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,24,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,1,,21,43,1,1,4321,2300000,02,05,1142.5103289,
5367088,1,2,1,60,05,5,1,2,2,12,1,,,1,1,2,1,4,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,250000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,8,1,1,,,,,,,,,1,1,1,6,2,1,,2,,,,,,,,5,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,53,56,1,1,5611,908526,02,05,1111.6375453,
5367089,1,3,1,60,05,5,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,1000000,1,,3,,12,2,,,,,3,1,1,50,,.,50,,,1,7,,1,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,5,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,1,1,1,2,2,1,5,,81,31,1,4,3110,1000000,02,05,1137.0497922,
5367091,1,4,1,60,05,5,1,2,1,,1,,,1,1,2,1,120,,1,,2,1000000,2,,,2,,2,,2,,2,,2,,,1,106454,2,1,98,2,2,,,2,,,2,,,1,980000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,20,1,1,,,,,,,,,1,1,1,0,10,1,,2,,,,,,,,1,2,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,47,1,1,4771,1000000,02,05,985.1697889,
5367092,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,180,,1,,2,1400000,2,,,1,400000,1,700000,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,1400000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,2,2,,1,,1,2,1,24,1,1,,,,,,,,,1,1,1,0,72,1,,2,,,,,,,,1,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,59,97,1,3,9700,2500000,02,05,1076.3458793,
5367093,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,5,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,102000,2,2,,,2,,,2,,,2,,,1,1000000,2,,2,,2,,2,,1,7,,,,,,,,,,,,7,,,,,,,,,48,,.,55,,,6,9,,1,,1,1,1,9,1,1,,,,,,,,,1,1,1,5,12,1,,2,,,,,,,,1,4,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,95,41,1,1,4111,1200000,02,05,1255.4940552,
5367094,1,1,1,60,05,5,1,2,1,,1,,,2,2,2,2,1,,1,,2,1600000,2,,,2,,2,,2,,2,,2,,,1,102000,1,1,34800,2,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,48,,.,48,,,6,9,,1,,1,1,1,11,1,1,,,,,,,,,1,1,1,6,112,1,,2,,,,,,,,5,4,45,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,8,,95,42,1,1,4210,1600000,02,05,1514.4785614,
5367094,1,2,1,60,05,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,80000,1,,3,,12,2,,,,,3,4,2,10,2,,10,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,1,1,2,1,2,2,2,2,1,2,2,,2,1,2,2,2,2,2,1,3,,45,47,1,4,4792,80000,02,05,1514.4785614,
