DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6036463;1;2;1;60;;1;76;1;2;1;;1;;1;1;1;1;48;;1;;2;2000000;2;;;2;;2;;2;;2;;2;;;1;100000;1;2;;;2;;;2;;;2;;;1;1000000;1;1000000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;4;7;;1;;1;2;1;8;1;;;;;;;;;1;2;1;2;36;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;20;1;;1;;35;49;1;12;1;4923;2000000;76;3199.8967248;
6036465;1;1;1;60;;1;76;1;2;1;;1;;1;1;1;1;216;;1;;2;2300000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1150000;1;11500000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;18;1;;;;;;;;;1;2;1;1;8;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;6;30;1;;1;;02;36;1;12;1;3600;2300000;76;3199.8967248;
6036466;1;2;1;60;;1;76;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;2500000;1;;3;;3;2;12;48;;.;48;;;;1;4;;1;;1;2;2;16;1;;;;;;;;;1;2;1;0;7;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;15;15;2;;1;;98;49;1;12;4;4923;2500000;76;1829.1767054;
6036466;1;3;1;60;;1;76;2;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;30000000;1;;1;;1;1;10;40;;.;40;;;;9;7;;1;;1;2;2;10;1;;;;;;;;;1;2;1;1;4;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;15;60;2;;1;;19;84;1;12;4;8413;30000000;76;1829.1767054;
6036469;1;1;1;60;;1;76;2;;;;;;;;;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;600000;1;;3;;1;2;12;56;;.;56;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;2;1;1;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;3;10;8;;1;1;41;47;1;12;4;4721;600000;76;5140.7432059;
6036469;1;2;1;60;;1;76;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;600000;1;;3;;1;2;12;56;;.;56;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;8;;1;;41;47;1;12;4;4721;600000;76;5140.7432059;
6036473;1;3;1;60;;1;76;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;;1;;3;;3;2;12;50;;.;50;;;;1;3;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;1;2;1;1;3;4;8;;1;;41;47;1;12;4;4724;;76;3463.3143707;
6036476;1;1;1;60;;1;76;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;600000;1;;3;;3;2;12;60;;.;60;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;2;2;2;;2;1;2;2;2;2;2;1;3;10;8;;1;1;45;92;1;12;4;9200;600000;76;3419.4578827;
6036477;1;2;1;60;;1;76;1;2;1;;1;;1;2;2;2;0;;1;;2;700000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;1;25;2;;25;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;6;20;3;;1;;59;47;1;12;1;4773;700000;76;3150.0590898;
6036478;1;1;1;60;;1;76;2;;;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400000;1;;3;;1;2;12;50;;.;0;1;;2;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;2;1;1;2;2;2;2;1;2;;2;1;2;2;2;2;1;1;15;5;3;;1;1;41;47;1;12;4;4729;400000;76;2576.3824771;
6036479;1;1;1;60;;1;76;1;2;1;;1;;1;1;1;1;48;;3;;1;1350000;1;98;2;2;;2;;2;;2;;2;;;1;106000;1;2;;;2;;;2;;;2;;;1;650000;1;650000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;2;;1;;1;1;1;10;1;;;;;;;;;1;1;1;12;36;4;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;20;3;;1;;59;86;1;12;1;8699;1350000;76;2480.0295403;
6036490;1;1;1;60;;1;76;1;1;;;1;;1;2;2;2;156;;1;;2;500000;2;;;2;;2;;2;;2;;2;;;1;46000;1;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;24;2;;24;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;60;24;3;;5;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;1;2;1;1;6;15;3;;1;;54;97;1;12;3;9700;500000;76;3737.2038351;
6036490;1;2;1;60;;1;76;1;1;;;1;;2;2;2;2;8;;1;;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;8;12;1;;12;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;17;6;3;;5;2;;;;;;;;1;30;1;1;1;1;1;2;2;2;1;2;2;2;;1;1;2;2;2;2;1;1;6;10;8;;1;1;54;97;1;12;3;9700;400000;76;3737.2038351;
6036490;1;3;1;60;;1;76;1;2;1;;1;;1;1;1;1;132;;2;;2;1014980;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;450000;1;450000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;43;;.;43;;;;4;7;;1;;1;1;1;11;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;6;15;3;;1;;39;52;1;12;1;5229;1014980;76;3737.2038351;
6036490;1;4;1;60;;1;76;2;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;900000;1;;3;;1;1;12;54;;.;52;6;;2;1;4;;3;;2;;;;;;;;;;;;1;2;2;1;2;64;1;;2;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;1;1;LA INSEGURIDAD;1;1;2;2;2;2;1;1;11;2;8;;1;1;98;49;1;12;4;4921;900000;76;3737.2038351;
6036492;1;1;1;60;;1;76;1;1;;;1;;1;2;2;2;1;;1;;2;750000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;9;40;;.;40;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;6;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;12;5;;1;;53;56;1;12;1;5619;750000;76;3116.3257975;
6036492;1;2;1;60;;1;76;1;1;;;1;;2;2;2;2;2;;1;;2;800000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;11;50;;.;50;;;;4;9;;2;;2;;;;;;;;;;;;1;2;2;1;1;2;1;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;2;1;2;2;;2;1;2;2;1;2;2;1;3;10;5;;1;1;95;41;1;12;1;4111;800000;76;3116.3257975;
6036494;1;1;1;60;;1;76;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400000;1;;1;;1;2;8;30;1;;20;6;;2;1;2;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;1;1;1;2;;1;1;2;2;1;2;2;1;3;5;8;;1;1;56;96;1;12;4;9601;400000;76;2884.2143677;
6036501;1;1;1;60;;1;76;2;;;;;;;;;;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;200000;1;;3;;10;2;12;40;;.;40;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;2;3;20;8;;1;;41;47;1;12;4;4724;200000;76;3419.4578827;
6036504;1;1;1;60;;1;76;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;300000;1;;3;;6;2;12;50;;.;50;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;36;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;1;2;1;1;14;;3;;1;;41;47;1;12;4;4724;300000;76;3419.4578827;
6036506;1;1;1;60;;1;76;2;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;720000;1;;3;;1;2;6;50;;.;50;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;1;240;4;;13;2;;;;;;;;2;;;;1;2;1;2;2;2;2;1;2;2;;2;1;2;2;2;2;1;1;12;20;3;;1;1;95;41;1;12;4;4111;720000;76;2716.3028748;
6036508;1;1;1;60;;1;76;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;1800000;1;;3;;1;2;12;50;;.;50;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;2;120;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;200;8;;1;;61;01;1;12;4;0121;1800000;76;3066.1792234;
6036509;1;1;1;60;;1;76;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;;1;;3;;8;2;10;70;;.;70;;;;1;1;;2;;2;;;;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;2;;1;;59;85;1;12;4;8559;;76;3419.4578827;
6036514;1;1;1;60;;1;76;1;1;;;1;;1;2;2;2;25;;1;;2;550000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;200000;1;200000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;36;2;;36;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;3;18;3;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;13;5;;1;;54;97;1;12;3;9700;550000;76;3094.9138155;
6036515;1;1;1;60;;1;76;1;2;2;11;2;1;1;2;2;2;48;;2;;2;900000;2;;;2;;2;;2;;2;;2;;;1;104000;1;2;;;2;;;2;;;2;;;1;450000;1;450000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;11;40;;.;40;;;;9;7;;1;;1;1;1;4;1;;;;;;;;;1;1;1;2;12;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;2;20;8;;1;;13;88;1;12;1;8891;900000;76;2714.7997839;8413
6036522;1;1;1;60;;1;76;2;;;;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400000;1;;3;;1;2;12;20;2;;20;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;56;120;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;14;;3;;1;;59;96;1;12;4;9609;400000;76;2668.3219439;
6036522;1;2;1;60;;1;76;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;300000;1;;2;;1;2;8;40;;.;40;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;3;6;4;;8;2;;;;;;;;2;;;;1;2;1;2;1;2;2;2;2;2;;1;1;2;2;2;2;2;1;9;90;3;;1;1;64;03;1;12;4;0312;300000;76;2668.3219439;
6036944;1;1;1;60;;1;15;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;;1;;3;;6;2;12;60;;.;60;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;8;120;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;3;8;;1;;83;25;1;12;4;2511;;15;4764.9163609;
6036945;1;1;1;60;;1;15;2;;;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;1700000;1;;3;;6;2;12;35;2;;35;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;50;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;3;2;;1;;95;31;1;12;4;3110;1700000;15;4305.8711289;
6036946;1;1;1;60;;1;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;;12;;3;;6;2;12;70;;.;70;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;1;3;1;8;;1;;41;47;1;12;4;4711;;15;2432.7209742;
6036946;1;2;1;60;;1;15;1;2;1;;1;;1;1;1;1;3;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;113000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;3;48;;.;48;;;;9;5;;10;;1;1;1;5;1;;;;;;;;;1;1;1;18;120;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;5;8;;1;;87;35;1;12;1;3520;908526;15;2432.7209742;
6036947;1;1;1;60;;1;15;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;1000000;1;;3;;1;2;12;40;;.;40;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;25;4;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;41;47;1;12;4;4752;1000000;15;3724.3555397;
6036948;1;1;1;60;;1;15;1;2;2;4;1;;1;1;1;1;1;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;113000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;9;64;;.;64;;;;9;7;;1;;1;1;1;2;1;;;;;;;;;1;1;1;3;8;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;2;2;1;13;40;9;;1;;58;80;1;12;1;8010;908526;15;4229.3953299;
6036949;1;1;1;60;;1;15;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;1;1;2020;2;500000;1;;3;;1;2;12;56;;.;56;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;300;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;4;3;;1;;41;47;1;12;4;4724;500000;15;3067.6251512;
6036950;1;1;1;60;;1;15;2;;;;;;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;720000;1;;3;;1;1;12;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;13;18;3;;1;;61;01;1;12;4;0161;720000;15;5380.3855305;
6036951;1;1;1;60;;1;15;1;1;;;1;;1;1;1;1;6;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106500;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;6;48;;.;48;;;;4;4;;1;;1;1;1;6;1;;;;;;;;;1;1;1;12;24;1;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;1;2;2;1;3;5;8;;1;;98;49;1;12;1;4923;908526;15;6171.598969;
6036951;1;2;1;60;;1;15;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;1;1;2021;2;400000;1;;3;;6;2;6;70;;.;70;;;;1;7;;1;;2;;;;;;;;;;;;1;2;2;1;12;60;4;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;1;3;1;8;;1;;41;47;1;12;4;4711;400000;15;6171.598969;
6036952;1;1;1;60;;1;15;1;2;2;11;2;1;1;1;1;1;5;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;113000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;5;48;;.;48;;;;9;8;;1;;1;1;1;98;1;;;;;;;;;1;1;1;12;60;1;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;13;50;8;;1;;62;01;1;12;1;0121;908526;15;3624.6778532;7810
6036952;1;2;1;60;;1;15;1;2;1;;1;;2;2;2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;;1;;3;;1;1;12;48;;.;48;;;;9;7;;1;;1;1;2;98;1;;;;;;;;;1;2;1;12;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;1;15;2;;1;;21;84;1;12;4;8412;;15;3624.6778532;
6036953;1;1;1;60;;1;15;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400000;1;;3;;4;2;12;30;1;;30;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;16;2;1;2;;;;;;;;;;;;;1;2;1;2;1;1;3;5;3;;1;;41;47;1;12;4;4774;400000;15;2317.6729316;
