PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250417;04;2025;8201672;1;1;1;10;05;1;1131.0401435;05;1;1;2;73;11;1951;1;3;;3;;1;;2;6;;;6;;;1;1;2;56940;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
20250417;04;2025;8201672;1;2;1;10;05;1;1131.0401435;05;1;1;1;69;11;1955;6;3;;3;;1;;2;6;;;6;;;1;3;;;4;4;4;4;4;1;4;3;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201672;1;3;1;10;05;1;1131.0401435;05;1;3;2;49;10;1975;9;2;;3;;2;2;2;6;;;6;;;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;8;4;411;5;411;1;2;1
20250417;04;2025;8201672;1;4;1;10;05;1;1131.0401435;05;1;4;1;14;9;2010;9;1;3;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20250417;04;2025;8201673;1;1;1;10;05;1;1049.3876106;05;1;1;1;35;1;1990;1;3;;2;;1;;2;6;;;6;;;1;1;1;64940;4;4;4;4;4;4;4;4;1;2;;4;1;;;;2;1;1
20250417;04;2025;8201673;1;2;1;10;05;1;1049.3876106;05;1;2;1;17;1;2008;3;2;;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20250417;04;2025;8201674;1;1;1;10;05;1;959.57733537;05;1;1;1;59;8;1965;1;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;6;732;6;732;2;1;1
20250417;04;2025;8201675;1;1;1;10;05;1;1696.3956465;05;1;1;1;66;5;1958;1;3;;3;;2;2;2;6;;;4;;;1;1;2;80000;4;4;4;4;4;4;4;4;1;2;;8;4;119;5;119;2;1;1
20250417;04;2025;8201676;1;1;1;10;05;1;1728.1120796;05;1;1;1;95;6;1929;1;3;;3;;2;1;2;6;;;5;;;1;1;2;260000;1;4;4;4;4;4;4;4;1;2;;8;4;411;5;411;2;1;1
20250417;04;2025;8201676;1;2;1;10;05;1;1728.1120796;05;1;2;2;61;9;1963;3;3;;1;1;2;2;2;6;;;6;;;1;1;2;230000;4;4;4;4;4;4;4;4;1;2;;9;6;119;6;119;1;2;1
20250417;04;2025;8201677;1;1;1;10;05;1;1241.0355309;05;1;1;1;48;10;1976;1;2;;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250417;04;2025;8201678;1;1;1;10;05;1;3298.2863194;05;1;1;1;70;12;1954;1;3;;3;;2;1;2;6;;;3;1;2;1;1;2;57000;4;4;4;4;4;4;4;4;1;2;;9;6;714;6;714;2;1;1
20250417;04;2025;8201678;1;2;1;10;05;1;3298.2863194;05;1;2;2;67;6;1957;2;3;;3;;2;1;2;6;;;3;1;1;1;1;5;;4;4;4;2;3;4;4;4;1;2;;5;2;;2;;1;2;1
20250417;04;2025;8201679;1;1;1;10;05;1;904.03203591;05;1;1;1;63;5;1961;1;3;;3;;2;2;2;6;;;2;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;10;6;719;2;;2;1;1
20250417;04;2025;8201679;1;2;1;10;05;1;904.03203591;05;1;2;2;54;2;1971;2;2;;3;;1;;2;6;;;2;1;1;1;1;3;178000;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
20250417;04;2025;8201680;1;1;1;10;05;1;823.35888297;05;1;1;1;32;6;1992;1;2;;3;;1;;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;9;6;522;6;522;2;1;1
20250417;04;2025;8201680;1;2;1;10;05;1;823.35888297;05;1;2;2;23;8;2001;2;2;;3;;1;;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1
20250417;04;2025;8201681;1;1;1;10;05;1;1010.7690334;05;1;1;2;67;12;1957;1;3;;3;;1;;2;6;;;5;;;1;1;2;64000;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;2;1
20250417;04;2025;8201681;1;2;1;10;05;1;1010.7690334;05;1;2;1;46;1;1979;3;1;1;3;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201682;1;1;1;10;05;1;1125.3387581;05;1;1;1;18;9;2006;1;2;;2;;2;2;2;6;;;6;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20250417;04;2025;8201684;1;1;1;10;05;1;1044.2499227;05;1;1;2;51;1;1974;1;2;;3;;2;2;2;6;;;2;2;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;10;10;731;7;731;1;2;1
20250417;04;2025;8201684;1;2;1;10;05;1;1044.2499227;05;1;1;2;15;11;2009;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;5;0;;1;;;;
20250417;04;2025;8201685;1;1;1;10;05;1;1075.4609696;05;1;1;2;44;9;1980;1;2;;3;;2;2;2;6;;;3;2;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250417;04;2025;8201685;1;2;1;10;05;1;1075.4609696;05;1;2;1;22;12;2002;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;1;2;9;4;613;2;;2;1;1
