DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
5032646;1;3;1;HOSPITALIZACION URGENCIAS CUIDDOS INTENSIVOS PEDRIATRICOS Y ADULTOS;1;2;2;11;2;1;1;2;2;1;1;36;;1;1;1;1;2;1200000;1;120000;2;2;;2;;2;;2;;2;;;1;106454;1;2;;;2;;;2;;;2;;;2;;1;600000;1;600000;2;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;60;;;60;;;10;7;;1;;1;2;1;3;1;1;1;12;6;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;11;20;8;1;1;19;1;8621;5321;86;1200000;02;20220205;19;1;91.038577004;1;2;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032647;1;1;1;PLANIFICACION ANALISIS DE DISEÑO PROGRAMACION DE PRUEBA;1;2;1;;1;;1;1;1;1;1;96;;1;1;1;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;117172;2;2;;;2;;;2;;;2;;;1;450000;1;450000;1;98;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;8;7;;1;;1;1;1;19;1;1;1;12;18;1;;5;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;10;5;1;1;19;1;6201;9112;62;1000000;02;20220205;19;1;190.69191307;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032649;1;1;1;PREPARACION Y VENTA DE ALIMENTOS;1;1;;;1;;1;2;2;2;2;22;;1;1;1;1;2;1000000;2;;;1;200000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;3;7;;2;;2;;;;2;2;1;12;24;4;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;10;2;1;1;19;1;5619;5120;56;1200000;02;20220205;19;1;137.85924878;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032650;1;1;1;SERVICIO DE ENTRETENIMIENTO Y  JUEGOS DE AZAR;1;2;2;12;1;;2;2;2;2;2;60;;1;1;1;1;2;1400000;2;;;2;;2;;2;;1;250000;2;;;1;117000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;54;;;54;;;10;7;;1;;1;2;1;23;1;1;1;2;60;1;;9;;2;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;30;3;1;1;19;1;9200;4311;92;1400000;02;20220205;19;1;126.21847831;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032652;1;1;1;VENTA DE PRODUCTOS DE CONSUMO MAXIVO;2;;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;2;7;;2;;2;;;;2;2;1;60;120;2;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;1;1;3;3;8;1;1;19;6;4711;1412;47;;02;20220205;19;1;171.78457374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032653;1;1;1;PRESTAR SERVICIOS DE SALUD Y URGENCIAS;1;2;2;12;1;;1;1;1;1;1;12;;1;1;1;1;2;1800000;2;;;2;;2;;2;;2;;2;;;1;117000;1;2;;;2;;;2;;;2;;;1;98;1;98;1;98;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;15;2;1;1;19;1;8610;5321;86;1800000;02;20220205;19;1;207.23928884;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032657;1;1;1;ACTIVIDADES DE LIMPIEZA PREPARACION DE ALIMENTOS LAVADO;1;1;;;1;;1;2;2;2;2;24;;2;2;2;2;2;550000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;275000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;66;;;66;;;1;2;;2;;2;;;;2;2;1;5;36;3;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;1;1;1;12;10;3;1;1;20;3;9700;9111;97;550000;02;20220205;20;1;126.55933323;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032658;1;3;1;CLASES DE MATEMATICAS;2;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;250000;1;;3;;1;1;10;20;2;;20;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;14;;5;1;1;20;4;8530;2330;85;250000;02;20220205;20;1;121.74368981;;;;;2;;;;;3;;;250000;250000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032659;1;1;1;HAYACAS;2;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;500000;1;;3;;1;1;10;12;2;;12;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;1;1;14;;5;1;1;20;4;4729;5246;47;500000;02;20220205;20;1;102.19686705;;;;;2;;;;;3;;;500000;500000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032660;1;2;1;EXAMENES OCUPACIONALES;1;2;2;6;1;;1;1;1;1;1;60;;1;1;1;1;2;986000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;450000;1;450000;1;450000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;6;7;;1;;1;1;1;6;2;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;12;20;5;1;1;20;1;8691;5321;86;986000;02;20220205;20;1;152.94691253;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
