PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250207;02;2025;8126139;1;4;1;10;41;1;257.74261528;41;1;2;2;6;12;2018;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20250207;02;2025;8126140;1;1;1;10;41;1;178.27018825;41;1;1;2;21;12;2003;1;2;;2;;2;2;2;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;1012;5;1012;1;2;1
20250207;02;2025;8126140;1;2;1;10;41;1;178.27018825;41;1;2;1;24;6;2000;2;2;;2;;2;2;2;6;;;1;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;715;5;715;2;1;1
20250207;02;2025;8126141;1;1;1;10;41;1;96.583328902;41;1;1;2;49;10;1975;1;2;;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126141;1;2;1;10;41;1;96.583328902;41;1;2;2;30;3;1994;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;112000;4;4;4;4;4;4;4;4;1;2;;10;10;732;7;732;1;2;1
20250207;02;2025;8126142;1;1;1;10;41;1;160.12098819;41;1;1;2;47;1;1978;1;2;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;1;2;1
20250207;02;2025;8126142;1;2;1;10;41;1;160.12098819;41;1;2;1;31;11;1993;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126142;1;3;1;10;41;1;160.12098819;41;1;3;1;78;8;1946;13;2;;2;;2;2;2;6;;;4;;;1;3;;;2;3;2;2;2;3;3;3;1;2;;3;2;;;;2;1;1
20250207;02;2025;8126143;1;1;1;10;41;1;143.27801413;41;1;1;2;55;3;1969;1;3;;3;;2;1;2;6;;;3;1;2;1;3;;;4;4;3;4;4;4;4;4;1;2;;10;10;113;7;113;1;2;1
20250207;02;2025;8126143;1;2;1;10;41;1;143.27801413;41;1;2;1;65;12;1959;2;3;;3;;2;1;2;6;;;3;1;1;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126143;1;3;1;10;41;1;143.27801413;41;1;3;2;28;9;1996;3;1;1;1;2;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;9;719;2;;1;2;1
20250207;02;2025;8126143;1;4;1;10;41;1;143.27801413;41;1;4;2;23;9;2001;3;1;1;1;2;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;4;912;2;;1;2;1
20250207;02;2025;8126145;1;1;1;10;41;1;338.03407282;41;1;1;1;45;10;1979;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;72000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126145;1;2;1;10;41;1;338.03407282;41;1;2;2;38;10;1986;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;723;5;723;1;2;1
20250207;02;2025;8126145;1;3;1;10;41;1;338.03407282;41;1;3;1;14;7;2010;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20250207;02;2025;8126145;1;4;1;10;41;1;338.03407282;41;1;2;1;8;4;2016;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20250207;02;2025;8126146;1;1;1;10;41;1;170.40823813;41;1;1;1;26;4;1998;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;180000;4;4;4;4;4;4;4;4;1;2;;10;10;421;7;421;2;1;1
20250207;02;2025;8126146;1;2;1;10;41;1;170.40823813;41;1;2;2;25;9;1999;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;124000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126147;1;1;1;10;41;1;207.67376935;41;1;1;2;81;6;1943;1;3;;3;;1;;2;6;;;5;;;1;3;;;3;3;3;3;3;3;3;3;2;2;;1;0;;;;1;2;1
20250207;02;2025;8126147;1;2;1;10;41;1;207.67376935;41;1;2;1;57;6;1967;3;1;1;3;;1;;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20250207;02;2025;8126148;1;1;1;10;41;1;245.12150884;41;1;1;1;22;12;2002;1;2;;2;;2;2;2;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;2;1;1
20250207;02;2025;8126148;1;2;1;10;41;1;245.12150884;41;1;2;2;24;7;2000;2;2;;2;;2;2;2;6;;;1;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;2;1
20250207;02;2025;8126149;1;1;1;10;41;1;255.6123572;41;1;1;1;51;9;1973;1;2;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126149;1;2;1;10;41;1;255.6123572;41;1;2;2;30;5;1994;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126150;1;1;1;10;41;1;249.20852322;41;1;1;1;73;12;1951;1;2;;2;;2;2;2;6;;;3;1;2;1;1;2;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126150;1;2;1;10;41;1;249.20852322;41;1;2;2;81;6;1943;2;2;;2;;2;2;2;6;;;3;1;1;1;1;2;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126151;1;1;1;10;41;1;168.72037707;41;1;1;1;81;8;1943;1;3;;3;;9;9;9;6;;;2;1;2;1;1;2;64940;4;4;4;4;4;4;4;4;1;2;;3;2;;;;2;1;1
20250207;02;2025;8126151;1;2;1;10;41;1;168.72037707;41;1;2;2;81;7;1943;2;3;;3;;9;9;9;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;1;2;1
20250207;02;2025;8126151;1;3;1;10;41;1;168.72037707;41;1;3;2;66;9;1958;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20250207;02;2025;8126151;1;4;1;10;41;1;168.72037707;41;1;4;2;59;6;1965;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126151;1;5;1;10;41;1;168.72037707;41;1;5;1;54;7;1970;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20250207;02;2025;8126152;1;1;1;10;41;1;249.20852322;41;1;1;1;78;7;1946;1;3;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;3;3;3;3;3;1;2;;3;5;;;;2;1;1
20250207;02;2025;8126152;1;2;1;10;41;1;249.20852322;41;1;2;2;76;9;1948;2;3;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20250207;02;2025;8126153;1;1;1;10;41;1;210.37860495;41;1;1;2;54;3;1970;1;2;;3;;2;2;2;6;;;3;2;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126153;1;2;1;10;41;1;210.37860495;41;1;2;1;34;6;1990;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;128000;4;4;4;4;4;4;4;4;1;2;;10;10;719;7;719;2;1;1
20250207;02;2025;8126153;1;3;1;10;41;1;210.37860495;41;1;3;1;31;3;1993;3;1;1;2;;2;2;2;6;;;4;;;1;1;1;72000;4;4;4;4;4;4;4;4;1;1;2;11;1;719;7;719;2;1;1
20250207;02;2025;8126154;1;1;1;10;41;1;189.34248681;41;1;1;1;44;8;1980;1;2;;2;;2;2;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;11;2;719;8;719;2;1;1
20250207;02;2025;8126154;1;2;1;10;41;1;189.34248681;41;1;2;2;47;2;1978;2;3;;2;;2;2;2;6;;;3;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;10;10;913;7;913;1;2;1
20250207;02;2025;8126155;1;1;1;10;41;1;211.85213584;41;1;1;2;58;2;1967;1;3;;2;;2;2;2;6;;;4;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;9;4;916;6;916;1;2;1
20250207;02;2025;8126155;1;2;1;10;41;1;211.85213584;41;1;2;1;30;4;1994;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;719;7;719;2;1;1
20250207;02;2025;8126155;1;3;1;10;41;1;211.85213584;41;1;3;2;38;8;1986;3;1;1;2;;2;2;2;6;;;6;;;1;1;3;177938;4;4;4;4;4;4;4;4;1;2;;10;10;719;7;719;1;2;1
20250207;02;2025;8126155;1;4;1;10;41;1;211.85213584;41;1;4;2;8;4;2016;8;1;3;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;3;3;;;;;;
20250207;02;2025;8126158;1;1;1;10;41;1;252.18061941;41;1;1;1;37;10;1987;1;2;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126158;1;2;1;10;41;1;252.18061941;41;1;2;2;34;6;1990;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126158;1;3;1;10;41;1;252.18061941;41;1;2;2;7;9;2017;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20250207;02;2025;8126159;1;1;1;10;41;1;221.51868731;41;1;1;2;71;10;1953;1;3;;3;;2;2;2;6;;;3;1;2;1;1;5;;3;4;4;4;4;3;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126159;1;2;1;10;41;1;221.51868731;41;1;2;1;70;10;1954;2;3;;3;;2;2;2;6;;;3;1;1;1;1;3;177000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126161;1;1;1;10;41;1;283.70319684;41;1;1;2;29;8;1995;1;2;;3;;2;1;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126161;1;2;1;10;41;1;283.70319684;41;1;2;1;44;11;1980;2;2;;3;;1;;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20250207;02;2025;8126161;1;3;1;10;41;1;283.70319684;41;1;1;2;5;9;2019;3;1;1;1;2;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;
20250207;02;2025;8126162;1;1;1;10;41;1;172.77014489;41;1;1;2;74;12;1950;1;3;;3;;2;1;2;6;;;4;;;1;3;;;3;4;4;4;2;4;4;4;1;2;;3;2;;;;1;2;1
20250207;02;2025;8126162;1;2;1;10;41;1;172.77014489;41;1;2;2;51;4;1973;3;1;1;3;;2;2;2;6;;;6;;;1;3;;;4;3;3;3;4;1;3;2;2;2;;1;0;;;;1;2;1
