DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,HOGAR,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,CLASE,MES,DPTO,fex_c_2011
5423762,1,2,1,2,1,1,4,2,3,1,,,12000000,200000,,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,315.51198751
5423763,1,4,2,2,1,1,4,1,3,1,,,12000000,300000,,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,491.07062366
5423764,1,2,1,2,1,1,4,1,3,3,,,,,220000,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,464.57728291
5423765,1,2,1,2,1,1,4,1,3,3,,,,,250000,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,161.14915595
5423767,1,3,2,2,1,1,4,1,3,1,,,15000000,400000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,1,1,1,4,1,1,1,2,1,3,2,,01,2,04,18,205.41991919
5423768,1,3,2,2,1,1,2,1,3,1,,,10000000,80000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,192.97703209
5423769,1,3,1,2,1,1,2,1,3,4,,,,250000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,4,1,1,1,2,1,3,2,,01,2,04,18,305.65847932
5423770,1,3,2,2,1,1,2,1,3,1,,,8000000,200000,,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,3,4,2,,1,1,1,4,1,1,1,2,1,3,2,,01,2,04,18,185.90564222
5423772,1,1,1,2,1,1,2,1,3,1,,,16000000,80000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,222.05975176
5423773,1,4,3,2,1,1,2,1,3,3,,,,,200000,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,4,1,1,1,2,1,3,2,,01,2,04,18,336.68610169
