DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5418903,1,2,1,70,73,64,8,1,,2,94,1,,2,2,6,,,,,,,,,,,1,2,,908600,2,,68,44,44,1,2,6820,04,73,250.73539683
5418904,1,3,1,70,73,12,48,1,,2,24,1,,7,2,4,,,,,,,,,,,1,2,,1000000,2,,86,40,39,1,1,8621,04,73,234.51163938
5418911,1,3,1,70,73,8,60,1,,2,12,1,,4,2,1,,,,,,,,,,,1,2,,910000,2,,47,45,45,1,1,4771,04,73,252.28414565
5418920,1,2,1,70,76,15,48,1,,2,60,4,,3,2,4,,,,,,,,,,,1,2,,908526,2,,14,45,59,1,2,1410,04,76,913.55260384
5419108,1,3,1,70,05,52,48,1,,2,52,1,,8,2,1,,,,,,,,,,,1,2,,908526,2,,47,39,45,1,2,4759,04,05,632.63342715
5419113,1,3,1,70,05,48,48,4,,2,4,4,,6,2,1,,,,1,,,,,,,,1,180000,908526,1,2,81,21,21,1,2,8130,04,05,1261.6035997
5419114,1,3,1,70,05,48,48,2,,2,28,1,,9,2,1,,,,,,,,,,,1,2,,1300000,2,,46,11,97,1,2,4642,04,05,1093.2747853
5419119,1,1,1,70,05,2,48,1,,2,2,4,,1,2,1,,,,,,,,,,,1,1,1500000,908526,2,,49,98,98,1,1,4921,04,05,1617.8607457
5419119,1,3,1,70,05,48,48,1,,2,48,1,,4,2,1,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,4772,04,05,1617.8607457
5419119,1,6,1,70,05,20,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,45,,1,2,.,04,05,1617.8607457
5419120,1,4,1,70,05,4,48,1,,2,4,1,,9,2,1,,,,,,,,,,,1,1,1500000,1200000,2,,80,58,58,1,1,8010,04,05,1389.9704567
5419121,1,3,1,70,05,4,48,1,,2,4,1,,4,2,1,,,,,,,,,,,1,1,1250000,1200000,2,,73,16,15,1,1,7310,04,05,1093.2747853
5419144,1,2,1,70,05,12,24,3,,2,12,1,,3,2,8,,,,,,,,,,,1,2,,908526,2,,56,54,53,1,1,5611,04,05,1491.6583742
5419146,1,1,1,70,05,1,48,1,,2,1,1,,3,2,1,,,,,,,,,,,1,1,1280000,908526,2,,41,58,95,1,1,4111,04,05,1183.5871705
5419155,1,1,1,70,05,12,50,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,1500000,2,,41,95,95,1,1,4111,04,05,1163.8767045
5419159,1,2,1,70,05,20,48,1,,2,52,1,,9,2,3,,,,,,,,,,,1,2,,908000,2,,80,58,58,1,2,8010,04,05,1093.2747853
5419161,1,1,1,70,05,3,42,4,,2,3,1,,5,2,3,,,,,,,,,,,1,1,452000,1000000,2,,14,79,79,1,1,1410,04,05,1567.1085675
5419163,1,2,1,70,05,3,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,53,,1,1,.,04,05,1204.3009389
5419183,1,2,1,70,05,12,48,4,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,1,9700,04,05,1285.6551226
5419195,1,3,1,70,05,8,48,1,,2,8,1,,3,2,2,,,,,,,,,,,1,2,,908526,2,,45,84,84,1,1,4542,04,05,1216.1155659
5419199,1,2,1,70,05,15,48,2,,2,20,2,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,85,13,13,1,2,8530,04,05,1247.4685717
5419224,1,1,1,70,05,52,48,1,,2,52,3,,1,2,2,,,,,,,,,,,1,2,,908526,2,,97,45,54,1,2,9700,04,05,1578.9231946
5419235,1,3,1,70,05,12,48,1,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,47,18,84,1,1,4762,04,05,1004.5747638
5419235,1,4,1,70,05,8,48,4,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,41,,1,1,.,04,05,1004.5747638
5419235,1,6,1,70,05,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,57,,1,1,.,04,05,1004.5747638
5419237,1,1,1,70,05,52,48,1,,2,54,1,,4,2,8,,,,,,,,,,,1,2,,908526,2,,10,32,97,1,2,1082,04,05,1015.0862689
5419245,1,1,1,70,05,32,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,49,98,98,1,2,4921,04,05,1283.7525691
5419254,1,2,1,70,05,6,48,1,,2,6,1,,7,2,1,,,,,,,,,,,1,2,,908526,2,,82,45,39,1,1,8219,04,05,1504.1810384
5419263,1,4,1,70,05,47,48,1,,2,48,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,23,89,89,1,2,2310,04,05,1549.6973298
5419263,1,5,1,70,05,4,24,1,,2,72,1,,6,2,1,,,,,,,,,,,1,2,,500000,2,,47,45,40,1,1,4772,04,05,1549.6973298
5419263,1,8,1,70,05,2,48,1,,2,2,1,,2,2,2,,,,,,,,,,,1,1,1200000,908000,2,,56,38,53,1,1,5630,04,05,1549.6973298
5419270,1,1,1,70,05,4,40,4,,2,4,4,,1,2,4,,,,,,,,,,,1,2,,908526,2,,41,95,93,1,1,4111,04,05,1216.1155659
5419273,1,2,1,70,05,8,48,1,,2,12,1,,5,2,1,,,,,,,,,,,1,2,,909000,2,,96,59,53,1,1,9609,04,05,1204.3009389
5419274,1,3,1,70,05,50,48,1,,2,50,1,,5,2,3,,,,,,,,,,,1,1,100000,900000,2,,14,79,79,1,2,1410,04,05,1115.4237547
5419290,1,3,1,70,08,36,40,1,,2,288,1,,9,2,4,,,,,,,,,,,1,2,,1500000,2,,10,12,45,1,2,1012,04,08,550.77224097
5419292,1,1,1,70,08,104,48,1,,2,104,4,,1,2,4,,,,,,,,,,,1,2,,908526,2,,47,33,45,1,2,4792,04,08,551.55865311
5419310,1,3,1,70,08,16,48,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,9700,04,08,310.148954
5419320,1,1,1,70,08,20,48,4,,2,3,4,,1,2,4,,,,,,,,,,,1,1,500000,1000000,2,,53,41,97,1,2,5320,04,08,739.3415245
5419323,1,3,1,70,08,8,48,1,,2,32,1,,2,2,1,,,,,,,,,,,1,2,,800000,2,,47,39,33,1,1,4723,04,08,502.4511273
5419339,1,2,1,70,08,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,03,,1,1,.,04,08,498.32771235
5419343,1,2,1,70,08,8,48,4,,2,10,2,,9,1,1,,,,,,,,,,,1,2,,1800000,2,,84,59,39,1,1,8412,04,08,583.83413299
5419348,1,4,1,70,08,12,48,3,,2,12,3,,1,2,8,,,,,,,,,,,1,2,,700000,2,,97,54,54,1,1,9700,04,08,734.76601311
5419354,1,4,1,70,08,52,48,1,,2,52,4,,2,2,1,,,,,,,,,,,1,2,,908500,2,,56,97,41,1,2,5619,04,08,788.78490195
5419354,1,5,1,70,08,20,48,1,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,908500,2,,47,45,45,1,2,4774,04,08,788.78490195
5419354,1,6,1,70,08,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,97,,1,1,.,04,08,788.78490195
5419355,1,3,1,70,08,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,59,,1,2,.,04,08,756.38631592
5419355,1,5,1,70,08,32,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,58,,1,2,.,04,08,756.38631592
5419355,1,6,1,70,08,2,48,1,,2,2,1,,8,2,1,,,,,,,,,,,1,1,980000,900000,1,1,10,58,77,1,1,1090,04,08,756.38631592
5419364,1,1,1,70,08,36,48,1,,2,36,1,,8,2,1,,,,,,,,,,,1,2,,908500,2,,61,55,30,1,2,6190,04,08,703.06857155
5419365,1,2,1,70,08,48,48,1,,2,12,1,,2,2,1,,,,,,,,,,,1,2,,500000,2,,10,38,55,1,2,1081,04,08,370.96015422
5419381,1,3,1,70,08,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,910000,,,,32,,1,1,.,04,08,765.47245854
5419381,1,5,1,70,08,2,48,1,,2,2,4,,1,2,8,,,,,,,,,,,1,2,,850000,2,,43,97,95,1,1,4330,04,08,765.47245854
5419382,1,2,1,70,08,30,48,1,,2,45,1,,9,2,1,,,,,,,,,,,1,2,,1100000,2,,11,02,97,1,2,1104,04,08,671.18030795
5419387,1,3,1,70,08,20,48,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,31,03,42,1,2,3120,04,08,525.64046456
5419391,1,3,1,70,08,4,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,97,,1,1,.,04,08,669.03323517
5419392,1,6,1,70,08,6,48,1,,2,6,4,,1,2,8,,,,,,,,,,,1,2,,600000,2,,56,45,41,1,1,5619,04,08,667.91787718
5419395,1,2,1,70,08,52,48,1,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,908500,2,,47,45,45,1,2,4771,04,08,599.87976678
5419398,1,5,1,70,08,2,48,1,,2,2,1,,5,2,8,,,,,,,,,,,1,1,205000,500000,2,,47,33,33,1,1,4711,04,08,617.37132886
5419406,1,2,1,70,08,1,48,1,,2,40,1,,4,2,8,,,,,,,,,,,1,2,,900000,2,,56,53,53,1,1,5619,04,08,705.50391596
5419408,1,1,1,70,08,28,48,1,,2,52,1,,8,2,1,,,,,,,,,,,1,2,,908500,2,,56,53,33,1,2,5619,04,08,695.93177387
