DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5424771,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,945.50487782
5424773,1,1,1,80,2,1,3,,2,,,9,,2,,2,,2,,350000,2,1,04,4,70,823.92040809
5424773,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,823.92040809
5424774,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,957.22762298
5424776,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1401.9315769
5424777,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,15,1460.7152062
5424777,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1460.7152062
5424777,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1460.7152062
5424778,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,15,905.1447517
5424778,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,905.1447517
5424780,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1574.2422583
5424780,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1574.2422583
5424781,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,15,1447.9579443
5424781,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1447.9579443
5424781,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1447.9579443
5424782,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1355.9052095
5424782,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1355.9052095
5424782,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1355.9052095
5424783,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1251.2526825
5424792,1,3,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,2,15,1274.0303873
5424792,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1274.0303873
5424792,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1274.0303873
5424793,1,3,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,15,1651.8294358
5424793,1,5,1,80,2,1,6,,2,,,1,,2,,2,,,,,2,1,04,2,15,1651.8294358
5424793,1,6,1,80,2,2,,,,1,2,8,,2,,2,,,,,2,1,04,,15,1651.8294358
5424795,1,2,1,80,2,1,9,PANDEMIA COVID 19,2,,,9,,2,,2,,1,48,900000,2,1,04,2,15,2235.9734061
5424795,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,2235.9734061
5424795,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,2235.9734061
5424795,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,2235.9734061
5424795,1,8,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,2235.9734061
5424796,1,4,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,2,15,2079.3549186
5424797,1,1,1,80,2,1,9,PANDEMIA COVID 19,2,,,8,,2,,2,,,,,2,1,04,2,15,645.55928923
5424798,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,880.95839047
5424798,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,880.95839047
5424799,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,15,558.99335152
5424799,1,3,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,15,558.99335152
5424801,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,15,645.55928923
5424802,1,1,1,80,2,1,5,,2,,,8,,2,,2,,,,,2,1,04,4,15,645.55928923
5424803,1,2,1,80,2,1,8,,2,,,9,,2,,2,,,,,2,1,04,1.4,15,1627.1260587
5424804,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,2235.9734061
5424804,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,2235.9734061
5424805,1,1,1,80,2,1,8,,1,,1,9,,1,,2,,2,,1000000,2,1,04,1.4,15,1427.6562776
5424806,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,15,2198.6900122
5424807,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1543.1357931
5424808,1,1,1,80,2,1,5,,2,,,8,,2,,2,,,,,2,1,04,3,15,2198.6900122
5424809,1,1,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,04,4,15,1179.3991988
5424810,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1021.2482756
5424810,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1021.2482756
5424810,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,15,1021.2482756
5424811,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,2,15,1335.5926599
5424811,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1335.5926599
5424812,1,1,1,80,2,1,5,,2,,,8,,2,,2,,,,,2,1,04,4,15,1335.5926599
5424812,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,1335.5926599
5424816,1,1,1,80,2,1,8,,2,,,1,,2,,2,,,,,2,1,04,1.2,17,1245.6863585
5424816,1,4,1,80,2,1,7,,2,,,4,,2,,1,300000,1,60,900000,2,1,04,1.2,17,1245.6863585
5424817,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,827.9449776
5424818,1,1,1,80,2,1,7,,1,,1,1,,2,,2,,,,600000,2,1,04,1.4,17,912.74282019
5424818,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,912.74282019
5424818,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,912.74282019
5424819,1,1,1,80,2,1,9,POR ORGANIZAR LA CASA,2,,,12,POR ORGANIZAR SU CASA,2,,2,,2,,908526,2,1,04,1.2,17,466.18746955
5424819,1,2,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,17,466.18746955
5424820,1,2,1,80,2,2,,,,2,,,.,2,,2,,2,,300000,2,1,04,,17,1110.9506976
5424821,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,1053.9934028
5424822,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,537.8053668
5424822,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,537.8053668
5424823,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,17,541.94249079
5424823,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,541.94249079
5424823,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,541.94249079
5424825,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,908526,2,1,04,4,17,1109.198585
5424826,1,1,1,80,2,1,3,,2,,,4,,2,,2,,,,,2,1,04,1.2,17,642.39538304
5424827,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,1850.1874884
5424828,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,466.18746955
5424829,1,1,1,80,2,1,8,,2,,,1,,2,,2,,2,,700000,2,1,04,1.4,17,888.37478683
5424830,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,466.18746955
5424830,1,3,1,80,2,1,1,,2,,,1,,1,1,2,,,,,1,1,04,1.4,17,466.18746955
5424832,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,17,1009.9932505
5424832,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,1009.9932505
5424832,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,1009.9932505
5424833,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,594.92271634
5424834,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,466.18746955
5424834,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,466.18746955
5424835,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,969.86016973
5424838,1,1,1,80,2,1,5,,2,,,11,,3,,2,,,,,3,1,04,2,17,888.37478683
5424840,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,1287.6802736
5424840,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,1287.6802736
5424842,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,1653.7317236
5424842,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,1653.7317236
5424842,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,1653.7317236
5424843,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,466.18746955
5424843,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,466.18746955
5424844,1,2,1,80,2,1,8,,2,,,5,,2,,2,,1,48,400000,2,1,04,1.4,17,1476.9080777
5424847,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,17,598.39523077
5424847,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,598.39523077
5424848,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,679.72055893
5424850,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,767.99091596
