DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418415,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,189.92782956
5418415,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,189.92782956
5418416,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,174.1245783
5418417,1,1,1,80,17,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,17,208.6865642
5418418,1,1,1,80,17,1,1,,2,,,8,,2,,2,,,,,2,1,04,4,17,328.46871041
5418418,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,328.46871041
5418418,1,5,1,80,17,1,9,PANDEMIA,2,,,1,,2,,2,,,,,2,1,04,1.4,17,328.46871041
5418419,1,1,1,80,17,1,1,,2,,,5,,2,,2,,,,,2,1,04,4,17,210.9195356
5418420,1,1,1,80,17,1,4,,2,,,4,,2,,2,,,,,2,1,04,1.4,17,199.4595803
5418420,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,199.4595803
5418421,1,1,1,80,17,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,17,390.58227353
5418421,1,3,1,80,17,1,4,,2,,,4,,2,,1,180000,,,,2,1,04,1.1,17,390.58227353
5418422,1,2,1,80,17,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,17,373.27531037
5418422,1,3,1,80,17,2,,,,2,,,.,,,2,,,,,,1,04,,17,373.27531037
5418423,1,1,1,80,17,1,9,PANDEMIA,2,,,12,PANDEMIA,2,,2,,,,,2,1,04,2,17,110.07325975
5418423,1,3,1,80,17,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,17,110.07325975
5418424,1,1,1,80,17,1,5,,2,,,4,,3,,2,,,,,3,1,04,4,17,174.1245783
5418424,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,174.1245783
5418425,1,1,1,80,17,2,,,,2,,,.,3,,2,,,,,3,1,04,,17,154.6551613
5418426,1,1,1,80,17,1,3,,2,,,1,,2,,2,,,,,2,1,04,4,17,210.9195356
5418427,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,199.15481346
5418431,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,117.860204
5418431,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,117.860204
5418432,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,210.9195356
5418433,1,1,1,80,17,1,8,,2,,,1,,2,,2,,,,,2,1,04,3,17,143.47168078
5418433,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,143.47168078
5418434,1,1,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,110.07325975
5418434,1,4,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,110.07325975
5418435,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,1.2,17,183.35156219
5418436,1,1,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,196.50409694
5418436,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,196.50409694
5418436,1,4,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,196.50409694
5418437,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,110.07325975
5418439,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,3,17,440.29303899
5418441,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,210.9195356
5418445,1,2,1,80,17,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,164.8975944
5418445,1,3,1,80,17,1,1,,2,,,8,,2,,2,,,,,2,1,04,2,17,164.8975944
5418446,1,3,1,80,17,1,8,,2,,,2,,2,,2,,,,,2,1,04,2,17,178.74434904
