DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5423737,1,4,1,60,2,15,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,400000,12,4000000,3,,12,2,,,,,2,10,2,24,2,,24,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,20,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,97,01,1,04,4,0161,400000,15,905.1447517,
5423739,1,1,1,60,2,15,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,,1,99,2,,12,1,4,4,0,0,2,9,2,32,2,,32,,,3,8,,2,,2,,,,1,,,,1,,,,,,2,2,2,,,,,2,,,,,,,,,3,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,61,01,1,04,5,0121,,15,1401.9315769,
5423739,1,5,1,60,2,15,1,2,2,6,1,,,1,2,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,908526,1,10500000,3,,12,2,,,,,1,1,2,40,,.,40,,,7,4,,1,,1,1,2,1,1,1,,,,,,,,,1,2,2,,,,,2,,,,,,,,,11,10,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,98,84,1,04,4,8412,908526,15,1401.9315769,
5423740,1,1,1,60,2,15,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,560000,1,6700000,3,,12,2,,,,,2,1,2,36,2,,36,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,2,,61,01,1,04,4,0161,560000,15,1493.9843118,
5423740,1,2,1,60,2,15,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,420000,1,5500000,3,,12,2,,,,,2,1,2,16,2,,16,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,17,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,61,01,1,04,4,0161,420000,15,1493.9843118,
5423741,1,1,1,60,2,15,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,3,3000000,1,25000000,2,,12,1,14,14,0,0,2,9,2,35,2,,35,,,5,8,,2,,2,,,,1,,,1,,,,,,,2,2,1,4,240,1,,2,,,,,,,,3,8,30,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,2,,61,01,1,04,5,0121,3000000,15,1020.672901,
5423742,1,1,1,60,2,18,1,1,,,1,,,2,2,2,2,1,,1,,2,150000,2,,,1,50000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,30,2,,30,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,5,5,1,,2,,,,,,,,3,10,24,,2,,,,1,1,2,1,1,2,2,2,1,1,2,,2,1,2,2,1,2,2,1,5,,54,97,1,04,3,9700,200000,18,640.16843663,
5423742,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,120,,1,,2,1000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,43,,.,43,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,1,,2,,,,,,,,9,3,36,,2,,,,1,1,2,1,1,2,2,2,2,1,2,,1,1,1,1,1,2,2,1,5,,60,01,1,04,1,0141,1000000,18,640.16843663,
5423745,1,1,1,60,2,18,1,1,,,1,,,1,2,2,2,48,,1,,2,700000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,42,,.,42,,,3,8,,10,,2,,,,1,,,,,,,,,1,2,2,1,0,120,1,,2,,,,,,,,8,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,60,01,1,04,1,0141,700000,18,445.1183328,
5423747,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,1,,1,,2,900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,43,,.,43,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,1,,2,,,,,,,,3,3,8,,2,,,,2,,,,,,,,,,,,,,2,2,2,2,2,1,5,,77,10,1,04,1,1040,900000,18,644.59662378,
