DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5418295,1,2,1,60,05,5,1,2,1,,2,1,,1,1,2,1,18,,3,,1,1900000,2,,,2,,2,,2,,2,,2,,,2,,,1,34800,2,2,,,2,,,1,200000,1,1,1900000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,36,2,,9,7,,1,,1,1,1,19,1,1,,,,,,,,,1,1,1,12,5,1,,2,,,,,,,,5,11,45,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,70,21,1,1,2100,1900000,04,05,795.36891079,7810
5418297,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,360,,2,,2,1300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2100000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,40,2,,8,7,,1,,1,2,1,30,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,1,5,,39,55,1,1,5511,1300000,04,05,688.9469488,
5418300,1,2,1,60,05,5,2,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3000000,1,,3,,12,2,,,,,1,4,2,40,,.,40,,,1,1,,1,,1,2,2,26,1,,,,,,,,,1,2,2,1,0,96,2,,2,,,,,,,,7,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,69,1,4,6920,3000000,04,05,1250.9643622,
5418301,1,1,1,60,05,5,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,12,2,,,,,3,1,1,60,,.,0,1,,1,4,,10,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,1,11,60,2,2,,,,1,1,1,1,2,2,2,1,2,2,2,,1,1,2,2,1,2,1,1,5,,97,53,1,4,5320,600000,04,05,1318.2425782,
5418302,1,1,1,60,05,5,1,2,2,12,1,,,2,1,2,1,52,,1,,2,3800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,3000000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,30,2,,0,6,,3,1,,1,,1,1,2,5,1,1,,,,,,,,,2,1,1,6,6,4,,2,,,,,,,,1,14,,2,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,8,,02,74,1,1,7490,3800000,04,05,1318.2425782,
5418303,1,3,1,60,05,5,1,1,,,1,,,1,2,2,2,240,,1,,2,960000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,24,2,,2,2,,3,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,4,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,95,41,1,1,4111,960000,04,05,1322.402051,
5418304,1,2,1,60,05,5,1,2,1,,1,,,1,1,2,1,30,,1,,2,908000,2,,,1,260000,1,350000,2,,2,,2,,,2,,,1,34800,2,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,1,1,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,0,24,3,,2,,,,,,,,9,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,54,97,1,3,9700,1518000,04,05,1353.0913745,
5418305,1,1,1,60,05,5,2,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2019,2,0,1,,3,,12,1,1,1,0,0,3,1,2,20,2,,20,,,2,7,,1,,2,,,,1,,,,,,,,,1,2,2,1,99,24,4,,2,,,,,,,,1,4,30,,1,20,1,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,1,2,1,2,2,1,3,,45,47,1,5,4791,0,04,05,1350.7709735,
5418305,1,3,1,60,05,5,1,2,1,,1,,,1,1,2,1,3,,2,,2,1700000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,7,,,,,,,,,40,,.,24,2,,9,1,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,1,3,1,,2,,,,,,,,5,14,,,1,20,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,39,86,1,1,8621,1700000,04,05,1350.7709735,
5418306,1,3,1,60,05,5,1,2,1,,1,,,1,1,2,1,36,,2,,2,4900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,4600000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,32,2,,9,7,,1,,1,1,1,7,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,8,8,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,21,10,1,1,1081,4900000,04,05,1291.2165093,
5418307,1,1,1,60,05,5,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,12,2,,,,,3,1,2,84,,.,48,2,,1,6,,4,,2,,,,1,,,1,,,,,,,2,2,2,,,,,2,,,,,,,,,4,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,45,47,1,4,4781,600000,04,05,1512.3721426,
5418307,1,2,1,60,05,5,1,1,,,1,,,1,2,2,2,16,,1,,2,560000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,60,,.,60,,,2,2,,5,,2,,,,1,,,,,,,,,1,2,2,1,0,8,4,,2,,,,,,,,8,3,5,,2,,,,1,1,1,1,2,2,2,1,1,2,2,,1,1,1,1,1,2,1,1,3,,97,10,1,1,1089,560000,04,05,1512.3721426,
5418309,1,4,1,60,05,5,1,1,,,1,,,1,1,2,1,1,,1,,2,720000,2,,,1,200000,1,300000,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,1,,,,,,,,,55,,.,55,,,1,1,,2,,2,,,,1,,,,,,,,,1,1,2,1,12,120,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,8,,54,97,1,3,9700,1220000,04,05,1291.2165093,
5418311,1,2,1,60,05,5,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,2000000,1,,3,,12,2,,,,,3,1,1,24,2,,24,,,1,1,,3,,2,,,,1,,,,,,,,,1,2,2,1,6,6,1,,2,,,,,,,,13,14,,,1,24,2,1,1,1,1,1,2,1,2,2,1,2,2,,1,1,1,2,1,1,2,1,3,,02,71,1,4,7110,2000000,04,05,554.51108852,
5418311,1,3,1,60,05,5,1,2,1,,1,,,1,1,2,1,9,,1,,2,1500000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,650000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,48,,.,24,2,,9,7,,1,,1,1,1,1,1,1,,,,,,,,,1,1,1,12,6,1,,2,,,,,,,,13,8,12,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,5,,16,31,1,1,3110,1500000,04,05,554.51108852,
