DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,AREA,MES,DPTO,fex_c_2011
5419777,1,1,1,95,2,,,,,,,1,2,,2,,1,600000,,,1,600000,,,,,,,1,INGRESO SOLIDARIO,600000,,,,2,,2,,2,,13,04,13,390.36106023
5419777,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,390.36106023
5419777,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,390.36106023
5419777,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,390.36106023
5419777,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,390.36106023
5419778,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,429.793526
5419778,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,429.793526
5419779,1,1,1,95,1,1,300000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,336.91505704
5419779,1,2,1,95,2,,,,,,,1,1,2400000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,336.91505704
5419779,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,336.91505704
5419780,1,1,1,95,1,2,,1,3000000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,475.48973961
5419780,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,475.48973961
5419780,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,475.48973961
5419780,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,475.48973961
5419781,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419781,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419781,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419781,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419781,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419781,1,6,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,352.54040333
5419781,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,352.54040333
5419782,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419782,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419783,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419783,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419784,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,414.95471367
5419784,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,414.95471367
5419784,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,414.95471367
5419785,1,1,1,95,2,,,,,,,1,1,12000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,389.76268224
5419786,1,1,1,95,2,,,,,,,1,1,10800000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,414.95471367
5419786,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,414.95471367
5419786,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,414.95471367
5419787,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,449.20524718
5419787,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,449.20524718
5419787,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,449.20524718
5419788,1,1,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,444.66144354
5419788,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,444.66144354
5419788,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,444.66144354
5419789,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419789,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419789,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419789,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419789,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419789,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,506.58644959
5419790,1,1,1,95,2,,,,,,,1,1,14400000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,396.88036533
5419790,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,396.88036533
5419791,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,359.84249465
5419791,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,359.84249465
5419791,1,3,1,95,2,,,,,,,1,1,4800000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,359.84249465
5419792,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,438.88113328
5419792,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,438.88113328
5419793,1,1,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,315.26784725
5419793,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,315.26784725
5419794,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,508.23355293
5419794,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,508.23355293
5419794,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,508.23355293
5419794,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,508.23355293
5419794,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,508.23355293
5419795,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5419795,1,2,1,95,2,,,,,,,1,2,,1,2400000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,474.82858363
5419796,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5419796,1,2,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5419798,1,1,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,361.65894534
5419799,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,298.51586658
5419799,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,298.51586658
5419799,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,298.51586658
5419799,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,298.51586658
5419800,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,507.5675625
5419800,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,507.5675625
5419801,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419801,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.66177429
5419803,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5419803,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5419803,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5419803,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5419921,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,183.35156219
5419928,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419928,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419928,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419928,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419928,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419928,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,272.93359563
5419929,1,1,1,95,1,1,400000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,162.37843331
5419929,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,162.37843331
5419930,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419930,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419930,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419931,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,440.29303899
5419931,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,440.29303899
5419931,1,3,1,95,2,,,,,,,1,2,,2,,1,30000,,,1,30000,1,30000,,,,,,,,,,,2,,2,,2,,17,04,17,440.29303899
5419931,1,4,1,95,2,,,,,,,1,2,,2,,1,30000,,,1,30000,1,30000,,,,,,,,,,,2,,2,,2,,17,04,17,440.29303899
5419936,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,210.9195356
5419938,1,1,1,95,2,,,,,,,1,1,7200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,162.37843331
5419938,1,2,1,95,2,,,,,,,1,2,,1,10800000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,162.37843331
5419939,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,343.17251972
5419940,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,183.35156219
5419942,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,168.50191594
5419942,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,168.50191594
5419942,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,168.50191594
5419943,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,235.94977076
5419944,1,1,1,95,2,,,,,,,1,1,6000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,210.9195356
5419946,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,235.94977076
5419948,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,235.94977076
5419949,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419949,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419949,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419951,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419951,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419952,1,1,1,95,1,2,,1,800000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,116.33791496
5419952,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,116.33791496
5419952,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,116.33791496
5419952,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,116.33791496
5419952,1,5,1,95,2,,,,,,,1,2,,1,1000000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,116.33791496
5419953,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419953,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419953,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5419954,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419954,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419956,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419956,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419956,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419960,1,1,1,95,2,,,,,,,1,1,6000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,343.17251972
5419965,1,1,1,95,1,1,1500000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419965,1,2,1,95,1,1,400000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419966,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419966,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5419967,1,1,1,95,1,1,300000,2,,2,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,17,04,17,174.1245783
5419967,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,174.1245783
5419968,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419968,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419968,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,178.18168458
5419969,1,1,1,95,1,2,,1,1000000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419969,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419969,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419970,1,1,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,174.1245783
5419970,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,174.1245783
5419976,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,261.28477277
5419976,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,261.28477277
5419977,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,148.07889393
5419978,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419978,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419978,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419978,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5419979,1,1,1,95,2,,,,,,,1,1,100000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,174.1245783
5419979,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,174.1245783
5419980,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,210.9195356
5419982,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419982,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419982,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419982,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419982,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419982,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,126.53708103
5419985,1,1,1,95,1,2,,1,700000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,137.32962099
5419985,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,137.32962099
5419985,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,137.32962099
5419986,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,125.58347601
5419986,1,2,1,95,2,,,,,,,1,1,200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,125.58347601
5419986,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,125.58347601
5419987,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,187.42122607
5419987,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,187.42122607
5419987,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,187.42122607
5419987,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,187.42122607
5419987,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,187.42122607
5419988,1,1,1,95,1,1,400000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,210.9195356
5419990,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,17,04,17,204.22736895
5419990,1,2,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,17,04,17,204.22736895
5419990,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,204.22736895
5419990,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,204.22736895
5419993,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,261.28477277
5419993,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,261.28477277
5419995,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,224.48981546
5419995,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,224.48981546
5419995,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,224.48981546
5419996,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,235.94977076
5419998,1,1,1,95,1,2,,2,,1,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,152.69866468
5419998,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,152.69866468
5420001,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,358.97577099
5420001,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,358.97577099
5420003,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,358.97577099
5420003,1,2,1,95,2,,,,,,,1,1,3000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,358.97577099
5420006,1,1,1,95,1,2,,1,908526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5420006,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5420006,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,110.07325975
5420009,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,173.41389594
5420009,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,173.41389594
5420010,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,300.12628463
5420010,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,300.12628463
5420010,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,300.12628463
5420010,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,300.12628463
5420011,1,1,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,210.9195356
5420012,1,1,1,95,2,,,,,,,1,1,7200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,210.9195356
5420013,1,1,1,95,2,,,,,,,1,2,,1,12000000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,17,04,17,181.29774344
5420013,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,181.29774344
5420013,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,181.29774344
5420013,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,181.29774344
5420014,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,176.67797269
5420014,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,176.67797269
5420014,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,176.67797269
5420015,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,115.90370737
5420015,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,115.90370737
5420015,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,115.90370737
5420016,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5420016,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,163.8821452
5420017,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5420017,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5420017,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,373.27531037
5420018,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,202.72365706
5420018,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,202.72365706
5420018,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,202.72365706
5420018,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,202.72365706
5420020,1,1,1,95,1,2,,1,1800000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,192.46556781
5420020,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,192.46556781
5420020,1,3,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,192.46556781
5420022,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,04,17,148.07889393
