DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5392870,1,1,1,70,50,1,30,48,1,,2,30,1,,3,2,1,,,,,,,,,,,1,2,,1300000,2,,41,95,95,1,2,03,4111,50,203.69038331
5392871,1,7,1,70,50,1,2,48,1,,2,3,4,,1,2,7,,,,,,,,,,,1,2,,800000,2,,88,45,54,1,1,03,8890,50,346.84738629
5392885,1,5,1,70,50,1,8,48,1,,2,10,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,10,58,77,1,1,03,1081,50,311.39204727
5392887,1,1,1,70,50,1,26,48,1,,2,28,1,,2,2,7,,,,,,,,,,,1,2,,1000000,2,,31,97,81,1,2,03,3110,50,347.70074279
5392887,1,2,1,70,50,1,32,48,1,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,950000,2,,47,55,41,1,2,03,4721,50,347.70074279
5392888,1,1,1,70,50,1,52,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,2,03,4111,50,273.00218308
5392888,1,3,1,70,50,1,42,48,4,,2,42,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,43,95,95,1,2,03,4330,50,273.00218308
5392888,1,4,1,70,50,1,20,48,4,,2,20,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,43,95,95,1,2,03,4330,50,273.00218308
5392888,1,5,1,70,50,1,8,48,1,,2,16,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,03,4111,50,273.00218308
5392895,1,3,1,70,50,1,20,48,1,,2,21,1,,7,2,1,,,,,,,,,,,1,2,,980000,2,,85,39,39,1,2,03,8530,50,334.54153605
5392912,1,2,1,70,52,1,28,48,1,,2,40,1,,9,2,7,,,,,,,,,,,1,1,40000,1014980,2,,49,84,84,1,2,03,4921,52,196.12762365
