DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,CLASE,ESC,MES,DPTO,fex_c_2011
5392620,1,1,1,10,1,2,8,1966,54,1,6,,6,3,,3,,,,,,,,,,1,,,,,,2,1,,,3,,,2,1,2,,3,5,,,15,1,5,03,15,140.43722955
5392620,1,2,1,10,1,1,3,1988,32,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,9,,,15,1,9,03,15,140.43722955
5392620,1,3,1,10,3,1,8,2005,15,5,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,4,,,15,1,4,03,15,140.43722955
5392620,1,4,1,10,1,1,8,2012,8,5,6,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,15,1,2,03,15,140.43722955
5392620,1,5,1,10,5,1,8,1957,63,5,6,,6,3,,3,,,,,,,,,,1,,,,,,,1,,,1,5,,2,1,2,,4,9,,,15,1,9,03,15,140.43722955
5392620,1,6,1,10,6,1,11,1972,48,5,6,,6,2,,3,,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,15,1,5,03,15,140.43722955
5392621,1,1,1,10,1,1,7,1990,30,1,6,,3,2,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,64000,2,1,2,,6,5,4,,15,1,16,03,15,155.34251831
5392621,1,2,1,10,2,2,1,1991,30,2,6,,3,2,,2,,1,1,,,,1,,,1,,,,,,,1,,,1,1,60000,1,1,2,,6,6,5,,15,1,17,03,15,155.34251831
5392621,1,3,1,10,1,2,4,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,15,1,,03,15,155.34251831
5392622,1,1,1,10,1,2,5,1969,51,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,1,320000,2,1,2,,6,8,5,,15,1,19,03,15,122.02256451
5392622,1,2,1,10,2,2,12,1987,33,5,6,,2,2,,2,,1,3,,,,,,,,,,,1,,,1,,,1,1,168000,2,1,2,,6,7,5,,15,1,18,03,15,122.02256451
5392622,1,3,1,10,3,1,12,1991,29,9,6,,2,2,,2,,1,2,,,,,,,1,,,,,,,1,,,1,5,,2,1,1,1,6,4,2,2,15,1,15,03,15,122.02256451
5392623,1,1,1,10,1,2,5,1933,87,1,6,,3,3,,3,,1,2,,1,1,,,,,,1,,,,2,1,,,3,,,2,1,2,,3,3,,,15,1,3,03,15,83.007380338
5392623,1,2,1,10,2,1,7,1933,87,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,15,1,4,03,15,83.007380338
5392624,1,1,1,10,1,2,6,1946,74,1,6,,5,3,,3,,,,,,,1,1,,,,1,,,,2,1,,,1,2,146100,2,1,2,,5,11,2,,15,1,11,03,15,101.15573258
5392624,1,2,1,10,2,2,5,1968,52,3,6,,5,3,,1,1,,,1,,,,,,1,,1,,,,,1,,,3,,,2,1,2,,6,5,4,,15,1,16,03,15,101.15573258
5392624,1,3,1,10,3,1,2,1992,29,4,6,,6,3,,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,6,4,2,2,15,1,15,03,15,101.15573258
5392624,1,4,1,10,4,2,2,2004,17,4,6,,6,3,,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,10,1,,15,1,10,03,15,101.15573258
5392625,1,1,1,10,1,1,8,1975,45,1,6,,3,2,,2,,1,2,,,1,1,,,,,,,,,2,1,,,1,1,72000,2,1,2,,6,5,4,,15,1,16,03,15,163.89345521
5392625,1,2,1,10,2,2,7,1979,41,2,6,,3,2,,2,,1,1,,,,,1,,1,,1,,,,,1,,,1,1,60000,2,1,2,,6,5,4,,15,1,16,03,15,163.89345521
5392625,1,3,1,10,1,1,10,2012,8,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,2,3,2,,,15,1,2,03,15,163.89345521
5392625,1,4,1,10,2,2,1,2016,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,15,1,0,03,15,163.89345521
5392626,1,1,1,10,1,1,10,1966,54,1,6,,3,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,5,,2,1,2,,6,8,5,,15,1,19,03,15,135.08109124
5392626,1,2,1,10,2,2,6,1969,51,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,152000,2,1,2,,6,7,5,,15,1,18,03,15,135.08109124
5392626,1,3,1,10,3,1,3,1993,27,3,6,,6,1,1,1,2,,,,,,,,,1,,,,,,,2,1,12,,,,2,1,2,,6,8,5,,15,1,19,03,15,135.08109124
5392626,1,4,1,10,4,2,12,2003,17,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,0,2,2,15,1,11,03,15,135.08109124
5392627,1,1,1,10,1,2,5,1992,28,1,6,,6,3,,3,,,,,,1,1,,,,,,,,,1,1,,,1,1,52000,2,1,2,,5,11,2,,15,1,11,03,15,134.35870529
5392627,1,2,1,10,2,1,10,2009,11,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,0,,,15,1,5,03,15,134.35870529
5392627,1,3,1,10,1,2,10,2011,9,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,3,,,15,1,3,03,15,134.35870529
5392627,1,4,1,10,4,2,1,2002,19,5,6,,6,2,,2,,,,,,,,1,,,,,,,,,1,,,3,,,2,1,1,1,6,0,2,2,15,1,11,03,15,134.35870529
5392628,1,1,1,10,1,2,8,1948,72,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,6,5,4,,15,1,16,03,15,83.007380338
5392628,1,2,1,10,2,1,9,1932,88,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,2,400000,2,1,2,,6,5,4,,15,1,16,03,15,83.007380338
5392629,1,1,1,10,1,1,1,1948,73,1,6,,3,3,,3,,2,,,,,,,,,,,,1,,2,1,,,1,2,98,2,1,2,,6,5,4,,15,1,16,03,15,99.59150464
5392630,1,1,1,10,1,1,9,1972,48,1,6,,2,2,,2,,1,2,,,1,1,,,,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,15,1,11,03,15,138.48430934
5392630,1,2,1,10,2,2,6,1972,48,2,6,,2,2,,2,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,6,5,4,,15,1,16,03,15,138.48430934
5392630,1,3,1,10,2,1,11,2011,9,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,4,,,15,1,4,03,15,138.48430934
5392631,1,1,1,10,1,2,1,1993,28,1,6,,1,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,3,113566,2,1,2,,6,3,3,,15,1,14,03,15,129.93337244
5392631,1,2,1,10,2,1,6,1990,30,2,6,,1,2,,2,,1,1,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,15,1,8,03,15,129.93337244
5392632,1,1,1,10,1,2,12,1972,48,1,6,,6,3,,3,,,,,,,1,,,,,,,,,2,1,,,1,3,113000,2,1,2,,5,11,2,,15,1,11,03,15,100.39862252
5392632,1,2,1,10,2,2,5,2002,18,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,1,2,2,15,1,12,03,15,100.39862252
