DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,CLASE,ESC,MES,DPTO,fex_c_2011
5403137,1,4,1,10,4,1,9,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,5,,,20,1,5,03,20,238.76799243
5403137,1,5,1,10,5,1,6,1998,22,3,6,,4,1,1,1,2,,,,,1,1,,,,,,,,,,1,,,3,,,2,1,2,,4,6,,,20,1,6,03,20,238.76799243
5403137,1,6,1,10,6,1,11,2016,4,4,6,,,1,5,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,20,1,0,03,20,238.76799243
5403137,1,7,1,10,7,1,10,2003,17,8,6,,6,2,,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,20,1,5,03,20,238.76799243
5403138,1,1,1,10,1,2,12,1984,36,1,6,,4,2,,2,,,,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,6,2,3,,20,1,13,03,20,162.75807706
5403138,1,2,1,10,1,2,11,2010,10,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,3,4,,,20,1,4,03,20,162.75807706
5403138,1,3,1,10,1,2,9,2015,5,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,20,1,0,03,20,162.75807706
5403139,1,1,1,10,1,1,9,1979,41,1,6,,2,3,,3,,1,2,,1,1,1,,,,,1,,,,1,2,1,36,,,,2,1,2,,5,11,2,,20,1,11,03,20,215.50283867
5403139,1,2,1,10,2,2,6,1992,28,2,6,,2,2,,2,,1,1,,1,,,,,,,1,,,,,2,1,36,,,,2,1,2,,5,11,2,,20,1,11,03,20,215.50283867
5403139,1,3,1,10,3,1,3,2004,17,3,6,,6,1,1,2,,,,,,,,,,,,1,,,,,2,1,36,,,,2,1,2,,5,11,2,,20,1,11,03,20,215.50283867
5403140,1,1,1,10,1,1,11,1967,53,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,2,2,,1,0,,,20,1,0,03,20,280.63644541
5403140,1,2,1,10,2,2,8,1970,50,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,20,1,2,03,20,280.63644541
5403140,1,3,1,10,3,1,9,1992,28,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,280.63644541
5403140,1,4,1,10,4,1,12,1995,25,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,280.63644541
5403140,1,5,1,10,5,1,9,2000,20,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,280.63644541
5403140,1,6,1,10,6,1,8,2002,18,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,280.63644541
5403140,1,7,1,10,7,2,9,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,1,,,20,1,1,03,20,280.63644541
5403141,1,1,1,10,1,2,5,1973,47,1,6,,4,3,,3,,,,,,,,,,1,,,,,,2,1,,,1,1,37000,2,1,2,,6,3,3,,20,1,14,03,20,169.92757947
5403141,1,2,1,10,1,1,9,2012,8,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,20,1,0,03,20,169.92757947
5403142,1,1,1,10,1,1,12,1978,42,1,6,,2,2,,2,,1,2,,1,1,,,,1,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,198.72078682
5403142,1,2,1,10,2,2,2,1982,39,2,6,,2,2,,3,,1,1,,1,,,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,198.72078682
5403142,1,3,1,10,2,1,12,2013,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,0,,,20,1,0,03,20,198.72078682
5403144,1,1,1,10,1,1,11,1987,33,1,6,,2,3,,2,,1,2,,,,,,,,,,,1,,2,2,2,,,,,2,1,2,,3,5,,,20,1,5,03,20,210.03471793
5403144,1,2,1,10,2,2,5,1990,30,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,2,2,,,,,2,1,2,,5,11,2,,20,1,11,03,20,210.03471793
5403144,1,3,1,10,3,1,1,2007,14,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,2,2,,,,,2,1,1,1,3,4,,,20,1,4,03,20,210.03471793
5403144,1,4,1,10,4,2,6,2009,11,3,6,,6,2,,1,2,,,,,,,,1,,,,,,,,2,2,,,,,2,1,1,1,4,0,,,20,1,5,03,20,210.03471793
5403145,1,1,1,10,1,1,3,1972,49,1,6,,2,3,,2,,1,2,,1,,,,,1,,,,,,1,1,,,3,,,2,1,2,,3,5,,,20,1,5,03,20,203.48879318
5403145,1,2,1,10,2,2,9,1994,26,2,6,,2,2,,2,,1,1,,,,,,,1,,,,,,,2,2,,,,,1,1,2,,6,3,2,2,20,1,14,03,20,203.48879318
5403145,1,3,1,10,1,2,4,2007,13,3,6,,6,1,1,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,20,1,7,03,20,203.48879318
5403147,1,1,1,10,1,1,7,1982,38,1,6,,2,3,,3,,1,2,,1,,,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,20,1,5,03,20,198.72078682
5403147,1,2,1,10,2,2,4,1987,33,2,6,,2,2,,2,,1,1,,,1,,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,198.72078682
5403147,1,3,1,10,3,1,11,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,20,1,0,03,20,198.72078682
5403148,1,1,1,10,1,2,2,1990,31,1,1,850_06,3,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,191.55128441
5403148,1,2,1,10,2,1,9,1993,27,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,191.55128441
5403148,1,3,1,10,1,2,2,2017,4,3,6,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,20,1,0,03,20,191.55128441
5403148,1,4,1,10,1,2,10,2020,0,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,20,1,,03,20,191.55128441
5403149,1,1,1,10,1,1,1,1994,27,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,1,2,2,,,,,1,1,2,,6,1,2,2,20,1,12,03,20,202.33280839
5403149,1,2,1,10,2,2,2,1999,22,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,2,2,,,,,2,1,2,,5,11,2,,20,1,11,03,20,202.33280839
5403149,1,3,1,10,2,2,8,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,202.33280839
5403149,1,4,1,10,1,1,8,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,202.33280839
5403149,1,5,1,10,5,2,10,2001,19,5,6,,4,2,,2,,,,,,,,,,,,,,1,,,2,2,,,,,1,1,2,,5,11,2,,20,1,11,03,20,202.33280839
5403149,1,6,1,10,5,2,7,2016,4,5,6,,,2,,1,5,,,,,,,,,,,,,,,,2,2,,,,,2,2,2,,1,0,,,20,1,0,03,20,202.33280839
5403150,1,1,1,10,1,2,9,1967,53,1,6,,6,2,,2,,,,,,,1,,,,,,,,,2,1,,,1,3,259000,2,1,2,,3,5,,,20,1,5,03,20,173.69431854
5403151,1,1,1,10,1,1,10,1955,65,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,2,106000,2,1,2,,6,10,4,,20,1,21,03,20,134.7218484
5403151,1,2,1,10,2,2,11,1965,55,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,2,1,98,2,1,2,,6,6,5,,20,1,17,03,20,134.7218484
5403151,1,3,1,10,3,2,12,1994,26,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,98,2,1,2,,6,5,4,,20,1,16,03,20,134.7218484
5403152,1,1,1,10,1,1,2,1987,34,1,6,,2,2,,2,,1,2,,,,1,,,,,,,,,2,2,2,,,,,2,1,2,,4,9,,,20,1,9,03,20,194.25393336
5403152,1,2,1,10,2,2,12,1984,36,2,6,,2,2,,2,,1,1,,,,,,,,,1,,,,,2,2,,,,,2,1,2,,6,2,3,,20,1,13,03,20,194.25393336
5403152,1,3,1,10,3,2,6,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,2,2,,,,,2,1,1,1,3,5,,,20,1,5,03,20,194.25393336
5403152,1,4,1,10,4,2,12,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,2,2,,1,0,,,20,1,0,03,20,194.25393336
5403152,1,5,1,10,5,1,5,2019,1,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,194.25393336
5403153,1,1,1,10,1,1,6,1986,34,1,6,,3,2,,2,,1,2,,,,1,,,,,,,,,2,2,2,,,,,2,1,2,,6,3,2,2,20,1,14,03,20,187.78454534
5403153,1,2,1,10,2,2,12,1988,32,2,6,,3,2,,2,,1,1,,,,,,,1,,,,,,,2,2,,,,,2,1,2,,6,3,3,,20,1,14,03,20,187.78454534
5403153,1,3,1,10,2,2,2,2013,8,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,1,1,1,3,1,,,20,1,1,03,20,187.78454534
5403153,1,4,1,10,2,2,1,2021,0,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,187.78454534
5403153,1,5,1,10,2,1,1,2021,0,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,187.78454534
5403154,1,1,1,10,1,1,5,1959,61,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,4,8,,,20,1,8,03,20,163.51505576
5403154,1,2,1,10,2,2,3,1965,55,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,6,,,20,1,6,03,20,163.51505576
5403154,1,3,1,10,3,1,4,1984,36,3,6,,6,1,1,1,2,,,,,,,1,,1,,,,,,,1,,,3,,,2,1,2,,6,2,3,,20,1,13,03,20,163.51505576
5403154,1,4,1,10,4,2,12,1990,30,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,37000,2,1,2,,6,3,3,,20,1,14,03,20,163.51505576
5403155,1,1,1,10,1,1,12,1953,67,1,6,,5,3,,3,,,,,,,,,,,,1,,,,2,1,,,2,2,99,2,1,2,,3,5,,,20,1,5,03,20,173.68277462
5403155,1,2,1,10,2,1,5,1984,36,3,6,,2,1,1,2,,1,3,,,1,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,173.68277462
5403155,1,3,1,10,3,2,6,1990,30,5,6,,2,2,,2,,1,2,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,173.68277462
5403155,1,4,1,10,3,2,10,2009,11,4,6,,6,1,2,1,3,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,5,,,20,1,5,03,20,173.68277462
5403155,1,5,1,10,3,1,8,2014,6,4,6,,,1,2,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,2,1,,,20,1,0,03,20,173.68277462
5403155,1,6,1,10,3,1,9,2020,0,4,6,,,1,2,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,20,1,,03,20,173.68277462
5403156,1,1,1,10,1,1,9,1978,42,1,1,720_06,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,211.7360996
5403156,1,2,1,10,2,2,7,1978,42,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,2,1,8,,,,2,1,2,,4,6,,,20,1,6,03,20,211.7360996
5403156,1,3,1,10,3,1,1,2000,21,3,6,,6,2,,1,2,,,,,,,,,,,,,1,,,2,1,8,,,,2,1,2,,4,9,,,20,1,9,03,20,211.7360996
5403156,1,4,1,10,4,1,1,2010,11,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,2,1,8,,,,2,1,1,1,3,4,,,20,1,4,03,20,211.7360996
5403157,1,1,1,10,1,1,2,1986,35,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,6,2,3,,20,1,13,03,20,215.03325438
5403158,1,1,1,10,1,2,5,1994,26,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,6,1,2,2,20,1,12,03,20,169.92757947
5403158,1,2,1,10,1,1,7,2014,6,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,3,0,,,20,1,0,03,20,169.92757947
5403159,1,1,1,10,1,2,9,1968,52,1,6,,3,3,,2,,2,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,200.72621138
5403159,1,2,1,10,2,1,7,1996,24,3,6,,6,2,,1,1,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,200.72621138
5403159,1,3,1,10,3,1,4,2004,16,3,6,,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,5,10,1,,20,1,10,03,20,200.72621138
5403159,1,4,1,10,4,2,5,2002,18,5,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,3,2,2,20,1,14,03,20,200.72621138
5403160,1,1,1,10,1,1,3,1995,26,1,6,,3,2,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,37000,2,1,2,,6,5,4,,20,1,16,03,20,216.03452166
5403160,1,2,1,10,2,2,9,1998,22,2,6,,3,2,,2,,1,1,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,6,4,2,2,20,1,15,03,20,216.03452166
5403161,1,1,1,10,1,2,5,1945,75,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,3,5,,,20,1,5,03,20,147.26757689
5403161,1,2,1,10,1,1,12,1946,74,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,20,1,5,03,20,147.26757689
5403162,1,1,1,10,1,1,7,1959,61,1,6,,2,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,1,3,110000,2,1,2,,3,5,,,20,1,5,03,20,170.90647894
5403162,1,2,1,10,2,2,10,1969,51,2,6,,2,2,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,20,1,5,03,20,170.90647894
5403162,1,3,1,10,3,1,12,2000,20,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,1,2,2,20,1,12,03,20,170.90647894
5403166,1,1,1,10,1,1,7,1971,49,1,6,,1,2,,2,,1,2,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,202.4875259
5403166,1,2,1,10,2,2,9,1983,37,2,6,,1,2,,2,,1,1,,1,1,1,,,,,1,,,,,2,1,24,,,,2,1,2,,5,11,2,,20,1,11,03,20,202.4875259
5403167,1,1,1,10,1,2,5,1993,27,1,6,,6,2,,2,,,,1,,,,,,,,,,,,2,1,,,1,1,98,2,1,2,,6,10,4,,20,1,21,03,20,173.69431854
5403168,1,1,1,10,1,2,11,1965,55,1,6,,3,3,,3,,1,2,,,,,,,1,,,,,,2,2,1,1,,,,1,1,2,,6,2,3,,20,1,13,03,20,217.89456217
5403168,1,2,1,10,2,1,8,1966,54,2,1,850_01,3,3,,2,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,217.89456217
5403168,1,3,1,10,3,1,9,1997,23,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,2,6,5,2,2,20,1,16,03,20,217.89456217
5403168,1,4,1,10,4,1,3,1999,22,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,2,6,0,2,2,20,1,11,03,20,217.89456217
5403171,1,1,1,10,1,1,6,1941,79,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,1,3,380000,2,1,2,,5,11,2,,20,1,11,03,20,134.7218484
5403171,1,2,1,10,2,2,6,1946,74,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,20,1,5,03,20,134.7218484
5403171,1,3,1,10,3,2,3,1985,35,3,6,,6,1,1,1,2,,,,,,,1,,,,1,,,,,1,,,3,,,2,1,2,,6,10,4,,20,1,21,03,20,134.7218484
5403172,1,1,1,10,1,1,3,1969,52,1,6,,3,2,,2,,1,2,1,,,,,,,,,,,,2,1,,,2,2,99,2,1,2,,6,6,5,,20,1,17,03,20,202.4875259
5403172,1,2,1,10,2,2,1,1970,51,2,6,,3,2,,2,,1,1,1,,,,,,,,,,,,,1,,,2,1,99,2,1,2,,6,5,4,,20,1,16,03,20,202.4875259
5403173,1,1,1,10,1,2,1,1971,50,1,6,,4,3,,1,3,,,,,,,,,,,,,1,,2,1,,,1,1,98,2,1,2,,6,5,4,,20,1,16,03,20,145.05688004
5403173,1,2,1,10,1,2,7,2010,10,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,3,4,,,20,1,4,03,20,145.05688004
5403173,1,3,1,10,1,2,2,1944,77,5,6,,5,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,20,1,2,03,20,145.05688004
5403174,1,1,1,10,1,1,6,1966,54,1,6,,2,2,,3,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,198.02067244
5403174,1,2,1,10,2,2,10,1977,43,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,198.02067244
5403174,1,3,1,10,2,2,7,2006,14,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,20,1,8,03,20,198.02067244
5403174,1,4,1,10,2,2,4,2012,8,3,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,20,1,2,03,20,198.02067244
5403175,1,1,1,10,1,1,10,1988,32,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,123240,2,1,2,,6,6,4,,20,1,17,03,20,202.4875259
5403175,1,2,1,10,2,2,11,1987,33,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,2,6,5,4,,20,1,16,03,20,202.4875259
5403176,1,1,1,10,1,1,5,1989,31,1,6,,3,2,,3,,1,2,,,,,,,1,,,,,,2,1,,,1,5,,2,1,2,,6,2,3,,20,1,13,03,20,198.72078682
5403176,1,2,1,10,2,2,7,1995,25,2,6,,3,2,,2,,1,1,,,,,,,1,,,,,,,1,,,1,3,98,2,1,2,,6,2,3,,20,1,13,03,20,198.72078682
5403176,1,3,1,10,2,1,2,2017,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,20,1,0,03,20,198.72078682
5403177,1,1,1,10,1,2,1,1973,48,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,6,5,4,,20,1,16,03,20,170.90647894
5403177,1,2,1,10,2,1,1,1962,59,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,3,110000,2,1,2,,6,5,4,,20,1,16,03,20,170.90647894
5403177,1,3,1,10,3,1,9,1996,24,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,1,3,110000,2,1,1,2,6,6,4,,20,1,17,03,20,170.90647894
5403178,1,1,1,10,1,1,1,1984,37,1,6,,2,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,98,2,1,2,,5,11,2,,20,1,11,03,20,228.51815145
5403178,1,2,1,10,2,2,10,1986,34,2,6,,2,2,,2,,1,1,,,,,,,1,,,,,,,1,,,1,5,,2,1,2,,5,11,2,,20,1,11,03,20,228.51815145
5403178,1,3,1,10,2,1,11,2005,15,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,9,,,20,1,9,03,20,228.51815145
5403178,1,4,1,10,4,1,1,1998,23,5,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,1,2,2,20,1,12,03,20,228.51815145
5403179,1,1,1,10,1,2,5,1949,71,1,6,,4,3,,3,,,,,,,,,,,,1,,,,1,1,,,1,3,113000,2,1,2,,5,11,2,,20,1,11,03,20,150.52500078
5403179,1,2,1,10,2,2,1,1968,53,3,6,,6,3,,1,1,,,,,,,,,1,,,,,,,1,,,1,3,113000,2,1,2,,6,7,5,,20,1,18,03,20,150.52500078
5403180,1,1,1,10,1,2,5,1941,79,1,6,,5,3,,3,,,,,,,,,,,,1,,,,2,1,,,1,2,99,2,1,2,,3,5,,,20,1,5,03,20,147.26757689
5403180,1,2,1,10,1,1,7,1963,57,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,20,1,5,03,20,147.26757689
5403182,1,1,1,10,1,1,10,1958,62,1,6,,3,3,,3,,1,2,,,,,,,1,,,,,,2,1,,,3,,,2,1,2,,6,5,4,,20,1,16,03,20,160.28288966
5403182,1,2,1,10,2,2,10,1962,58,2,6,,3,3,,2,,1,1,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,160.28288966
5403182,1,3,1,10,3,1,3,1998,22,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,2,6,5,3,,20,1,16,03,20,160.28288966
5403183,1,1,1,10,1,2,1,1969,52,1,6,,4,3,,3,,,,,,1,,,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,161.14859006
5403183,1,2,1,10,2,2,8,1992,28,3,6,,6,2,,1,1,,,1,,,,,,,,,,,,,1,,,1,1,98,2,1,2,,6,3,3,,20,1,14,03,20,161.14859006
5403184,1,1,1,10,1,2,10,1945,75,1,6,,4,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,20,1,5,03,20,164.07199655
5403184,1,2,1,10,2,2,10,1999,21,4,6,,6,2,,2,,,,,1,,1,,,,,,,,,,1,,,3,,,2,1,2,,6,2,3,,20,1,13,03,20,164.07199655
5403185,1,1,1,10,1,1,12,1993,27,1,6,,6,2,,2,,,,,,,,,,,,1,,,,2,1,,,1,1,99,2,1,2,,6,2,3,,20,1,13,03,20,215.03325438
5403187,1,1,1,10,1,2,9,1968,52,1,6,,4,2,,1,5,,,,,,,,,1,,,,,,1,1,,,3,,,2,1,2,,4,6,,,20,1,6,03,20,135.21380051
5403187,1,2,1,10,2,2,2,1998,23,3,6,,6,3,,1,1,,,,,,,,,1,,,,,,,1,,,1,1,36400,2,1,2,,6,1,2,2,20,1,12,03,20,135.21380051
5403187,1,3,1,10,3,2,1,1989,32,3,6,,4,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,36700,2,1,2,,6,2,3,,20,1,13,03,20,135.21380051
5403187,1,4,1,10,1,1,8,2009,11,4,6,,6,2,,1,3,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,0,,,20,1,5,03,20,135.21380051
5403187,1,5,1,10,5,2,5,1951,69,5,6,,5,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,20,1,2,03,20,135.21380051
5403191,1,1,1,10,1,2,5,1966,54,1,6,,4,2,,2,,,,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,4,,,20,1,4,03,20,199.7249441
5403191,1,2,1,10,2,1,8,2000,20,3,6,,6,2,,1,1,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,199.7249441
5403191,1,3,1,10,3,1,9,2005,15,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,20,1,10,03,20,199.7249441
5403192,1,1,1,10,1,2,9,1998,22,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,1,2,2,,,,,1,1,2,,5,11,2,,20,1,11,03,20,223.5817137
5403192,1,2,1,10,2,1,10,1970,50,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,2,2,,,,,1,1,2,,5,11,2,,20,1,11,03,20,223.5817137
5403192,1,3,1,10,1,2,7,2018,2,3,6,,,1,2,1,1,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,20,1,,03,20,223.5817137
5403192,1,4,1,10,4,1,5,2008,12,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,2,2,,,,,1,1,2,,3,4,,,20,1,4,03,20,223.5817137
5403193,1,1,1,10,1,1,4,1968,52,1,1,40_01,2,3,,2,,1,2,,,,,,,,,,,1,,1,1,,,1,5,,2,1,2,,6,1,2,2,20,1,12,03,20,232.28200053
5403193,1,2,1,10,2,2,12,1969,51,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,98,2,1,2,,6,2,3,,20,1,13,03,20,232.28200053
5403193,1,3,1,10,3,2,11,1998,22,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,5,4,,20,1,16,03,20,232.28200053
5403193,1,4,1,10,4,1,9,1993,27,3,6,,4,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,20,1,11,03,20,232.28200053
5403194,1,1,1,10,1,2,4,1989,31,1,6,,2,2,,2,,1,2,,1,,,,,,,1,,,,1,2,1,120,,,,2,1,2,,4,7,,,20,1,7,03,20,230.59722274
5403194,1,2,1,10,2,1,7,1982,38,2,6,,2,2,,2,,1,1,,,,,,,1,,,,,,,2,2,,,,,2,1,2,,4,9,,,20,1,9,03,20,230.59722274
5403194,1,3,1,10,1,1,3,2005,15,3,6,,6,1,2,1,1,,,,,,,,,,,,1,,NO HA PODIDO ESTUDIAR,,2,2,,,,,2,1,2,,3,5,,,20,1,5,03,20,230.59722274
5403194,1,4,1,10,1,1,1,2007,14,3,6,,6,1,2,1,1,,,,,,,,,,,,1,,NO HA PODIDO ESTUDIAR,,2,2,,,,,2,1,2,,3,3,,,20,1,3,03,20,230.59722274
5403194,1,5,1,10,1,1,7,2008,12,3,6,,6,1,2,1,1,,,,,,,,,,,,1,,NO HA PODIDO ESTUDIAR,,2,2,,,,,2,1,2,,3,2,,,20,1,2,03,20,230.59722274
