DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5392607,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,180,,2,,2,12000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,6000000,1,6000000,1,6000000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,22,1,1,,,,,,,,,1,1,1,0,36,1,,2,,,,,,,,1,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,21,65,1,03,1,6511,12000000,15,100.39862252,
5392608,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,324,,1,,2,4500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,4000000,1,4000000,1,2000000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,3,,,,,.,,,,,,,,,1,1,1,0,24,2,,2,,,,,,,,8,2,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,,13,85,1,03,2,8530,4500000,15,121.26005607,
5392608,1,2,1,60,15,1,15,2,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,3,,12,2,,,,,2,8,2,50,,.,50,,,1,1,,1,,1,2,2,15,1,1,,,,,,,,,1,2,1,0,120,1,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,12,69,1,03,4,6910,,15,121.26005607,
5392609,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,10,,2,,1,2500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,500000,2,2,,1,1250000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,0,18,1,,2,,,,,,,,1,2,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,19,82,1,03,1,8220,2500000,15,137.84418037,
5392610,1,1,1,60,15,1,15,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,4000000,1,,3,,12,2,,,,,2,1,2,45,,.,45,,,1,7,,1,,1,1,2,15,1,,1,,,,,,,,1,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,12,69,1,03,4,6910,4000000,15,99.59150464,
5392611,1,1,1,60,15,1,15,1,2,2,6,1,,,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,4000000,1,,3,,12,2,,,,,1,1,1,48,,.,48,,,9,1,,1,,1,1,2,6,1,1,,,,,,,,,1,2,1,0,7,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,07,84,1,03,4,8413,4000000,15,137.84418037,
5392612,1,2,1,60,15,1,15,1,2,2,12,1,,,1,1,1,1,48,,2,,2,2400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1200000,1,1200000,1,1200000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,4,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,1,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,39,93,1,03,1,9321,2400000,15,155.34251831,
5392613,1,2,1,60,15,1,15,1,2,2,12,1,,,1,1,1,1,240,,2,,2,4300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,4300000,1,4300000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,98,1,1,,,,,,,,,1,1,1,0,3,4,,2,,,,,,,,1,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,13,85,1,03,1,8530,4300000,15,137.33704823,
5392614,1,2,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,180,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,450000,1,450000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,2,1,15,1,1,,,,,,,,,1,2,2,,,,,1,15,12,1,,1000000,4,7,,8,4,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,14,94,1,03,1,9491,1908526,15,116.932739,
5392617,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,24,,2,,2,2600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1300000,1,1300000,1,1300000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,4,1,1,,,,,,,,,1,1,1,6,12,1,,2,,,,,,,,3,2,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,30,82,1,03,1,8220,2600000,15,112.59213808,
5392618,1,2,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,276,,5,,2,4178000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2000000,1,2000000,1,2000000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,2,1,24,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,02,84,1,03,2,8412,4178000,15,97.960933991,
5392618,1,3,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,60,,5,,2,1800000,2,,,2,,2,,2,,2,,2,,,1,106454,1,2,,,2,,,2,,,2,,,1,900000,1,900000,1,900000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,3,1,5,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,3,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,13,85,1,03,2,8530,1800000,15,97.960933991,
5392620,1,6,1,60,15,1,15,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,300000,12,,3,,12,2,,,,,2,5,2,35,2,,35,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,1,,2,,,,,,,,3,3,30,,2,,,,2,,,,,,,,,,,,,,2,1,1,2,1,1,3,,97,53,1,03,4,5320,300000,15,140.43722955,
5392621,1,1,1,60,15,1,15,1,2,2,12,1,,,1,1,1,1,30,,1,,2,1600000,2,,,2,,2,,2,,2,,2,,,2,,,1,30000,2,2,,,2,,,2,,,1,800000,1,850000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,9,7,,1,,1,2,1,2,1,1,,,,,,,,,1,1,1,0,24,4,,2,,,,,,,,8,3,25,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,2,5,,21,61,1,03,1,6190,1600000,15,155.34251831,
5392621,1,2,1,60,15,1,15,1,2,2,3,1,,,2,1,1,1,1,,4,,1,1500000,2,,,2,,2,,2,,2,,2,,,1,98,2,1,30000,2,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,1,,,,,,,,,60,,.,60,,,9,7,,1,,1,2,1,2,1,1,,,,,,,,,1,1,1,12,30,4,,2,,,,,,,,1,2,35,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,2,1,2,2,2,2,2,2,6,,19,86,1,03,1,8621,1500000,15,155.34251831,
5392622,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,25,,2,,2,8000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,4000000,1,4000000,1,4000000,1,4000000,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,2,1,28,1,1,,,,,,,,,1,1,1,12,36,1,,2,,,,,,,,1,8,90,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,21,84,1,03,2,8424,8000000,15,122.02256451,
5392622,1,2,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,84,,2,,2,4200000,2,,,2,,2,,2,,2,,1,29000,2,2,,,2,,,2,,,2,,,2,,,1,2100000,1,2100000,1,2100000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,7,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,12,84,1,03,2,8414,4200000,15,122.02256451,
5392625,1,1,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,156,,2,,2,1800000,2,,,2,,2,,2,,2,,2,,,2,,,9,,,2,,,2,,,2,,,1,900000,1,900000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,45,,.,45,,,9,7,,1,,1,1,1,16,1,1,,,,,,,,,1,1,1,7,18,1,,2,,,,,,,,1,8,15,,1,12,2,1,1,1,1,1,2,2,2,2,1,1,2,,1,1,1,2,1,2,2,1,5,,02,36,1,03,1,3600,1800000,15,163.89345521,
5392625,1,2,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,24,,1,,2,1500000,2,,,2,,2,,2,,2,,2,,,1,106000,2,1,60000,2,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,3,7,,1,,1,1,1,12,1,1,,,,,,,,,1,1,1,6,120,1,,2,,,,,,,,8,2,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,3,,50,56,1,03,1,5611,1500000,15,163.89345521,
5392626,1,1,1,60,15,1,15,2,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2000000,3,,3,,12,2,,,,,2,5,2,40,,.,40,,,1,8,,3,,2,,,,1,,,,,,,,,1,2,2,1,12,48,2,,2,,,,,,,,3,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,02,74,1,03,4,7490,2000000,15,135.08109124,
5392626,1,2,1,60,15,1,15,1,2,1,,1,,,1,1,1,1,120,,1,,2,3800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1900000,1,1900000,1,1900000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,10,1,1,,,,,,,,,1,1,1,12,120,4,,2,,,,,,,,2,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,02,84,1,03,2,8412,3800000,15,135.08109124,
5392627,1,1,1,60,15,1,15,1,2,2,12,2,1,,1,1,1,1,24,,1,,2,1300000,2,,,2,,2,,2,,2,,2,,,1,106600,2,1,60000,2,2,,,2,,,2,,,1,438000,1,438000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,2,1,2,1,1,,,,,,,,,1,1,1,1,8,1,,2,,,,,,,,3,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,32,84,1,03,1,8412,1300000,15,134.35870529,7820
5392630,1,1,1,60,15,1,15,1,1,,,1,,,2,2,2,2,60,,1,,2,900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,7,48,4,,2,,,,,,,,2,3,10,,2,,,,1,1,1,1,2,2,2,1,1,2,2,,2,1,1,2,1,2,1,1,8,,97,45,1,03,1,4520,900000,15,138.48430934,
