DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5392871,1,5,1,60,50,50,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,180000,1,,1,,6,2,,,,,2,1,1,40,,.,40,,,1,2,,11,,2,,,,1,,,,,,,,,1,2,2,1,10,6,1,,2,,,,,,,,7,14,,,2,,,,1,1,1,1,2,2,2,2,1,2,2,,2,1,1,2,2,2,2,1,3,,55,81,1,4,8121,180000,03,50,346.84738629,
5392872,1,1,1,60,50,50,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,900000,1,,3,,12,2,,,,,3,3,2,60,,.,60,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,5,,2,,,,,,,,2,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,98,49,1,4,4921,900000,03,50,203.69038331,
5392873,1,1,1,60,50,50,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,12,2,,,,,3,1,2,70,,.,70,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,240,3,,2,,,,,,,,10,6,20,,2,,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,5,,45,56,1,4,5619,400000,03,50,398.62369835,
5392873,1,4,1,60,50,50,1,1,,,1,,,1,2,2,2,98,,2,,2,600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,13,60,,2,,,,1,1,2,1,2,2,2,1,1,1,2,,1,1,2,2,2,2,2,1,5,,95,41,1,1,4111,600000,03,50,398.62369835,
5392873,1,5,1,60,50,50,2,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,12,2,,,,,3,4,2,70,,.,70,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,6,20,,2,,,,1,1,2,1,1,2,2,2,1,1,2,,2,1,1,2,2,2,2,1,5,,45,56,1,4,5619,400000,03,50,398.62369835,
5392874,1,1,1,60,50,50,1,1,,,1,,,1,2,2,2,12,,1,,2,600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,3,8,,1,,1,1,2,24,1,1,,,,,,,,,2,2,1,4,24,1,,2,,,,,,,,1,2,120,,2,,,,1,1,1,1,2,2,2,2,1,1,2,,2,1,2,2,2,2,1,1,3,,62,01,1,8,0141,600000,03,50,249.30019992,
5392876,1,1,1,60,50,50,1,2,1,,1,,,1,1,1,1,230,,2,,2,2800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1400000,1,2800000,1,1400000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,23,1,1,,,,,,,,,1,1,1,16,72,1,,2,,,,,,,,3,6,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,2,,39,84,1,2,8412,2800000,03,50,140.56027356,
5392878,1,1,1,60,50,50,1,2,2,12,1,,,2,2,2,2,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2500000,1,,3,,12,2,,,,,1,3,1,48,,.,48,,,5,7,,1,,1,1,2,20,1,1,,,,,,,,,1,2,1,1,12,1,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,15,60,1,4,6010,2500000,03,50,220.81591458,
5392880,1,1,1,60,50,50,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,100000,1,,3,,9,2,,,,,3,1,2,49,,.,49,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,98,1,,2,,,,,,,,5,3,1,,2,,,,1,1,2,1,2,2,2,2,2,1,2,,2,1,1,2,1,2,2,1,8,,41,56,1,4,5619,100000,03,50,350.01234494,
5392881,1,1,1,60,50,50,2,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,400000,1,,3,,12,2,,,,,3,5,2,49,,.,49,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,5,,45,56,1,4,5619,400000,03,50,210.84041034,
