DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5392670,1,1,1,80,15,1,1,6,,1,,1,1,,2,,2,,1,40,908600,2,1,03,1.2,15,107.80229831
5392670,1,2,1,80,15,1,1,3,,2,,,11,,2,,2,,,,,2,1,03,2,15,107.80229831
5392670,1,4,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,107.80229831
5392671,1,1,1,80,15,1,1,8,,2,,,8,,2,,2,,,,,2,1,03,4,15,83.007380338
5392671,1,2,1,80,15,1,1,9,POR LA EDAD,2,,,8,,2,,2,,,,,2,1,03,4,15,83.007380338
5392672,1,1,1,80,15,1,1,5,,2,,,8,,3,,2,,1,48,908526,3,1,03,4,15,121.90018504
5392673,1,2,1,80,15,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,15,88.312202716
5392673,1,4,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,88.312202716
5392674,1,2,1,80,15,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,1.4,15,144.22243343
5392674,1,3,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,144.22243343
5392674,1,6,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,15,144.22243343
5392676,1,4,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,90.094735499
5392676,1,5,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,90.094735499
5392676,1,6,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,90.094735499
5392678,1,1,1,80,15,1,1,2,,2,,,2,,2,,2,,,,,2,1,03,1.2,15,126.02607323
5392679,1,1,1,80,15,1,1,7,,2,,,4,,2,,2,,,,,2,1,03,2,15,88.53050756
5392679,1,2,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,3,15,88.53050756
5392680,1,1,1,80,15,1,1,5,,2,,,8,,3,,2,,,,,3,1,03,2,15,109.06654051
5392680,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,1,48,908526,2,1,03,,15,109.06654051
5392681,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,76.336991999
5392681,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,76.336991999
5392681,1,4,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,76.336991999
5392682,1,4,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,118.75539428
5392683,1,1,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,15,88.53050756
