DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5409480,1,1,1,70,2,6,40,8,,2,8,8,,2,2,1,,,,,,,,,,,1,2,,600000,2,,01,62,62,1,1,03,0141,70,443.40516244
5409484,1,6,1,70,2,8,40,3,,2,10,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,03,9700,70,554.03333965
5409500,1,3,1,70,2,52,70,1,,2,52,1,,5,2,4,,,,,,,,,,,1,2,,1200000,2,,42,03,03,1,2,03,4210,76,1573.6137573
5409505,1,2,1,70,2,5,48,1,,2,24,1,,9,2,4,,,,,,,,,,,1,2,,908526,2,,94,55,32,1,1,03,9491,76,2752.0672009
5409519,1,2,1,70,2,30,50,1,,2,30,1,,9,2,8,,,,,,,,,,,1,2,,3000000,2,,42,02,02,1,2,03,4210,76,2341.8270245
5410252,1,2,1,70,2,4,48,1,,2,4,5,,2,2,1,,,,,,,,,,,1,2,,1000000,2,,56,11,51,1,1,03,5613,25,3818.9146207
5410257,1,3,1,70,2,6,48,1,,2,48,1,,9,2,7,,,,,,,,,,,1,2,,908526,2,,01,95,62,1,1,03,0125,25,2382.1109255
5410264,1,2,1,70,2,20,48,1,,2,20,1,,9,2,6,,,,,,,,,,,1,2,,908526,2,,01,62,62,1,2,03,0125,25,2382.1109255
5410273,1,1,1,70,2,52,16,3,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,908526,2,,49,54,97,1,2,03,4923,25,6192.1054333
5410325,1,3,1,70,2,2,48,1,,2,20,1,,9,2,2,,,,,1,,,,,,,2,,2000000,2,,49,44,44,1,1,03,4923,25,7900.0750314
5410455,1,1,1,70,2,6,48,1,,2,7,1,,4,2,4,,,,,,,,,,,1,2,,1400000,2,,94,21,21,1,1,03,9499,27,960.53721334
