DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5404781,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,544.23992942
5404782,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,552.49794831
5404782,1,2,1,95,2,,,,,,,1,2,,2,,1,150000,,,1,150000,,,,,,,1,DEVOLUCION DE IVA,150000,,,,2,,2,,2,,2,03,70,552.49794831
5404782,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,552.49794831
5404783,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,731.70591511
5404783,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,731.70591511
5404783,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,731.70591511
5404783,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,731.70591511
5404783,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,731.70591511
5404784,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,552.49794831
5404784,1,2,1,95,2,,,,,,,1,1,300000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,70,552.49794831
5404784,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,552.49794831
5404785,1,1,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,1,1200000,,,,,,,,,,,2,,2,,2,,2,03,70,1289.2117226
5404785,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1289.2117226
5404785,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1289.2117226
5404785,1,5,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,,,,,1,1200000,,,,,,,2,,2,,2,,2,03,70,1289.2117226
5404786,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,472.09458406
5404786,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,472.09458406
5404786,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,472.09458406
5404788,1,1,1,95,2,,,,,,,1,2,,2,,1,800000,,,1,800000,,,,,,,1,INGRESO SOLIDARIO,800000,,,,2,,2,,2,,2,03,70,839.85718835
5404788,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,839.85718835
5404788,1,3,1,95,2,,,,,,,1,2,,2,,1,640000,,,1,640000,,,,,,,1,INGRESO SOLIDARIO,640000,,,,2,,2,,2,,2,03,70,839.85718835
5404789,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1569.5018923
5404789,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1569.5018923
5404790,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,544.23992942
5404790,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,544.23992942
5404791,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1095.3113532
5404791,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1095.3113532
5404791,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1095.3113532
5404792,1,1,1,95,1,1,150000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,930.54654221
5404793,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,559.97851029
5404793,1,2,1,95,2,,,,,,,1,2,,2,,1,420000,1,420000,,,,,,,,,,,,,,,2,,2,,2,,2,03,70,559.97851029
5404793,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,559.97851029
5404794,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,2,03,70,443.40516244
5404794,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,443.40516244
5404794,1,3,1,95,2,,,,,,,1,2,,2,,1,780000,,,1,780000,1,780000,,,,,,,,,,,2,,2,,2,,2,03,70,443.40516244
5404794,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,443.40516244
5404795,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,70,443.40516244
5404795,1,2,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,70,443.40516244
5404795,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,443.40516244
5404795,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,443.40516244
5404796,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,2,03,70,502.32734729
5404796,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,502.32734729
5404796,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,502.32734729
5404796,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,502.32734729
5404797,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1445.2099946
5404797,1,2,1,95,2,,,,,,,1,2,,2,,1,640000,,,1,640000,,,,,,,1,INGRESO SOLIDARIO,640000,,,,2,,2,,2,,2,03,70,1445.2099946
5404798,1,1,1,95,2,,,,,,,1,1,6000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,70,887.57802055
5404798,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,887.57802055
5404799,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,2,03,70,885.84551945
5404799,1,2,1,95,2,,,,,,,1,2,,2,,1,210000,,,1,210000,,,,,,,1,DEVOLUCION DE IVA,210000,,,,2,,2,,2,,2,03,70,885.84551945
5404799,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,885.84551945
5404800,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,2472.4039764
5404800,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,2472.4039764
5404801,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,878.58839474
5404801,1,2,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,1,1200000,,,,,,,,,,,2,,2,,2,,2,03,70,878.58839474
5404801,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,878.58839474
5404801,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,878.58839474
5404801,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,878.58839474
5404801,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,878.58839474
5404802,1,1,1,95,2,,,,,,,1,2,,2,,1,1120000,,,1,1120000,1,1120000,,,,,,,,,,,2,,2,,2,,2,03,70,1598.6435974
5404802,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1598.6435974
5404802,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1598.6435974
5404802,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1598.6435974
5404803,1,1,1,95,2,,,,,,,1,1,600000,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,70,832.01224862
5404803,1,2,1,95,2,,,,,,,1,1,600000,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,70,832.01224862
5404803,1,3,1,95,2,,,,,,,1,1,4800000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,70,832.01224862
5404803,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,832.01224862
5404803,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,832.01224862
5404804,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,2,03,70,1322.005451
5404805,1,1,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,,,,,,,1,INGRESO SOLIDARIO,1200000,,,,2,,2,,2,,2,03,70,1474.8386221
5404805,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1474.8386221
5404805,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1474.8386221
5404806,1,1,1,95,2,,,,,,,1,2,,2,,1,1600000,,,1,1600000,,,,,,,1,INGRESO SOLIDARIO,1600000,,,,2,,2,,2,,2,03,70,2055.2590253
5404806,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,2055.2590253
5404806,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,2055.2590253
5404807,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,70,1322.005451
5404814,1,1,1,95,1,1,100000,2,,2,,1,2,,2,,1,1760000,,,1,1760000,,,,,,,1,INGRESO SOLIDARIO,1760000,,,,2,,2,,2,,2,03,15,665.21370892
5404815,1,1,1,95,2,,,,,,,1,2,,2,,1,1600000,,,1,1600000,,,,,,,1,INGRESO SOLIDARIO,1600000,,,,2,,2,,2,,2,03,15,2727.3762066
5404815,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5404816,1,1,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,15,665.21370892
5404817,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2074.136219
5404817,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2074.136219
5404817,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2074.136219
5404817,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2074.136219
5404817,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2074.136219
5404818,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5404818,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5404818,1,3,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,15,665.21370892
5404818,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5404818,1,5,1,95,2,,,,,,,1,2,,2,,1,900000,,,1,900000,,,1,900000,,,,,,,,,2,,2,,2,,2,03,15,665.21370892
5404819,1,1,1,95,2,,,,,,,1,2,,2,,1,1840000,,,1,1840000,,,,,1,1840000,,,,,,,2,,2,,2,,2,03,15,1302.3581531
5404820,1,1,1,95,2,,,,,,,1,2,,2,,1,1580000,,,1,1580000,,,,,1,1580000,,,,,,,2,,2,,2,,2,03,15,665.21370892
5404823,1,1,1,95,2,,,,,,,1,2,,2,,1,1580000,,,1,1580000,,,,,1,1580000,,,,,,,2,,2,,2,,2,03,68,1029.1009699
5404824,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1029.1009699
5404824,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1029.1009699
5404825,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1029.1009699
5404825,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1029.1009699
5404825,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1029.1009699
5404826,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,1854.0098141
5404827,1,1,1,95,2,,,,,,,1,1,1500000,2,,1,240000,,,1,240000,1,240000,,,,,,,,,,,2,,2,,2,,2,03,68,4219.3139767
5404827,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,68,4219.3139767
5404828,1,1,1,95,2,,,,,,,1,2,,2,,1,240000,,,1,240000,1,240000,,,,,,,,,,,2,,2,,2,,2,03,68,4219.3139767
5404829,1,1,1,95,2,,,,,,,1,2,,2,,1,1840000,,,1,1840000,,,,,1,1840000,,,,,,,2,,2,,2,,2,03,68,4219.3139767
5404829,1,2,1,95,2,,,,,,,1,2,,2,,1,1840000,,,1,1840000,,,,,1,1840000,,,,,,,2,,2,,2,,2,03,68,4219.3139767
5404829,1,3,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,68,4219.3139767
5404839,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404839,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404839,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404840,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,19,536.71028463
5404840,1,2,1,95,2,,,,,,,1,1,6000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,19,536.71028463
5404841,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,5,1,95,2,,,,,,,1,2,,2,,1,480000,,,1,480000,1,480000,,,,,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404841,1,6,1,95,2,,,,,,,1,2,,2,,1,200000,,,1,200000,1,200000,,,,,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404841,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,9,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404841,1,10,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404842,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,740.19538251
5404842,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,740.19538251
5404843,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,979.72882348
5404843,1,2,1,95,2,,,,,,,1,2,,2,,1,225000,,,1,225000,,,,,,,1,DEVOLUCION DEL IVA,225000,,,,2,,2,,2,,2,03,19,979.72882348
5404843,1,3,1,95,2,,,,,,,1,1,4200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,19,979.72882348
5404844,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,740.19538251
5404844,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,740.19538251
5404845,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1292.0450594
5404845,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1292.0450594
5404845,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1292.0450594
5404845,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1292.0450594
5404846,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1346.6169802
5404847,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404847,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404847,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404847,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404847,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404848,1,1,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,1,1200000,,,,,,,,,,,2,,2,,2,,2,03,19,704.7775227
5404848,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,704.7775227
5404849,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1089.8628042
5404849,1,2,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,19,1089.8628042
5404849,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1089.8628042
5404850,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,998.1594785
5404850,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,998.1594785
5404850,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,998.1594785
5404850,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,998.1594785
5404851,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,985.10121141
5404851,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,985.10121141
5404852,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404852,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404852,1,3,1,95,2,,,,,,,1,2,,2,,1,1640000,,,1,1640000,,,,,1,1640000,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404853,1,1,1,95,2,,,,,,,1,2,,2,,1,1640000,,,1,1640000,,,,,1,1640000,,,,,,,2,,2,,2,,2,03,19,740.19538251
5404853,1,2,1,95,2,,,,,,,1,1,2400000,2,,1,1640000,,,1,1640000,,,,,1,1640000,,,,,,,2,,2,,2,,2,03,19,740.19538251
5404855,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404855,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404855,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404855,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404855,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404855,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,793.43570105
5404856,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,803.42557606
5404856,1,2,1,95,2,,,,,,,1,2,,2,,1,720000,,,1,720000,1,720000,,,,,,,,,,,2,,2,,2,,2,03,19,803.42557606
5404856,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,803.42557606
5404856,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,803.42557606
5404856,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,803.42557606
5404856,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,803.42557606
5404857,1,1,1,95,2,,,,,,,1,2,,2,,1,800000,,,1,800000,,,,,1,800000,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404857,1,2,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,2,03,19,498.47477925
5404857,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404857,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,498.47477925
5404859,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,797.6907684
5404859,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,797.6907684
5404859,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,797.6907684
5404859,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,797.6907684
5404859,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,797.6907684
5404860,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,819.5289905
5404860,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,819.5289905
5404860,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,819.5289905
5404862,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1654.4738397
5404862,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1654.4738397
5404862,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1654.4738397
5404862,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1654.4738397
5404862,1,5,1,95,2,,,,,,,1,2,,2,,1,1640000,,,1,1640000,,,,,1,1640000,,,,,,,2,,2,,2,,2,03,19,1654.4738397
5404862,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1654.4738397
5404863,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,574.00946611
5404864,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,735.63730962
5404864,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,735.63730962
5404864,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,735.63730962
5404864,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,735.63730962
5404865,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1246.6373246
5404865,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1246.6373246
5404865,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1246.6373246
5404865,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1246.6373246
5404866,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404866,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404866,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404866,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404866,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404866,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1134.6623427
5404867,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404867,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404867,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404867,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404867,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404867,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,584.52621094
5404869,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,19,1046.525535
