DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5411386,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,1957.8824387
5411387,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,1339.2726251
5411387,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,1339.2726251
5411388,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,884.14145944
5411388,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,884.14145944
5411420,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,284.81660819
5411420,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,284.81660819
5411421,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,552.8428468
5411421,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,552.8428468
5411422,1,1,1,95,1,1,600000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,620.48599769
5411423,1,1,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,509.33352867
5411423,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,509.33352867
5411424,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,425.44708307
5411425,1,1,1,95,2,,,,,,,1,1,3600000,2,,1,900000,,,1,900000,,,,,1,900000,,,,,,,2,,2,,2,,2,03,66,425.44708307
5411426,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,383.91963369
5411426,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,383.91963369
5411427,1,1,1,95,2,,,,,,,1,1,2400000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,407.14648334
