DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,022,030;1;2;1;60;;1;27;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;700,000;1;;3;;1;2;12;50;;.;50;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;3;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;2;3;;1;;41;47;1;11;4;4721;700000;27;339.80658278;
6,022,030;1;3;1;60;;1;27;1;2;2;3;1;;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;1,700,000;1;;3;;1;1;4;42;;.;42;;;;8;6;;1;;1;2;2;4;1;;;;;;;;;1;2;1;9;12;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;1;2;2;2;;2;1;1;2;1;2;1;1;3;8;3;;1;1;21;84;1;11;4;8413;1700000;27;339.80658278;
6,022,044;1;1;1;60;;1;44;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;2,000,000;1;;3;;3;1;12;70;;.;70;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;14;;3;;1;;97;53;1;11;4;5320;2000000;44;4402.9143719;
6,022,044;1;2;1;60;;1;44;1;2;1;;1;;1;1;1;1;120;;1;;2;1,950,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;950,000;1;950,000;1;950,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;30;2;;24;2;;;9;7;;1;;1;3;1;11;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;8;45;3;;1;;13;85;1;11;2;8530;1950000;44;4402.9143719;
6,022,045;1;1;1;60;;1;44;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;60,000;1;;3;;1;2;12;48;;.;35;6;;2;1;1;;5;;2;;;;;;;;;;;;1;2;2;1;9;120;4;;13;2;;;;;;;;2;;;;1;2;1;2;1;2;1;2;2;2;;2;1;1;2;1;2;2;1;14;;5;;1;1;41;47;1;11;4;4722;60000;44;2912.0347432;
6,022,046;1;1;1;60;;1;44;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;400,000;1;;3;;11;1;7;50;;.;50;;;;3;1;;5;;2;;;;;;;;;;;;1;2;2;1;0;3;4;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;1;2;2;2;;2;1;1;2;1;2;2;1;14;;5;;1;1;38;53;1;11;4;5320;400000;44;4393.410482;
6,022,046;1;2;1;60;;1;44;2;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;6;;;;;2;600,000;1;;3;;11;2;12;60;;.;60;;;;4;4;;11;;2;;;;;;;;;;;;1;2;2;1;1;24;1;;13;2;;;;;;;;2;;;;1;1;1;1;1;2;2;2;2;2;;2;1;1;2;2;2;2;2;14;;5;;1;1;37;53;1;11;4;5320;600000;44;4393.410482;
6,022,047;1;1;1;60;;1;44;1;2;2;10;2;1;1;2;2;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;1,500,000;1;;3;;1;1;9;20;2;;20;;;;9;7;;1;;1;1;2;1;1;;;;;;;;;1;2;1;2;10;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;11;15;3;;1;;13;88;1;11;4;8891;1500000;44;4299.8859673;7810
6,022,047;1;2;1;60;;1;44;1;2;1;;1;;1;1;1;1;120;;1;;2;935,000;2;;;2;;2;;2;;2;;2;;;1;106,500;1;2;;;2;;;2;;;2;;;1;454,000;1;454,000;1;454,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;36;2;;36;;;;8;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;1;24;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;6;5;;1;;37;86;1;11;1;8621;935000;44;4299.8859673;
6,022,048;1;1;1;60;;1;44;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;200,000;1;;3;;3;2;12;30;2;;30;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;2;1;3;9;3;;1;1;84;95;1;11;4;9522;200000;44;4944.2179115;
