PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20260310;03;2026;8539158;1;3;1;10;70;1;239.97881352;70;1;3;1;26;2;2000;3;1;1;1;2;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539158;1;4;1;10;70;1;239.97881352;70;1;4;1;17;11;2008;3;1;1;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;;;
20260310;03;2026;8539159;1;1;1;10;70;1;170.55939542;70;1;1;2;65;12;1960;1;3;;3;;2;1;2;6;;;3;1;2;1;1;2;70036;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539159;1;2;1;10;70;1;170.55939542;70;1;2;1;47;1;1979;2;2;;3;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;732;5;732;2;1;1
20260310;03;2026;8539160;1;1;1;10;70;1;213.61573472;70;1;1;1;31;4;1994;1;2;;2;;1;;1;1;800_02;;2;1;2;1;1;1;70036;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539160;1;2;1;10;70;1;213.61573472;70;1;2;2;33;8;1992;2;2;;3;;2;2;2;1;800_02;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;8;4;613;5;613;1;2;1
20260310;03;2026;8539160;1;3;1;10;70;1;213.61573472;70;1;2;1;4;11;2021;3;1;2;1;1;2;2;2;1;800_02;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20260310;03;2026;8539160;1;4;1;10;70;1;213.61573472;70;1;2;2;2;8;2023;3;1;2;1;1;2;2;2;1;800_02;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20260310;03;2026;8539160;1;5;1;10;70;1;213.61573472;70;1;2;2;2;8;2023;3;1;2;1;1;2;2;2;1;800_02;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20260310;03;2026;8539161;1;1;1;10;70;1;208.85606175;70;1;1;1;52;12;1973;1;2;;3;;2;1;2;6;;;3;1;2;1;2;1;260000;4;4;4;4;4;4;4;4;1;2;;12;4;111;9;111;2;1;1
20260310;03;2026;8539161;1;2;1;10;70;1;208.85606175;70;1;2;2;40;9;1985;2;2;;2;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539161;1;3;1;10;70;1;208.85606175;70;1;3;1;19;12;2006;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539161;1;4;1;10;70;1;208.85606175;70;1;4;2;13;7;2012;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20260310;03;2026;8539162;1;1;1;10;70;1;157.95327235;70;1;1;2;46;10;1979;1;1;6;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;2;1
20260310;03;2026;8539162;1;2;1;10;70;1;157.95327235;70;1;2;1;25;11;2000;3;1;1;1;7;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539162;1;3;1;10;70;1;157.95327235;70;1;3;2;18;6;2007;3;1;1;1;7;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;2;1
20260310;03;2026;8539162;1;4;1;10;70;1;157.95327235;70;1;4;2;20;12;2005;3;1;1;1;7;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539162;1;5;1;10;70;1;157.95327235;70;1;4;1;0;7;2025;8;1;4;2;;2;2;2;6;;;;;;1;3;;;4;4;4;4;3;4;4;4;;;;;;;;;;;
20260310;03;2026;8539162;1;6;1;10;70;1;157.95327235;70;1;6;2;77;11;1948;4;3;;3;;1;;1;6;;;5;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20260310;03;2026;8539162;1;7;1;10;70;1;157.95327235;70;1;7;1;55;5;1970;13;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20260310;03;2026;8539163;1;1;1;10;70;1;120.33120527;70;1;1;2;38;1;1988;1;2;;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;1;2;1
20260310;03;2026;8539164;1;1;1;10;70;1;150.23911817;70;1;1;2;46;5;1979;1;2;;2;;2;2;2;6;;;4;;;1;1;1;70000;2;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539164;1;2;1;10;70;1;150.23911817;70;1;2;1;22;3;2003;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539164;1;3;1;10;70;1;150.23911817;70;1;3;1;19;1;2007;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539165;1;1;1;10;70;1;169.65714176;70;1;1;2;39;7;1986;1;2;;2;;1;;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;10;10;315;7;315;1;2;1
20260310;03;2026;8539165;1;2;1;10;70;1;169.65714176;70;1;2;1;38;2;1988;2;2;;2;;2;2;2;6;;;3;1;1;1;1;1;70036;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539165;1;3;1;10;70;1;169.65714176;70;1;3;1;13;10;2012;3;1;1;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20260310;03;2026;8539165;1;4;1;10;70;1;169.65714176;70;1;4;1;11;3;2015;3;1;1;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20260310;03;2026;8539166;1;1;1;10;70;1;213.95948308;70;1;1;1;36;8;1989;1;2;;2;;2;2;2;6;;;2;1;2;1;1;3;218864;4;4;4;4;4;4;4;4;1;2;;10;10;732;7;732;2;1;1
20260310;03;2026;8539166;1;2;1;10;70;1;213.95948308;70;1;2;2;33;3;1993;2;2;;2;;2;2;2;6;;;2;1;1;1;2;1;160000;4;4;4;4;4;4;4;4;1;2;;12;4;119;9;119;1;2;1
20260310;03;2026;8539166;1;3;1;10;70;1;213.95948308;70;1;1;1;3;10;2022;3;1;2;1;1;2;2;2;6;;;;;;1;2;5;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20260310;03;2026;8539167;1;1;1;10;70;1;172.67803117;70;1;1;1;29;6;1996;1;2;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539167;1;2;1;10;70;1;172.67803117;70;1;2;2;25;6;2000;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539168;1;1;1;10;70;1;163.96908142;70;1;1;2;73;1;1953;1;3;;3;;2;2;2;6;;;5;;;1;1;5;;4;4;4;3;4;4;4;4;1;2;;3;5;;;;1;2;1
20260310;03;2026;8539168;1;2;1;10;70;1;163.96908142;70;1;2;1;46;6;1979;3;1;1;3;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539168;1;3;1;10;70;1;163.96908142;70;1;3;2;17;8;2008;8;2;;1;2;2;2;2;6;;;6;;;1;3;;;4;4;3;4;4;4;4;4;1;1;1;10;0;239;2;;;;
20260310;03;2026;8539168;1;4;1;10;70;1;163.96908142;70;1;4;2;34;6;1991;9;3;;2;;2;2;2;6;;;4;;;1;1;1;70036;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539168;1;5;1;10;70;1;163.96908142;70;1;4;1;5;9;2020;9;1;4;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20260310;03;2026;8539169;1;1;1;10;70;1;148.85171767;70;1;1;2;55;8;1970;1;2;;2;;2;2;2;6;;;4;;;1;1;1;70036;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;2;1
20260310;03;2026;8539169;1;2;1;10;70;1;148.85171767;70;1;2;1;19;5;2006;3;1;1;2;;2;2;2;6;;;1;1;3;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;0;913;2;;2;1;1
20260310;03;2026;8539169;1;3;1;10;70;1;148.85171767;70;1;3;2;21;1;2005;7;2;;2;;2;2;2;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;0;913;2;;1;2;1
20260310;03;2026;8539170;1;1;1;10;70;1;104.42375046;70;1;1;2;53;10;1972;1;1;2;3;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;11;2;411;8;411;1;2;1
20260310;03;2026;8539170;1;2;1;10;70;1;104.42375046;70;1;2;2;85;10;1940;4;3;;3;;2;2;2;6;;;5;;;1;3;;;4;4;4;3;4;4;3;4;1;2;;3;3;;;;1;2;1
20260310;03;2026;8539170;1;3;1;10;70;1;104.42375046;70;1;1;2;60;10;1965;6;1;2;3;;2;2;2;6;;;6;;;1;3;;;4;3;4;4;4;2;4;2;2;2;;1;0;;;;1;2;1
20260310;03;2026;8539170;1;4;1;10;70;1;104.42375046;70;1;4;2;18;10;2007;9;2;;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;0;232;2;;1;2;1
20260310;03;2026;8539170;1;5;1;10;70;1;104.42375046;70;1;5;2;16;1;2010;9;2;;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;5;1;;1;;;;
20260310;03;2026;8539170;1;6;1;10;70;1;104.42375046;70;1;6;1;10;3;2015;9;2;;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20260310;03;2026;8539171;1;1;1;10;70;1;148.5259507;70;1;1;2;34;6;1991;1;2;;2;;2;2;2;6;;;3;2;;1;2;1;142851;4;4;4;4;4;4;4;4;1;2;;10;10;111;7;111;1;2;1
20260310;03;2026;8539171;1;2;1;10;70;1;148.5259507;70;1;2;1;10;12;2015;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;4;0;;;;;;
20260310;03;2026;8539172;1;1;1;10;70;1;95.937063814;70;1;1;2;75;10;1950;1;3;;3;;2;2;2;6;;;4;;;1;2;2;200000;4;4;4;4;4;4;4;4;1;2;;10;10;113;7;113;1;2;1
20260310;03;2026;8539172;1;2;1;10;70;1;95.937063814;70;1;2;2;31;7;1994;3;1;1;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;413;5;413;1;2;1
