PERIODO,DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S2,P750S3,P750S1A1,P750S2A1,P1661S1,P1661S2,P1661S3,P1661S4,P1661S1A1,P1661S2A1,P1661S3A1,P1661S4A1,P1661S4A2,P750S3A1,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,AREA,MES,DPTO,P3367,P3368,P3369,P3370,P3370S1,P3371,P3371S1,P3371S2,P3371S3,P3371S4,P3372,P3372S1,FEX_C18,PER,REGIS
20220104,5000025,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1454.981569,2022,90
20220104,5000026,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1366.3121911,2022,90
20220104,5000027,1,1,1,2,,,,,,,1,1,300000,2,,1,456000,,1,,,456000,,,,1,,,,DEVOLUCION DE IVA,456000,,2,,2,,2,,2,,1,13,2,,,2,,2,,,,,2,,1718.3366064,2022,90
20220104,5000027,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1718.3366064,2022,90
20220104,5000029,1,1,1,2,,,,,,,1,2,,2,,1,1440000,,1,,,1440000,,,1,,,,1440000,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2149.7183258,2022,90
20220104,5000029,1,2,1,2,,,,,,,1,2,,2,,1,1440000,,1,,,1440000,,,1,,,,1440000,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2149.7183258,2022,90
20220104,5000030,1,1,1,2,,,,,,,1,2,,2,,1,570000,,1,,,570000,1,,,,570000,,,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2753.0679557,2022,90
20220104,5000030,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2753.0679557,2022,90
20220104,5000030,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2753.0679557,2022,90
20220104,5000031,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2767.6500084,2022,90
20220104,5000031,1,2,1,2,,,,,,,1,2,,2,,1,456000,,1,,,456000,,,,1,,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2767.6500084,2022,90
20220104,5000031,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2767.6500084,2022,90
20220104,5000031,1,4,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2767.6500084,2022,90
20220104,5000032,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2532.8700316,2022,90
20220104,5000032,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2532.8700316,2022,90
20220104,5000033,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000033,1,2,1,2,,,,,,,1,2,,2,,1,456000,,1,,,456000,,,,1,,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000033,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000033,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000033,1,5,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000033,1,7,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2398.313804,2022,90
20220104,5000034,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2149.7183258,2022,90
20220104,5000034,1,2,1,2,,,,,,,1,1,150000,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2149.7183258,2022,90
20220104,5000035,1,1,1,2,,,,,,,1,1,2000000,2,,2,,,,,,,,,,,,,,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2594.2768636,2022,90
20220104,5000035,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2594.2768636,2022,90
20220104,5000035,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2594.2768636,2022,90
20220104,5000036,1,1,1,2,,,,,,,1,2,,2,,1,1760000,,1,,,1760000,,,,1,,,,INGRESO SOLIDARIO,1760000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1879.0745094,2022,90
20220104,5000036,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1879.0745094,2022,90
20220104,5000036,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1879.0745094,2022,90
20220104,5000036,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1879.0745094,2022,90
20220104,5000037,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,3404.4565052,2022,90
20220104,5000037,1,2,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,3404.4565052,2022,90
20220104,5000038,1,1,1,2,,,,,,,1,2,,2,,1,80000,,1,,,80000,,,1,,,,80000,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2363.2465009,2022,90
20220104,5000038,1,2,1,2,,,,,,,1,2,,2,,1,1440000,,1,,,1440000,1,,,,1440000,,,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2363.2465009,2022,90
20220104,5000039,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2502.039617,2022,90
20220104,5000039,1,2,1,2,,,,,,,1,2,,2,,1,936000,,1,,,936000,1,,,1,480000,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2502.039617,2022,90
20220104,5000039,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2502.039617,2022,90
20220104,5000040,1,1,1,2,,,,,,,1,2,,2,,1,456000,,1,,,456000,,,,1,,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1861.1295139,2022,90
20220104,5000040,1,2,1,2,,,,,,,1,2,,2,,1,648000,,1,,,648000,1,,,,648000,,,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1861.1295139,2022,90
20220104,5000040,1,3,1,2,,,,,,,1,2,,2,,1,2250000,,1,,,2250000,1,,,1,1794000,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1861.1295139,2022,90
20220104,5000041,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2635.4219315,2022,90
20220104,5000041,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2635.4219315,2022,90
20220104,5000042,1,1,1,2,,,,,,,1,2,,2,,1,1440000,,1,,,1440000,,,1,,,,1440000,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1414.9825801,2022,90
20220104,5000042,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1414.9825801,2022,90
