DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P3044,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6424S5,P6426,P6430S1,P3045S1,P3045S2,P3045S3,P3046,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P3047,P3048,P3049,P6765,P6765S1,P3053,P3054,P3055,P3056,P6760,P3061,P3063,P3064,P3065,P3066,P3067,P3067S1,P3067S2,P6775,P3068,P6750,P3073,P550,P6780,P6780S1,P1879,P1805,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P3069,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P1880,P1880S1,P7040,P7045,P7050,P7070,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P1881,P1882,P7240,CLASE,OCI,AREA,P6430,RAMA4D_R4,OFICIO_C8,RAMA2D_R4,MES,PERIODO,DPTO,FT,FEX_C18,INGLABO,P3363,P3364,P3364S1,P6640S1,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P3051,P3051S1,P3052,P3052S1,P3365,P3365S1,P3054S1,P3055S1,P3057,P3058S1,P3058S2,P3058S3,P3058S4,P3058S5,P3059,P3062S1,P3062S2,P3062S3,P3062S4,P3062S5,P3062S6,P3062S7,P3062S8,P3062S9,P3063S1,P3064S1,P3366,PER,REGIS
5032255,1,2,1,PREPARACION Y VENTA DE HELADOS DE LECHE,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,,1,2,2,,,,,,2,2,,,,,,400000,1,,1,,3,2,8,24,2,,24,,,2,7,,2,,2,,,,2,2,1,0,18,1,,1,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,3,5,3,1,1,,4,5619,5246,56,1,20220104,52,1,727.19473014,400000,,,,,1,1,0,1,0,2,,,700000,700000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032256,1,4,1,ELABORACION Y VENTA DE ESTRUCTURAS METALICAS,2,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,1000000,1,,3,,3,2,12,50,,,40,6,,2,1,,2,,2,,,,2,2,1,0,11,1,,3,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,1,1,14,,8,1,1,,4,9529,7222,95,1,20220104,52,1,1480.5371816,1000000,,,,,1,1,0,0,1,2,,,1400000,1400000,2,,,,,,,,,,,,,,,,,,,,,,2,2022,60
5032256,1,5,1,ELABORCION Y VENTA DE ESTRUCTURAS METALICAS,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,2,,36,,,2,1,,2,,2,,,,2,2,2,,,,,,,2,,,,,,1,20,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,14,,3,1,1,,6,2599,7131,25,1,20220104,52,1,1480.5371816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032257,1,1,1,SERVICIO DE MONTALLANTAS,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,3,2,12,56,,,56,,,1,1,,2,,2,,,,2,2,1,0,120,4,,3,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,1,1,14,,8,1,1,,4,4520,7231,45,1,20220104,52,1,463.8098287,500000,,,,,2,,,,,3,,,1500000,1500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032258,1,1,1,SERVICIO DE RESTAURANTE,1,1,,,1,,2,2,2,2,2,2,,9,9,9,2,2,500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,70,,,70,,,2,7,,4,,2,,,,2,2,1,2,24,1,,8,,2,,,,,,1,20,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,15,8,1,1,,1,5611,5120,56,1,20220104,52,1,1072.1434175,500000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032258,1,2,1,SERVICIO DE RESTAURANTE,1,1,,,1,,2,2,2,2,2,2,,9,9,9,2,2,500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,70,,,70,,,2,7,,4,,2,,,,2,2,1,2,24,1,,8,,2,,,,,,2,,,,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,3,20,8,1,1,,1,5611,5120,56,1,20220104,52,1,1072.1434175,500000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032258,1,3,1,SERVICIO DE RESTAURANTE,1,1,,,1,,1,2,2,2,2,18,,1,1,9,9,2,270000,2,,,1,180000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,1,,30,,,3,7,,4,,2,,,,2,2,1,0,4,1,,8,,2,,,,,,1,20,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,3,5,8,1,1,,1,5611,9412,56,1,20220104,52,1,1072.1434175,450000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032259,1,1,1,VENTA DE ROPA AL POR MENOR,1,1,,,1,,2,2,2,2,2,0,,2,2,2,2,2,300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,60,,,60,,,2,7,,2,,2,,,,2,2,1,0,24,1,,3,,2,,,,,,2,,,,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,10,8,1,1,,1,4771,5223,47,1,20220104,52,1,880.11098112,300000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032260,1,2,1,SERVICIO DE PARQUEADERO,1,1,,,1,,1,2,2,2,2,60,,1,1,2,2,2,200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,75,,,75,,,2,7,,2,,2,,,,2,2,1,0,120,4,,8,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,2,2,3,5,8,1,1,,1,5221,5230,52,1,20220104,52,1,370.13429539,200000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032263,1,1,1,SIEMBRA Y CULTIVO DE CAFE,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,2,,24,,,2,8,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,2,2,1,1,11,20,3,1,1,,6,0123,9211,01,1,20220104,52,1,880.11098112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
