DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P3044,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6424S5,P6426,P6430S1,P3045S1,P3045S2,P3045S3,P3046,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P3047,P3048,P3049,P6765,P6765S1,P3053,P3054,P3055,P3056,P6760,P3061,P3063,P3064,P3065,P3066,P3067,P3067S1,P3067S2,P6775,P3068,P6750,P3073,P550,P6780,P6780S1,P1879,P1805,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P3069,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P1880,P1880S1,P7040,P7045,P7050,P7070,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P1881,P1882,P7240,CLASE,OCI,AREA,P6430,RAMA4D_R4,OFICIO_C8,RAMA2D_R4,MES,PERIODO,DPTO,FT,FEX_C18,INGLABO,P3363,P3364,P3364S1,P6640S1,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P3051,P3051S1,P3052,P3052S1,P3365,P3365S1,P3054S1,P3055S1,P3057,P3058S1,P3058S2,P3058S3,P3058S4,P3058S5,P3059,P3062S1,P3062S2,P3062S3,P3062S4,P3062S5,P3062S6,P3062S7,P3062S8,P3062S9,P3063S1,P3064S1,P3366,PER,REGIS
5001721,1,2,1,OFRECE SERVICIOS PARA LA SALUD,1,2,1,,1,,1,1,1,1,1,72,,1,1,1,1,1,1800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,1800000,1,1800000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,2,1,6,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,45,9,1,1,11,1,8610,1120,86,1,20220101,11,1,4030.7448479,1800000,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001722,1,1,1,COMERCIALIZA PRODUCTOS VARIOS,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,,,,,1,1,,,,,,2,,,2,,500000,1,,3,,1,1,12,70,,,70,,,1,3,,4,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,3,10,9,1,1,11,4,4719,5221,47,1,20220101,11,1,2258.5710221,500000,,,,,2,,,,,3,,,,,,,,,500000,200000,100000,0,0,0,,,,,,,,,,,,,,2022,60
5001723,1,1,1,VENTA DE LICORES Y SERVICIO DE ENTRETENIMIENTO,1,2,1,,1,,1,2,2,2,2,24,,1,1,1,1,2,1250000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,200000,2,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,65,,,65,,,3,7,,4,,2,,,,2,2,1,10,12,1,,8,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,3,10,9,1,1,11,1,5630,1412,56,1,20220101,11,1,2552.0350597,1250000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001724,1,1,1,SERVICIOS DE CONSTRUCCION Y MANTENIMIENTO DE VIVIENDA,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,2,,1,2,2,,,,,,2,2,,,,,,1500000,1,,2,,4,2,12,50,,,60,,,1,2,,4,,2,,,,2,2,1,0,12,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,1,90,2,1,1,11,4,4111,7112,41,1,20220101,11,1,2542.5089567,1500000,,,,,2,,,,,3,,,1500000,1500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001725,1,1,1,SERVICIOS DE BELLEZA,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,2,2,,,,,,2,2,,,,,,1000000,1,,3,,1,1,12,40,,,40,,,1,2,,11,,2,,,,2,2,1,4,18,1,,2,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,30,3,1,1,11,4,9602,5141,96,1,20220101,11,1,4793.9323184,1000000,,,,,2,,,,,3,1000000,1000000,,,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001726,1,1,1,REGLAMENTA PROCESOS DE CALIDAD EMPRESARIALES,1,2,2,12,1,,1,1,1,1,1,24,,1,1,1,1,1,1800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,60,,,10,1,,1,,1,2,1,2,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,14,,2,1,1,11,1,7020,2411,70,1,20220101,11,1,4439.301353,1800000,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001726,1,2,1,FABRICACION DE ELEMENTOS DE ACERO,1,2,1,,1,,1,1,1,1,1,84,,1,1,1,1,1,2800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,3000000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,7,7,,1,,1,2,1,7,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,1,1,1,5,60,9,1,1,11,1,2410,1120,24,1,20220101,11,1,4439.301353,2800000,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001728,1,1,1,OBRAS DE INGENIERIA CIVIL INSTALACIONES ELECTRICAS,1,2,2,3,1,,2,1,1,1,1,12,,1,1,1,1,2,1800000,2,,,2,,2,,2,,2,,2,,,9,,,1,78000,2,2,,,2,,,2,,,1,900000,1,900000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,60,,,60,,,10,7,,1,,1,1,1,18,1,1,1,3,12,1,,7,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,60,2,1,1,11,1,3513,3113,35,1,20220102,11,1,4081.1291585,1800000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001728,1,2,1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS Y ALCOHOLICAS,1,2,1,,1,,2,1,1,1,1,48,,1,1,1,1,1,908000,1,80000,2,2,,2,,2,,2,,2,,,1,106700,2,2,,,2,,,2,,,2,,,1,450000,1,450000,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,50,,,10,7,,1,,1,1,1,4,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,2,2,1,1,5,60,2,1,1,11,1,4711,5230,47,1,20220102,11,1,4081.1291585,908000,5,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001729,1,1,1,ALMUERZO DESAYUNOS,1,2,2,12,2,1,1,1,1,1,1,36,,1,1,1,1,2,99,1,98,1,1,240000,2,,2,,2,,2,,,1,98,1,1,78000,2,2,,,2,,,2,,,1,98,1,98,1,98,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,5,7,,1,,1,1,1,15,1,1,1,2,48,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,2,1,13,50,2,1,1,11,1,5611,1412,56,1,20220102,11,1,4617.4528265,240000,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001729,1,2,1,APARATOS Y EQUIPOS DE USO DOMESTICO,1,2,1,,2,1,2,1,1,1,1,48,,1,1,1,1,2,99,2,,,2,,2,,2,,1,220000,2,,,2,,,1,78000,2,2,,,2,,,2,,,1,98,1,98,1,98,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,45,,,45,,,9,1,,1,,1,1,1,96,1,1,1,18,3,4,,12,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,90,2,1,1,11,1,4644,1212,46,1,20220102,11,1,4617.4528265,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001730,1,1,1,GELATINAS,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,150000,1,,3,,3,1,12,21,2,,21,,,2,6,,2,,2,,,,2,2,1,6,4,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,3,10,8,1,1,11,4,1089,5221,10,1,20220102,11,1,4699.148853,150000,,,,,2,,,,,3,,,300000,300000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001730,1,2,1,GELATINAS,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,150000,1,,3,,3,2,12,21,2,,21,,,2,6,,2,,2,,,,2,2,1,4,3,4,,3,,1,6,4,200000,1,1,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,3,10,8,1,1,11,4,1089,5221,10,1,20220102,11,1,4699.148853,350000,,,,,2,,,,,3,,,300000,300000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001731,1,1,1,PRODUCTOS TEXTILES,1,2,1,,1,,1,1,1,1,1,9,,1,1,1,1,2,908000,2,,,2,,2,,2,,2,,2,,,1,106700,2,1,39000,2,2,,,2,,,2,,,2,,1,450000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,48,,,48,,,10,7,,1,,1,1,1,15,1,1,1,13,6,4,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,90,8,1,1,11,1,1312,8152,13,1,20220102,11,1,3602.6104597,908000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001733,1,4,1,CAFE,1,2,1,,1,,1,1,1,1,1,60,,1,1,1,1,2,1800000,2,,,2,,2,,2,,2,,2,,,1,98,2,2,,,2,,,2,,,2,,,1,900000,1,900000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,6,7,,1,,1,1,1,5,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,40,2,1,1,11,1,1061,1221,10,1,20220102,11,1,3253.4476165,1800000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001735,1,1,1,SERVICIOS DE ASESORIA FISICA,1,2,1,,1,,1,1,2,1,1,96,,1,1,1,1,2,2000000,2,,,2,,2,,2,,2,,2,,,1,90000,2,1,36000,2,2,,,2,,,2,,,1,2000000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,8,7,,1,,1,2,1,9,1,1,1,2,60,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,40,2,1,1,11,1,9311,1221,93,1,20220102,11,1,2783.9602024,2000000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001738,1,1,1,COMPRA Y VENTA DE BIENES INMUEBLES,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,,1,2,2,,,,,,2,1,,,,,,4000000,1,,3,,1,1,12,40,,,40,,,1,1,,1,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,2,1,14,,2,1,1,11,4,6820,3334,68,1,20220102,11,1,3096.136566,4000000,,,,,2,,,,,3,,,4000000,4000000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001738,1,2,1,SERVICIOS DE ASESORIA EN DERECHO,1,2,2,12,1,,1,1,1,1,1,36,,1,1,1,1,2,1500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,600000,1,700000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,4,7,,1,,1,1,1,3,1,1,2,,,,,,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,5,60,3,1,1,11,1,6910,4120,69,1,20220102,11,1,3096.136566,1500000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001741,1,1,1,SERVICIO DE TELECOMUNICACIONES,1,2,1,,1,,1,1,2,1,1,182,,1,1,1,1,1,1300000,2,,,2,,2,,2,,2,,2,,,1,400000,2,2,,,2,,,2,,,2,,,1,1300000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,2,,1,,1,1,1,20,1,1,1,8,28,1,,3,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,35,9,1,1,11,1,6110,2153,61,1,20220102,11,1,3363.0314921,1300000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001741,1,2,1,SERVICIOS MEDICOS DE OPTOMETRIA,1,2,1,,1,,1,1,2,1,1,48,,1,1,1,1,2,1200000,2,,,2,,2,,2,,2,,2,,,1,120000,2,2,,,2,,,2,,,2,,,1,1200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,8,7,,1,,1,1,1,10,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,2,1,1,5,45,3,1,1,11,1,8621,4226,86,1,20220102,11,1,3363.0314921,1200000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001742,1,1,1,CORTAR CABELLO,1,1,,,1,,2,2,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,,1,2,2,,,,,,2,2,,,,,,200000,1,,1,,11,1,6,13,1,,8,7,POR QUE HAY MUY POCA CLIENTELA CON LA PANDEMIA,1,1,,2,,2,,,,2,2,1,4,12,4,,13,POR LA PANDEMIA TENIA SU SALON DE BELLEZA PERO CON LA PANDEMIA SE LE VINO ABAJO Y NO PUDO SEGUIR CON EL AHORA TRABAJA MUY POCO DESDE SU CASA,2,,,,,,1,40,2,1,2,,,,,,,,,,,,1,2,2,2,2,1,14,,3,1,1,11,4,9602,5141,96,1,20220102,11,1,2746.1702025,200000,,,,,2,,,,,3,,,200000,200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001742,1,2,1,SOFTWARE,1,2,1,,1,,1,1,2,1,1,15,,1,1,1,1,1,3750000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,3750000,2,,1,1875000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,40,,,10,1,,1,,1,1,1,2,1,2,1,5,10,1,,13,POR LA PANDEMIA,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,14,,2,1,1,11,1,6202,2512,62,1,20220102,11,1,2746.1702025,3750000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001743,1,1,1,MAQUINAS PARA HACER EMBUTIDOS,1,2,1,,1,,1,1,1,1,1,18,,1,1,1,1,2,1000000,2,,,2,,2,,2,,2,,2,,,1,106000,2,1,70000,2,2,,,2,,,2,,,1,1000000,2,,1,500000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,9,7,,1,,1,2,1,10,1,1,1,5,120,1,,3,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,1,2,1,2,60,5,1,1,11,1,2825,7212,28,1,20220102,11,1,3356.2092864,1000000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001744,1,1,1,CORTES TINTURAS,1,1,,,1,,1,2,2,2,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,2,2,,,,,,1,2,,,,,,2000000,1,,3,,4,2,12,60,,,60,,,1,7,,3,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,3,10,3,1,1,11,4,9602,5141,96,1,20220102,11,1,2379.4531645,2000000,,,,,2,,,,,3,,,2000000,2000000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001744,1,2,1,INTERNET,1,1,,,1,,1,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,2,2,,,,,,1,2,,,,,,1500000,1,,3,,2,2,12,70,,,70,,,1,7,,3,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,2,1,1,3,20,3,1,1,11,4,6190,5221,61,1,20220102,11,1,2379.4531645,1500000,,,,,2,,,,,3,1500000,1500000,,,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001745,1,1,1,TRANSPORTE PASAJEROS,1,2,1,,1,,1,1,2,1,1,84,,1,1,1,1,2,1600000,1,98,2,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,1600000,2,,1,800000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,60,,,60,,,10,4,,1,,1,2,1,12,1,1,1,0,200,4,,9,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,2,1,1,2,20,2,1,1,11,1,4921,8331,49,1,20220102,11,1,2903.4264504,1600000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001746,1,1,1,MARKETING Y PUBLICIDAD,1,2,1,,1,,1,1,1,1,1,26,,1,1,1,1,2,980000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,500000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,7,7,,1,,1,1,1,3,1,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,60,2,1,1,11,1,7310,2431,73,1,20220102,11,1,2790.5156639,980000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001746,1,2,1,SERVICIOS DE CONSTRUCCION,1,2,1,,1,,1,1,1,1,1,48,,1,1,1,1,2,1400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,7,7,,1,,1,1,3,4,1,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,2,1,1,5,60,8,1,1,11,1,4112,2142,41,1,20220102,11,1,2790.5156639,1400000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001747,1,1,1,PRODUCTOS DE FERRETERIA,1,1,,,1,,2,2,2,2,2,36,,2,2,2,2,2,900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,50,,,50,,,2,7,,7,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,3,2,5,1,1,11,1,4752,5221,47,1,20220102,11,1,2874.3858907,900000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001748,1,1,1,SERVICIOS DE PARQUEO,1,1,,,1,,1,2,2,2,2,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,600000,1,,3,,3,2,12,48,,,48,,,1,1,,1,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,2,2,1,1,14,,2,1,1,11,4,5221,9629,52,1,20220102,11,1,3054.8397749,600000,,,,,2,,,,,3,,,600000,600000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001750,1,2,1,SERVICIOS DE CONSTRUCCION,1,2,1,,1,,1,1,1,1,1,13,,1,1,1,1,2,1200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,600000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,6,7,,1,,1,1,3,2,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,2,5,60,2,1,1,11,1,4112,3257,41,1,20220102,11,1,2646.2705692,1200000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001751,1,1,1,MEZCLAS ASFALTICAS,1,2,1,,1,,1,1,1,1,1,8,,1,1,1,1,2,990000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,500000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,48,,,48,,,8,4,,1,,1,2,2,22,1,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,2,60,2,1,1,11,1,4663,8332,46,1,20220102,11,1,2154.7778588,990000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001751,1,3,1,ASESORIA TELEFONICA EN DESARROLLO TECNOLOGICO,1,2,1,,1,,1,1,1,1,2,14,,1,1,1,1,2,1900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,900000,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,9,7,,1,,1,1,3,2,1,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,80,2,1,1,11,1,8220,3341,82,1,20220102,11,1,2154.7778588,1900000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001752,1,1,1,PUBLICIDAD,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,1,2,2,,,,,,1,1,,,,,,300000,1,,1,,1,2,6,12,1,,40,,,5,6,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,2,2,2,2,2,1,2,45,3,1,1,11,4,7310,9510,73,1,20220102,11,1,2781.1922938,300000,,,,,2,,,,,3,,,300000,300000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001753,1,1,1,TRANSPORTE,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,1000000,1,,3,,1,2,12,60,,,60,,,1,4,,1,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,2,1,1,1,3,5,8,1,1,11,4,4921,8331,49,1,20220102,11,1,2790.5156639,1000000,,,,,2,,,,,3,,,1000000,1000000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001755,1,4,1,PENSIONRS,1,2,1,,1,,1,1,2,1,1,4,,1,1,1,1,2,1100000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,48,,,48,,,8,7,,1,,1,2,1,0,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,60,3,1,1,11,1,6910,2611,69,1,20220102,11,1,4196.9399689,1100000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001756,1,2,1,LEYES,1,2,1,,1,,1,1,1,1,2,108,,1,1,1,1,2,98,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,98,1,98,1,98,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,3,1,9,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,8,15,8,1,1,11,2,8424,3342,84,1,20220102,11,1,3388.9195695,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001756,1,3,1,LEYES,1,2,1,,1,,1,1,2,1,1,99,,1,1,1,1,2,98,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,98,1,98,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,2,1,9,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,1,1,1,8,15,8,1,1,11,2,8424,2611,84,1,20220102,11,1,3388.9195695,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001757,1,1,1,ADMINISTRACION PUBLICA DISTRITAL,1,2,1,,1,,1,1,1,1,1,284,,1,1,1,1,1,2500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,98,2,1,2500000,1,2500000,1,2500000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,2,1,22,1,1,1,12,36,4,,9,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,8,30,3,1,1,11,2,8412,2143,84,1,20220102,11,1,3322.5526224,2500000,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5001757,1,2,1,ADMINISTRACION PUBLICA DISTRITAL,1,2,1,,1,,1,1,1,1,1,102,,1,1,1,1,1,5000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,5000000,1,5000000,1,5000000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,70,,,70,,,10,7,,1,,1,2,1,9,1,1,1,24,48,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,5,30,2,1,1,11,2,8412,1112,84,1,20220102,11,1,3322.5526224,5000000,5,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
