DIRECTORIO,SECUENCIA_P,ORDEN,P6016,P3271,P6030S1,P6030S3,P6040,P6050,P6083,P6083S1,P6081,P6081S1,P2057,P2059,P2061,P6080,P6080S1,P6080S1A1,P6070,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P6090,P6100,P6110,P6120,P1906S1,P1906S2,P1906S3,P1906S4,P1906S5,P1906S6,P1906S7,P1906S8,P6160,P6170,P3041,P3042,P3042S1,P3042S2,P3043,P3043S1,HOGAR,CLASE,P3038,P3039,AREA,MES,PERIODO,DPTO,pt,FEX_C18,LGB_Numerica,LGB_sectores,Trans_numerica,LGBT_Numerica,Discapacidad,Dificultad,Campesina,POB_MAY18,PER,REGIS
5000008,1,1,1,1,6,1961,60,1,3,,3,,1,,2,6,,,3,1,2,,1,1,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,3,,,,1,1,2,1,,1,20220104,08,1,1565.2171245,0,,0,0,0,0,0,1,2022,10
5000008,1,2,2,2,9,1968,53,2,3,,3,,1,,1,6,,,3,1,1,1,,,,,,,,,,,,1,3,,,4,4,3,4,4,4,4,4,2,2,,1,0,,,,1,1,1,2,,1,20220104,08,1,1565.2171245,0,,0,0,0,0,1,1,2022,10
5000008,1,3,2,2,8,2017,4,9,2,,2,,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1565.2171245,,,,,,,0,,2022,10
5000009,1,1,1,1,11,1972,49,1,2,,2,,2,2,1,6,,,2,1,2,,1,1,1,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,1,,,,1,1,2,1,,1,20220104,08,1,1615.8203028,0,,0,0,0,0,0,1,2022,10
5000009,1,2,2,2,12,1993,28,2,2,,2,,2,2,1,6,,,2,1,1,,,,1,,,1,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1615.8203028,0,,0,0,0,0,0,1,2022,10
5000009,1,3,2,1,4,2013,8,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,1,1,3,1,,,,1,1,,,,1,20220104,08,1,1615.8203028,,,,,0,0,0,,2022,10
5000009,1,4,2,1,11,2015,6,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,1,1,3,0,,,,1,1,,,,1,20220104,08,1,1615.8203028,,,,,0,0,0,,2022,10
5000010,1,1,1,2,10,1969,52,1,3,,3,,2,2,2,6,,,3,1,2,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,1,2,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,2,2,1,12,1964,57,2,2,,3,,2,2,2,6,,,3,1,1,,1,,1,,,,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,1,,,,1,1,2,1,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,3,3,1,9,1996,25,3,1,1,1,2,2,2,2,6,,,3,1,4,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,8,4,619,5,619,1,1,2,1,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,4,4,2,3,1996,25,7,2,,2,,2,2,2,6,,,3,1,3,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,8,4,415,5,415,1,1,1,2,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,5,4,2,5,2018,3,8,1,4,1,3,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1160.5460626,,,,,,,0,,2022,10
5000010,1,6,4,2,1,2021,0,8,1,4,1,3,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1160.5460626,,,,,,,0,,2022,10
5000010,1,7,7,1,10,1999,22,3,1,1,1,2,2,2,2,6,,,2,1,8,,,,1,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,8,8,2,10,1999,22,7,2,,2,,2,2,2,6,,,2,1,7,,,,,,,,,,,1,,2,,,,4,4,3,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1160.5460626,0,,0,0,0,0,0,1,2022,10
5000010,1,9,8,1,6,2018,3,8,1,8,1,7,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1160.5460626,,,,,,,0,,2022,10
5000010,1,10,8,2,12,2019,2,8,1,8,1,7,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1160.5460626,,,,,,,0,,2022,10
5000011,1,1,1,2,12,1998,23,1,1,4,2,,2,2,1,6,,,2,1,2,,,,1,,,1,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,1,2,,1,20220104,08,1,1175.6128245,0,,0,0,0,0,0,1,2022,10
5000011,1,2,2,1,6,1971,50,2,3,,3,,2,2,1,6,,,2,1,1,,,,1,,,1,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1175.6128245,0,,0,0,0,0,0,1,2022,10
5000011,1,3,1,1,7,2020,1,3,1,1,1,2,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1175.6128245,,,,,,,0,,2022,10
5000011,1,4,4,2,3,1964,57,4,2,,2,,2,2,1,6,,,4,,,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,4,3,,,,1,1,1,2,,1,20220104,08,1,1175.6128245,0,,0,0,0,0,0,1,2022,10
5000011,1,5,5,2,8,1991,30,6,1,4,2,,2,2,1,6,,,4,,,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,1,2,,1,20220104,08,1,1175.6128245,0,,0,0,0,0,0,1,2022,10
5000011,1,6,6,1,10,2008,13,9,2,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,4,1,,,,1,1,,,,1,20220104,08,1,1175.6128245,,,,,0,0,0,,2022,10
5000012,1,1,1,1,7,1998,23,1,2,,2,,2,2,2,6,,,2,1,2,,1,1,1,,,1,,,,,,1,3,,,4,4,3,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1722.5372692,0,,0,0,0,0,0,1,2022,10
5000012,1,2,2,2,1,1999,22,2,2,,2,,2,2,2,6,,,2,1,1,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,9,4,1022,6,1022,1,1,1,2,,1,20220104,08,1,1722.5372692,0,,0,0,0,0,0,1,2022,10
5000012,1,3,3,2,3,1995,26,6,2,,2,,1,,2,6,,,4,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1722.5372692,0,,0,0,0,0,0,1,2022,10
5000012,1,4,3,1,3,2017,4,9,1,3,2,,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,1722.5372692,,,,,,,0,,2022,10
5000012,1,5,3,2,12,2021,0,9,1,3,2,,2,2,2,6,,,,,,,,,,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1722.5372692,,,,,,,0,,2022,10
5000013,1,1,1,2,2,1981,40,1,2,,2,,2,2,2,6,,,4,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,8,4,415,5,415,1,1,1,2,,1,20220104,08,1,1773.1649471,0,,0,0,0,0,0,1,2022,10
5000013,1,2,1,2,1,2017,5,3,1,1,2,,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,1,2,2,0,,,,1,1,,,,1,20220104,08,1,1773.1649471,,,,,0,0,0,,2022,10
5000013,1,3,1,2,7,2019,2,3,1,1,2,,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1773.1649471,,,,,,,0,,2022,10
5000014,1,1,1,1,1,1947,75,1,3,,3,,2,2,2,6,,,3,1,2,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,,1,20220104,08,1,1157.3282327,0,,0,0,0,0,0,1,2022,10
5000014,1,2,2,2,3,1953,68,2,3,,3,,2,2,2,6,,,3,1,1,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,1,2,,1,20220104,08,1,1157.3282327,0,,0,0,0,0,0,1,2022,10
5000015,1,1,1,1,5,1966,55,1,2,,2,,2,2,2,6,,,2,1,2,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1243.9828296,0,,0,0,0,0,0,1,2022,10
5000015,1,2,2,2,10,1971,50,2,3,,2,,2,2,2,6,,,2,1,1,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,1,,,,1,1,1,2,,1,20220104,08,1,1243.9828296,0,,0,0,0,0,0,1,2022,10
5000015,1,3,3,1,8,2006,15,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,,,,1,20220104,08,1,1243.9828296,,,,,0,0,0,,2022,10
5000015,1,4,4,1,9,1999,22,3,1,2,1,1,2,2,2,6,,,1,1,5,,,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1243.9828296,0,,0,0,0,0,0,1,2022,10
5000015,1,5,5,2,5,1989,32,7,2,,2,,2,2,2,6,,,1,1,4,,,,,,,,,,,1,,1,1,1,50000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1243.9828296,0,,0,0,0,0,0,1,2022,10
5000016,1,1,1,1,3,1967,54,1,3,,3,,2,2,1,6,,,2,1,2,,,,1,,1,,,,,,,1,1,1,40000,4,4,4,4,4,4,4,4,1,2,,3,2,,,,1,1,2,1,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,2,2,2,1,1966,56,2,3,,3,,2,2,1,6,,,2,1,1,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,2,,,,1,1,1,2,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,3,3,2,12,1989,32,3,1,2,1,1,2,2,1,6,,,2,1,4,,,,,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,4,4,1,11,1980,41,7,3,,2,,2,2,2,6,,,2,1,3,,,,1,,,1,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,5,3,2,1,2017,5,8,1,3,1,4,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,681.55251517,,,,,0,0,0,,2022,10
5000016,1,6,6,1,5,1991,30,3,1,2,1,1,2,2,2,6,,,2,1,7,,,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,7,7,2,5,1999,22,7,2,,2,,2,1,2,6,,,2,1,6,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,8,7,1,10,2020,1,8,1,7,1,6,2,2,2,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,681.55251517,,,,,,,0,,2022,10
5000016,1,9,9,1,5,1993,28,3,1,2,1,1,2,2,1,6,,,2,1,10,1,,,,,,,,,,,,1,1,1,40000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,10,10,2,11,1994,27,7,2,,2,,2,2,1,6,,,2,1,9,1,,,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,681.55251517,0,,0,0,0,0,0,1,2022,10
5000016,1,11,10,2,11,2012,9,8,1,10,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,3,3,,,,1,1,,,,1,20220104,08,1,681.55251517,,,,,0,0,0,,2022,10
5000016,1,12,10,2,3,2017,4,8,1,10,1,9,2,2,1,6,,,,,,,,,,,,,,,,,,1,3,,,4,4,3,4,4,4,4,4,2,2,,1,0,,,,1,1,,,,1,20220104,08,1,681.55251517,,,,,,,0,,2022,10
5000016,1,13,13,1,2,2004,17,8,2,,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,3,,,4,4,4,4,4,4,4,4,1,1,1,8,4,611,2,,1,1,,,,1,20220104,08,1,681.55251517,,,,,0,0,0,,2022,10
5000016,1,14,14,2,1,2011,11,8,2,,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,3,,,4,4,4,4,4,4,4,4,1,1,2,4,0,,,,1,1,,,,1,20220104,08,1,681.55251517,,,,,0,0,0,,2022,10
