PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250522;05;2025;8207986;1;2;1;60;;2;98.302826034;63;1;6920;1;2;2;12;1;;1;;2;2;2;2;72;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;3;1;;6000000;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;5000000;1;50000000;3;;3;2;12;35;2;;35;;;10;1;;1;;1;1;1;18;1;2;1;0;12;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;5;;1;5000000;69;6920;2411
20250522;05;2025;8207987;1;1;1;60;;2;98.302826034;63;1;161;2;;;;;;;;;;;;108;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;400000;1;4000000;3;;3;2;12;30;2;;30;;;1;8;;2;;2;;;;2;2;1;1;36;4;;3;;1;10;6113;9700;3;600000;2;1;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;10;2;;1;1000000;01;0161;9211
20250522;05;2025;8207991;1;1;1;60;;2;98.302826034;63;1;122;1;2;2;12;1;;1;;1;1;1;1;108;7;;1;1;2;1;1;2;1423500;2;;2;;;2;;1;200000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;710000;1;710000;1;710000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;2;8;;1;;1;2;1;4;1;1;1;0;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;2;;1;1623500;01;0122;9211
20250522;05;2025;8207991;1;3;1;60;;2;98.302826034;63;1;3811;2;;;;;;;;;;;;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;3;6;;;100000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;100000;1;100000;1;;10;1;12;10;1;;30;;;1;2;;2;;2;;;;2;2;1;0;60;4;;8;;1;12;9213;8010;4;25000;1;2;2;;;;1;2;1;2;2;2;2;2;2;2;;1;1;1;2;2;2;2;1;3;;2;2;;1;125000;38;3811;9312
20250522;05;2025;8207992;1;1;1;60;;2;98.302826034;63;1;5514;1;2;2;12;1;;1;;1;2;1;1;216;1;;1;1;2;1;1;2;1423500;2;;2;;;2;;1;400000;2;;2;;2;;;2;;;1;50000;2;2;;;2;;;2;;;1;1300000;2;;1;650000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;1;;1;;1;2;1;18;1;1;1;0;10;7;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;2;;1;1823500;55;5514;5153
20250522;05;2025;8207992;1;2;1;60;;2;98.302826034;63;1;5611;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;600000;1;;4;2;5;20;2;;20;;;1;1;;3;;2;;;;2;2;1;3;1;4;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;14;;;2;;1;200000;56;5611;5120
20250522;05;2025;8207993;1;1;1;60;;2;98.302826034;63;1;6820;1;1;;;1;;1;;2;2;2;2;3;1;;1;1;1;1;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;15;2;;15;;;3;1;;1;;2;;;;2;2;1;24;384;1;;4;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;14;;;10;RECIBE PENSION DEL EXTRANJERO;1;1000000;68;6820;1439
20250522;05;2025;8207994;1;1;1;60;;2;98.302826034;63;1;4631;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;6000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;3000000;1;40000000;3;;1;1;12;50;;;10;6;;1;1;;1;;1;2;2;4;1;2;1;0;180;4;;13;CAMBIO DE RESIDENCIA;2;;;;;;;;1;20;1;1;1;2;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;2;1;14;;;8;;1;3000000;46;4631;5223
20250522;05;2025;8207995;1;1;1;60;;1;3114.8487784;05;1;4792;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;4;4;5;;;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;300000;1;;3;;4;1;12;15;2;;15;;;1;1;;2;;2;;;;2;2;2;;;;;;;1;10;7215;4752;4;100000;2;2;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;3;;1;400000;47;4792;3322
20250522;05;2025;8207996;1;1;1;60;;1;6088.9423992;05;1;4290;1;2;1;;1;;1;;1;2;1;1;24;1;;1;1;1;1;1;2;8000000;1;149500;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;7000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;46;;;46;;;10;8;;1;;1;1;1;20;1;1;1;0;8;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;;5;3;;1;8000000;42;4290;2151
