PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18;LGB_Numerica;LGB_sectores;LGBT_Numerica;Trans_numerica;Discapacidad;Dificultad;Campesina
20230205;02;2023;7339305;1;4;1;10;50;1;243.01989065;50;1;4;2;66;8;1956;4;3;;3;;2;2;2;6;;;4;;;;1;1;1;;;;;1;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339306;1;1;1;10;50;1;268.96947373;50;1;1;1;54;12;1968;1;2;;2;;1;;2;6;;;2;1;2;;;1;1;;;1;;1;;;;1;2;2;170000;4;4;4;4;4;4;4;4;1;2;;4;3;;;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339306;1;2;1;10;50;1;268.96947373;50;1;2;2;56;10;1966;2;3;;3;;1;;2;6;;;2;1;1;;;1;1;;;1;;1;;;;1;2;5;;4;4;4;4;4;4;4;4;1;2;;8;4;919;5;919;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339307;1;1;1;10;50;1;218.12548809;50;1;1;2;52;3;1970;1;3;;3;;2;2;2;6;;;3;1;2;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339307;1;2;1;10;50;1;218.12548809;50;1;1;1;55;5;1967;2;3;;3;;2;2;2;6;;;3;1;1;1;;;;;;;;;;;;1;1;3;250000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339307;1;3;1;10;50;1;218.12548809;50;1;1;2;16;4;2006;3;1;1;1;2;2;2;2;6;;;6;;;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;0;912;2;;;;;;;;;0;0;0
20230205;02;2023;7339308;1;1;1;10;50;1;188.88266671;50;1;1;2;50;8;1972;1;3;;3;;1;;2;6;;;4;;;;1;;1;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339308;1;2;1;10;50;1;188.88266671;50;1;2;2;23;2;2000;3;1;1;2;;2;2;2;6;;;6;;;;;;1;;;1;;;;;;1;1;1;40000;4;4;4;4;4;4;4;4;1;1;1;10;9;311;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339308;1;3;1;10;50;1;188.88266671;50;1;3;2;20;9;2002;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;6;313;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339308;1;4;1;10;50;1;188.88266671;50;1;4;2;12;9;2010;3;1;1;2;;2;2;2;5;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;;;;;;0;0;0
20230205;02;2023;7339309;1;1;1;10;50;1;241.00031208;50;1;1;2;88;8;1934;1;3;;3;;2;2;2;6;;;5;;;;1;;1;;;;;;;;;1;1;5;;4;4;4;3;4;4;4;4;1;2;;3;1;;;;1;2;1;0;;0;0;0;1;0
20230205;02;2023;7339309;1;2;1;10;50;1;241.00031208;50;1;2;2;56;3;1966;3;1;1;3;;2;2;2;6;;;6;;;;1;;1;;;1;;;;;;1;1;3;125000;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339310;1;1;1;10;50;1;211.70287979;50;1;1;1;40;3;1982;1;2;;2;;2;2;2;6;;;2;1;2;;;1;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339310;1;2;1;10;50;1;211.70287979;50;1;2;2;32;4;1990;2;2;;2;;2;1;2;6;;;2;1;1;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
