DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
7022648;1;2;1;TRANSPORTE;1;2;2;6;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;1;;1;2;2;;;;;;1;1;;;;;;1000000;1;;3;;3;1;12;40;;;40;;;10;4;;1;;1;2;2;14;1;2;1;2;8;4;;1;;2;;;;;;2;;;;1;2;1;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;2;38;9;1;1;47;4;4923;8332;49;1000000;03;20220312;47;1;162.39869279;;;;;2;;;;;1;1000000;1000000;;;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022649;1;3;1;SERVICIOS DE DOMICILIO;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;800000;1;;3;;1;2;12;48;;;48;;;1;5;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;11;20;3;1;1;47;4;5320;9621;53;800000;03;20220312;47;1;188.07113621;;;;;2;;;;;3;;;800000;800000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022650;1;3;1;HOGAR;1;1;;;1;;1;2;2;2;2;48;;2;2;2;2;2;600000;2;;;1;450000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;1;400000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;3;1;1;47;3;9700;9111;97;1050000;03;20220312;47;1;114.88503386;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022650;1;7;1;SALUD;1;1;;;1;;1;2;2;2;2;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;3;6;;1;2;2;;;;;;2;2;;;;;;1200000;1;;3;;3;1;12;72;;;72;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;60;3;1;1;47;4;8699;5321;86;1200000;03;20220312;47;1;114.88503386;;;;;2;;;;;1;;;1200000;1200000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022651;1;3;1;CINTAS CINEMATOGRAFICAS;1;2;1;;1;;1;2;1;1;2;72;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;117000;1;1;60000;2;2;;;2;;;2;;;2;;1;550000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;1;1;6;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;12;20;5;1;1;47;1;5914;9112;59;1000000;03;20220312;47;1;237.36574887;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022651;1;4;1;CASAS;2;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;6;;1;2;2;;;;;;2;2;;;;;;700000;1;;1;;1;1;10;48;;;48;;;1;2;;3;;2;;;;2;2;1;1;120;4;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;5;1;1;47;4;4111;7112;41;700000;03;20220312;47;1;237.36574887;;;;;2;;;;;1;;;700000;700000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022652;1;1;1;CONSTRUCCION;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;570000;1;;3;;10;2;12;50;;;50;;;1;9;;7;;2;;;;2;2;1;0;1;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;2;25;9;1;1;47;4;4111;7112;41;570000;03;20220312;47;1;154.43126674;;;;;2;;;;;1;;;570000;570000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022652;1;7;1;VIVIENDAS;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;600000;1;;3;;5;2;5;50;;;50;;;1;9;;10;;2;;;;2;2;1;1;1;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;2;25;5;1;1;47;4;4111;9313;41;600000;03;20220312;47;1;154.43126674;;;;;2;;;;;1;;;600000;600000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022656;1;2;1;RESIDENCIA;2;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;1;1;;;;;;300000;1;;1;;1;1;10;18;1;;18;;;4;7;;2;;2;;;;2;2;1;99;1;1;;1;;2;;;;;;1;30;1;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;12;10;5;1;1;47;4;5511;9412;55;300000;03;20220312;47;1;260.40092118;;;;;2;;;;;1;;;300000;300000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022657;1;1;1;PINCHOS;2;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;7;;;;;1;1;;;;;;2;;;2;;350000;1;;3;;1;1;12;30;2;;30;;;1;6;;2;;2;;;;2;2;1;24;2;3;;1;;2;;;;;;2;;;;1;1;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;3;15;8;1;1;47;4;5619;1420;56;350000;03;20220312;47;1;175.34108418;;;;;2;;;;;3;;;;;;;;;350000;0;98;0;98;0;;;;;;;;;;;;;;2022;60
